RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
1,1,Tiger Woods,63,3.092,132.973,102.345,30.626,43
2,2,Phil Mickelson,73,1.597,83.069,74.948,8.119,52
3,3,Ernie Els,59,1.578,69.440,70.788,-1.345,44
4,4,Steve Stricker,81,1.486,96.609,75.674,20.937,65
5,5,Sergio Garcia,68,1.461,80.351,65.563,14.787,55
6,6,K.J. Choi,87,1.392,94.673,59.452,35.220,68
7,7,Vijay Singh,102,1.379,113.043,114.954,-1.911,82
8,8,Rory Sabbatini,81,1.265,79.723,45.109,34.615,63
9,9,Adam Scott,69,1.234,66.645,59.652,6.992,54
10,10,Arron Oberholser,69,1.183,62.700,43.495,19.204,53
11,11,Sean O'Hair,98,1.152,95.648,80.674,14.974,83
12,12,Jim Furyk,84,1.119,73.870,79.322,-5.447,66
13,13,Zach Johnson,76,1.074,64.424,24.883,39.541,60
14,14,Aaron Baddeley,83,1.064,70.230,28.728,41.504,66
15,15,Freddie Jacobson,70,1.012,68.841,23.978,44.863,68
16,T28,Tim Clark,66,.988,52.349,15.509,36.839,53
T17,T16,Bo Van Pelt,104,.949,92.053,76.516,15.540,97
T17,T16,Camilo Villegas,82,.949,65.495,62.323,3.173,69
19,22,Scott Verplank,82,.943,55.614,69.565,-13.949,59
20,18,Luke Donald,69,.927,46.348,24.471,21.877,50
21,19,Padraig Harrington,64,.926,42.584,30.618,11.968,46
22,20,Ian Poulter,63,.920,35.878,37.378,-1.499,39
23,21,David Toms,80,.890,56.064,38.562,17.506,63
24,T28,Jeff Overton,60,.882,47.650,44.386,3.264,54
25,24,Heath Slocum,101,.879,81.768,61.281,20.491,93
26,23,Justin Rose,63,.878,34.225,31.832,2.394,39
27,25,Steve Elkington,87,.830,60.554,36.873,23.685,73
T28,27,Geoff Ogilvy,84,.821,52.571,47.938,4.635,64
T28,26,Carl Pettersson,111,.821,75.522,54.143,21.381,92
30,30,Lucas Glover,98,.731,57.055,48.263,8.796,78
31,31,Alex Cejka,80,.728,53.850,89.310,-35.455,74
32,34,Mike Weir,82,.711,42.665,60.305,-17.641,60
33,36,Anthony Kim,93,.673,53.852,63.534,-9.679,80
34,37,Brandt Snedeker,105,.672,57.814,13.869,43.946,86
35,T32,Robert Allenby,90,.670,50.241,77.556,-27.317,75
36,44,Stewart Cink,91,.668,48.093,18.461,29.635,72
37,39,Rod Pampling,92,.649,48.000,47.227,.773,74
38,40,Kenny Perry,83,.643,48.247,73.551,-25.299,75
39,38,Bart Bryant,87,.638,47.205,32.583,14.621,74
40,T41,Tom Pernice Jr.,104,.637,53.525,26.308,27.220,84
41,43,Hunter Mahan,91,.632,45.535,30.189,15.347,72
42,T32,Boo Weekley,101,.627,48.887,63.872,-14.982,78
43,T41,Jerry Kelly,101,.621,46.600,63.607,-17.007,75
T44,45,Billy Mayfair,98,.604,50.108,57.268,-7.159,83
T44,46,Jesper Parnevik,88,.604,45.297,-28.115,73.415,75
46,47,Brian Davis,101,.593,52.218,46.476,5.743,88
47,35,Briny Baird,115,.586,61.544,66.666,-5.119,105
48,55,Stephen Ames,81,.580,35.989,20.438,15.549,62
49,48,Ken Duke,112,.539,51.160,41.680,9.482,95
50,50,John Senden,97,.528,44.352,65.322,-20.969,84
T51,51,John Rollins,102,.517,43.457,34.697,8.757,84
T51,62,Justin Leonard,95,.517,42.374,32.214,10.158,82
53,53,Jonathan Byrd,73,.510,31.599,13.225,18.372,62
54,54,Vaughn Taylor,91,.506,36.426,19.350,17.075,72
55,49,Mark Calcavecchia,93,.504,36.769,52.332,-15.559,73
56,52,Ryan Moore,92,.488,36.566,26.605,9.962,75
57,56,Trevor Immelman,74,.482,26.029,39.672,-13.643,54
58,57,J.J. Henry,86,.473,32.196,30.581,1.616,68
59,58,Mark Wilson,87,.467,34.119,32.354,1.763,73
60,T60,Tim Herron,98,.454,37.190,29.672,7.518,82
61,63,Dean Wilson,92,.444,33.280,-13.146,46.427,75
62,64,Joe Ogilvie,102,.425,36.945,6.367,30.578,87
63,65,Charlie Wi,90,.421,34.925,.413,34.512,83
64,T71,Cameron Beckman,96,.418,35.515,41.668,-6.150,85
