RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
1,1,Rickie Fowler,78,1.987,125.163,71.456,53.706,63
2,3,Jordan Spieth,85,1.924,130.811,111.916,18.896,68
3,2,Dustin Johnson,77,1.882,111.009,109.881,1.126,59
4,5,Justin Thomas,86,1.811,117.746,96.162,21.583,65
5,4,Jon Rahm,90,1.778,117.339,100.434,16.906,66
6,7,Paul Casey,94,1.543,109.525,100.116,9.408,71
7,6,Marc Leishman,94,1.422,103.817,77.845,25.972,73
8,10,Francesco Molinari,75,1.364,80.459,85.704,-5.245,59
9,9,Patrick Cantlay,52,1.269,58.394,51.092,7.300,46
10,8,Hideki Matsuyama,83,1.267,74.759,95.140,-20.381,59
11,12,Louis Oosthuizen,69,1.234,62.955,35.946,27.008,51
12,11,Justin Rose,66,1.232,65.298,68.638,-3.340,53
13,13,Brooks Koepka,88,1.204,80.677,41.743,38.934,67
14,14,Matt Kuchar,95,1.173,90.311,64.715,25.596,77
15,15,Tony Finau,106,1.147,104.349,116.465,-12.113,91
16,17,Brandt Snedeker,53,1.079,45.307,21.266,24.044,42
17,18,Rory McIlroy,51,1.078,38.804,49.751,-10.947,36
18,21,Phil Mickelson,85,1.048,72.284,49.062,23.222,69
19,20,Sergio Garcia,65,1.045,48.059,62.358,-14.300,46
20,27,Kevin Kisner,105,1.043,80.329,50.480,29.847,77
21,24,Shane Lowry,52,1.015,38.554,20.370,18.184,38
22,25,Stewart Cink,93,1.011,81.869,58.697,23.170,81
23,26,Adam Scott,58,1.006,42.257,46.318,-4.061,42
24,28,Patrick Reed,107,.976,81.970,33.486,48.483,84
25,22,Kyle Stanley,104,.951,89.383,118.383,-29.000,94
26,29,Webb Simpson,102,.942,79.160,75.036,4.125,84
27,35,Russell Henley,99,.939,80.785,43.502,37.283,86
28,31,Ian Poulter,72,.936,51.466,50.104,1.358,55
29,23,Jason Day,71,.935,51.414,31.916,19.497,55
30,32,Bill Haas,92,.923,66.456,62.500,3.956,72
31,33,Lucas Glover,93,.918,78.946,81.184,-2.240,86
32,30,Daniel Berger,91,.910,62.782,52.517,10.262,69
33,19,Charley Hoffman,112,.892,82.939,84.011,-1.073,93
34,40,Xander Schauffele,96,.881,65.225,35.469,29.755,74
35,36,Brendan Steele,89,.875,62.147,63.068,-.920,71
36,34,Pat Perez,93,.862,62.902,37.621,25.281,73
37,38,Chez Reavie,98,.840,69.722,35.139,34.584,83
38,39,Martin Laird,83,.829,59.668,41.474,18.195,72
39,41,Kevin Na,86,.778,51.358,33.851,17.507,66
40,42,Graham DeLaet,82,.768,54.527,33.890,20.639,71
41,43,Charl Schwartzel,63,.761,36.530,24.184,12.346,48
42,37,Brian Harman,104,.746,64.161,12.564,51.597,86
43,44,Jamie Lovemark,98,.743,59.440,60.781,-1.340,80
44,48,Luke List,102,.691,59.402,96.066,-36.664,86
45,49,J.B. Holmes,83,.676,41.231,43.211,-1.978,61
46,47,Gary Woodland,94,.659,44.822,70.734,-25.913,68
47,46,Jason Dufner,89,.653,47.017,47.071,-.056,72
48,50,Zach Johnson,81,.631,42.926,14.598,28.326,68
49,52,Byeong Hun An,77,.589,33.565,54.967,-21.401,57
50,53,Keegan Bradley,104,.553,50.281,69.952,-19.670,91
51,51,Adam Hadwin,98,.551,43.557,11.260,32.298,79
T52,45,Kevin Chappell,95,.538,38.753,60.567,-21.815,72
T52,54,Seamus Power,86,.538,36.603,24.756,11.846,68
54,55,Bud Cauley,92,.530,43.474,65.826,-22.350,82
T55,T56,Cameron Smith,86,.502,35.659,29.681,5.979,71
T55,T56,Graeme McDowell,56,.502,25.088,-3.086,28.174,50
57,58,Charles Howell III,86,.492,33.460,21.735,11.729,68
58,59,Sung Kang,104,.478,39.231,26.622,12.609,82
59,60,David Lingmerth,79,.475,32.809,-.596,33.406,69
60,61,Kevin Tway,96,.433,32.076,12.761,19.312,74
61,62,Chad Campbell,97,.405,34.408,58.708,-24.298,85
62,63,Ollie Schniederjans,92,.383,31.060,32.585,-1.527,81
63,64,Sean O'Hair,84,.376,26.303,18.796,7.509,70
64,65,Jim Herman,77,.368,24.298,32.682,-8.381,66
65,66,Emiliano Grillo,90,.359,23.713,35.117,-11.407,66
66,67,Danny Lee,93,.325,24.662,5.911,18.754,76
67,68,Hudson Swafford,94,.314,23.865,24.215,-.351,76
68,69,Ryan Moore,82,.301,19.583,20.720,-1.136,65
69,70,Brandon Hagy,85,.293,20.218,12.712,7.504,69
70,72,Brian Gay,82,.282,19.483,-11.624,31.106,69
71,73,Matt Jones,64,.278,14.177,5.507,8.671,51
72,74,Jimmy Walker,68,.273,13.641,6.897,6.748,50
73,75,Branden Grace,70,.271,12.715,24.355,-11.639,47
74,76,James Hahn,96,.260,21.026,18.080,2.948,81
75,77,Robert Garrigus,78,.253,15.180,42.553,-27.370,60
76,78,Michael Kim,94,.247,20.713,1.467,19.249,84
77,79,Camilo Villegas,76,.218,13.523,-11.283,24.802,62
78,80,Bryson DeChambeau,91,.190,13.866,27.984,-14.116,73
79,81,Seung-Yul Noh,91,.186,13.964,-4.330,18.293,75
80,82,Mackenzie Hughes,106,.172,16.538,-30.728,47.265,96
81,83,Nick Watney,75,.171,10.914,18.163,-7.249,64
T82,T84,Kevin Streelman,90,.169,13.179,35.126,-21.946,78
T82,T84,Sebastián Muñoz,51,.169,6.606,-7.349,13.953,39
84,86,Ben Martin,86,.163,11.440,14.555,-3.114,70
T85,T87,Jim Furyk,54,.151,6.631,-1.581,8.211,44
T85,T87,Nick Taylor,97,.151,12.558,28.402,-15.843,83
87,89,Rafa Cabrera Bello,63,.147,6.779,-14.980,21.756,46
88,90,Rory Sabbatini,71,.125,6.614,25.522,-18.911,53
89,91,Billy Hurley III,80,.110,7.621,-18.150,25.772,69
90,92,Harold Varner III,101,.109,9.366,43.925,-34.560,86
91,93,Ryan Armour,63,.107,5.247,6.662,-1.420,49
92,94,Vaughn Taylor,90,.106,8.032,-2.519,10.553,76
93,95,John Huh,92,.099,7.499,-1.950,9.452,76
94,71,Jhonattan Vegas,95,.093,6.633,35.922,-29.289,71
95,96,Bubba Watson,71,.085,4.504,14.414,-9.910,53
96,97,Robert Streb,98,.078,6.516,6.295,.223,84
97,98,Sam Saunders,76,.071,4.309,-4.127,8.435,61
98,99,Grayson Murray,94,.064,5.444,12.372,-6.930,85
99,100,Jason Kokrak,95,.052,4.351,37.991,-33.637,83
100,101,Daniel Summerhays,100,.049,3.978,-5.043,9.022,82
T101,T102,Luke Donald,50,.047,2.021,-28.265,30.285,43
T101,T102,Ryan Blaum,100,.047,3.893,-23.477,27.370,82
103,104,Harris English,84,.038,2.727,-24.226,26.957,72
104,105,J.T. Poston,95,.031,2.245,10.752,-8.506,73
105,106,Tag Ridings,67,.030,1.504,-8.627,10.129,50
T106,T107,Andres Gonzales,73,.020,1.160,-.166,1.325,57
T106,T107,Scott Stallings,81,.020,1.333,23.083,-21.750,68
T108,T109,Blayne Barber,77,.013,.893,-26.037,26.929,67
T108,T109,Chris Stroud,67,.013,.629,6.676,-6.046,48
110,111,Trey Mullinax,88,.006,.397,4.385,-3.986,70
111,112,Billy Horschel,88,.004,.351,-6.367,6.719,80
112,113,Wesley Bryan,95,.002,.154,-25.987,26.142,77
113,114,Martin Flores,88,-.015,-.995,-17.201,16.203,67
114,115,Ricky Barnes,100,-.027,-2.057,-22.050,19.992,77
115,116,Shawn Stefani,72,-.043,-2.602,.826,-3.428,60
116,117,Zac Blair,105,-.044,-3.564,-6.358,2.795,81
117,118,Tim Wilkinson,64,-.053,-2.431,-2.849,.417,46
118,119,Morgan Hoffmann,92,-.060,-4.921,-11.349,6.427,82
119,120,Scott Brown,95,-.068,-5.297,-26.859,21.562,78
120,121,J.J. Spaun,92,-.072,-5.215,-3.251,-1.964,72
121,122,Gonzalo Fernandez-Castaño,63,-.078,-3.417,-24.941,21.523,44
122,123,Cameron Percy,71,-.082,-4.510,6.768,-11.280,55
123,124,C.T. Pan,88,-.087,-6.635,-5.614,-1.023,76
124,125,David Hearn,93,-.096,-6.814,-3.110,-3.705,71
125,126,William McGirt,89,-.098,-7.020,-5.217,-1.803,72
126,127,Ryan Palmer,61,-.129,-6.343,50.470,-56.813,49
127,128,Cameron Tringale,89,-.140,-9.099,-17.200,8.102,65
128,129,Geoff Ogilvy,80,-.152,-10.171,-13.059,2.890,67
T129,T130,Steve Wheatcroft,51,-.162,-6.486,-25.637,19.148,40
T129,T130,Troy Merritt,82,-.162,-11.348,-10.190,-1.157,70
T131,T132,Aaron Baddeley,61,-.172,-7.925,-9.927,2.005,46
T131,T132,J.J. Henry,92,-.172,-12.890,19.374,-32.264,75
T131,T132,Ryan Brehm,83,-.172,-11.193,-1.482,-9.710,65
134,135,Michael Thompson,60,-.173,-7.614,-44.554,36.940,44
135,136,Smylie Kaufman,76,-.177,-11.153,-2.543,-8.612,63
136,137,Søren Kjeldsen,58,-.182,-6.198,-22.280,16.081,34
137,138,Russell Knox,75,-.183,-9.891,8.927,-18.820,54
138,139,Peter Malnati,91,-.184,-13.460,-46.365,32.905,73
139,140,Anirban Lahiri,72,-.186,-10.991,8.806,-19.798,59
140,141,Whee Kim,74,-.208,-12.896,-40.381,27.485,62
141,142,Tyrone Van Aswegen,105,-.217,-17.366,8.205,-25.572,80
T142,T143,Richy Werenski,81,-.223,-13.591,-13.614,.023,61
T142,T143,Ben Crane,86,-.223,-15.372,-4.707,-10.666,69
