RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
1,1,Luke Donald,73,2.278,118.431,73.206,45.224,52
2,2,Webb Simpson,98,1.764,146.376,123.865,22.508,83
3,3,Steve Stricker,70,1.730,91.680,50.346,41.332,53
4,4,Nick Watney,80,1.712,106.128,72.245,33.880,62
5,5,Matt Kuchar,94,1.540,109.342,82.433,26.909,71
6,6,David Toms,78,1.282,75.614,49.309,26.301,59
7,7,Charles Howell III,108,1.239,112.761,78.219,34.538,91
8,8,Hunter Mahan,92,1.218,92.591,52.528,40.062,76
9,9,Phil Mickelson,79,1.182,68.564,79.606,-11.042,58
10,10,Aaron Baddeley,77,1.148,71.152,51.070,20.080,62
11,11,Brandt Snedeker,85,1.094,73.318,33.953,39.363,67
12,12,K.J. Choi,77,1.079,62.556,53.091,9.462,58
13,13,Gary Woodland,93,1.041,72.852,80.990,-8.139,70
14,14,Zach Johnson,79,1.033,66.114,28.962,37.148,64
15,15,Martin Laird,77,.996,61.744,51.785,9.959,62
T16,18,Justin Rose,79,.984,62.014,59.035,2.977,63
T16,16,Sergio Garcia,61,.984,44.262,49.622,-5.361,45
18,17,Jason Day,76,.976,57.563,23.582,33.978,59
19,19,John Senden,94,.967,78.331,53.882,24.446,81
20,20,Charl Schwartzel,58,.950,37.994,35.901,2.092,40
21,21,Kevin Streelman,90,.934,66.314,41.071,25.244,71
22,22,Rickie Fowler,84,.917,60.496,37.338,23.157,66
23,23,Bill Haas,93,.916,65.974,54.127,11.846,72
24,24,Freddie Jacobson,92,.904,63.270,19.245,44.023,70
25,25,Bo Van Pelt,92,.867,61.587,73.437,-11.849,71
26,27,J.B. Holmes,57,.847,39.823,42.848,-3.025,47
27,26,Spencer Levin,113,.846,79.506,75.766,3.736,94
28,29,Ryan Moore,79,.827,49.646,16.674,32.970,60
29,30,Robert Allenby,84,.818,57.236,69.349,-12.114,70
T30,T31,Carl Pettersson,95,.770,69.286,25.592,43.690,90
T30,T31,Kevin Na,84,.770,52.392,8.221,44.170,68
32,28,Brian Gay,90,.737,54.527,13.383,41.143,74
33,33,Geoff Ogilvy,69,.722,38.992,11.067,27.923,54
34,34,Rory Sabbatini,85,.719,43.868,68.463,-24.597,61
35,35,Jason Dufner,78,.717,46.575,54.113,-7.542,65
36,37,Robert Karlsson,61,.678,30.513,27.559,2.954,45
37,44,John Rollins,85,.671,48.337,55.629,-7.297,72
38,38,Stewart Cink,72,.670,34.827,26.030,8.797,52
39,36,Jerry Kelly,85,.667,45.380,27.881,17.496,68
40,39,Kyle Stanley,98,.665,53.205,93.676,-40.470,80
41,40,Jim Furyk,87,.655,45.866,57.095,-11.231,70
42,41,Bryce Molder,82,.653,46.398,-8.269,54.667,71
43,43,Adam Scott,60,.635,28.576,39.697,-11.119,45
44,42,Brian Davis,105,.605,55.629,58.871,-3.242,92
45,46,Vijay Singh,79,.600,43.166,52.577,-9.414,72
46,45,Brandt Jobe,100,.596,48.275,49.508,-1.238,81
47,47,Bubba Watson,85,.593,34.973,45.707,-10.735,59
T48,T49,Brendon de Jonge,105,.576,53.023,27.917,25.104,92
T48,T49,Dustin Johnson,72,.576,31.124,60.754,-29.630,54
