RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
1,1,Dustin Johnson,77,2.372,147.040,123.179,23.861,62
2,2,Justin Rose,70,1.952,103.435,80.953,22.479,53
3,3,Justin Thomas,91,1.835,124.788,106.261,18.528,68
4,4,Tommy Fleetwood,73,1.606,86.720,69.210,17.510,54
5,6,Tiger Woods,68,1.596,94.154,78.448,15.703,59
6,5,Bryson DeChambeau,93,1.558,121.526,94.543,26.983,78
7,7,Tony Finau,105,1.435,116.248,97.473,18.774,81
8,9,Webb Simpson,95,1.432,116.022,60.005,56.018,81
9,8,Rory McIlroy,64,1.412,71.989,68.917,3.073,51
10,11,Jason Day,75,1.285,62.966,25.245,37.721,49
11,12,Rickie Fowler,74,1.275,77.798,59.767,18.029,61
12,10,Brooks Koepka,64,1.220,65.874,56.815,9.058,54
13,16,Hideki Matsuyama,75,1.196,68.157,60.649,7.507,57
14,18,Henrik Stenson,60,1.153,50.738,59.828,-9.092,44
15,19,Emiliano Grillo,94,1.133,82.692,42.850,39.841,73
16,13,Francesco Molinari,73,1.123,64.014,91.756,-27.741,57
T17,20,Rafa Cabrera Bello,75,1.112,53.370,40.270,13.101,48
T17,22,Billy Horschel,86,1.112,85.643,55.474,30.165,77
19,15,Patrick Cantlay,87,1.096,73.418,85.596,-12.177,67
20,21,Gary Woodland,96,1.066,74.632,74.147,.483,70
21,23,Alex Noren,67,1.044,51.168,14.013,37.154,49
22,24,Zach Johnson,94,1.035,74.544,59.710,14.836,72
23,25,Paul Casey,74,.966,47.336,40.801,6.537,49
24,17,Patrick Reed,94,.947,59.645,49.325,10.317,63
25,26,Ryan Moore,78,.941,62.090,79.953,-17.864,66
26,27,Tyrrell Hatton,58,.938,39.390,25.315,14.077,42
27,14,Phil Mickelson,90,.931,65.141,29.429,35.711,70
28,29,Jon Rahm,71,.889,45.323,53.008,-7.685,51
29,31,Luke List,98,.870,67.879,104.322,-36.446,78
30,32,Chesson Hadley,103,.859,76.441,57.882,18.555,89
31,33,Ian Poulter,73,.850,42.507,31.362,11.143,50
32,34,Jordan Spieth,81,.830,54.751,56.977,-2.224,66
33,35,Daniel Berger,81,.816,50.605,30.826,19.780,62
34,36,Branden Grace,67,.812,35.747,20.359,15.390,44
35,37,Byeong Hun An,86,.805,58.790,79.607,-20.820,73
T36,38,Charles Howell III,104,.801,62.475,45.384,17.092,78
T36,28,Kevin Na,91,.801,56.037,18.733,37.304,70
38,30,Keegan Bradley,98,.793,63.411,92.047,-28.640,80
39,39,Adam Scott,78,.779,46.738,63.829,-17.092,60
40,41,Chris Kirk,108,.732,70.287,63.288,6.996,96
41,43,Johnson Wagner,75,.715,39.339,5.049,34.292,55
42,42,Aaron Wise,90,.703,56.223,37.152,19.071,80
43,T45,Graeme McDowell,67,.697,32.061,10.093,21.967,46
44,44,Kyle Stanley,93,.686,45.987,43.483,2.505,67
45,47,Chez Reavie,93,.674,40.453,28.956,11.495,60
46,48,Xander Schauffele,96,.644,46.352,32.276,14.079,72
47,49,Brandt Snedeker,84,.625,46.285,10.905,35.378,74
48,T45,Marc Leishman,93,.624,45.569,36.334,9.234,73
49,50,Kevin Streelman,94,.619,50.729,71.201,-20.473,82
50,51,Adam Hadwin,92,.596,39.353,32.337,7.013,66
51,52,Beau Hossler,104,.584,52.529,-9.092,61.617,90
52,53,Matt Kuchar,88,.576,37.442,14.848,22.592,65
53,54,Austin Cook,107,.569,52.338,23.377,28.963,92
54,55,Brian Gay,103,.565,52.021,11.355,40.668,92
55,40,Bubba Watson,90,.555,37.729,37.666,.063,68
56,56,J.B. Holmes,77,.549,37.302,51.408,-14.110,68
57,57,Russell Henley,77,.541,31.381,21.679,9.704,58
