RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
1,1,Rory McIlroy,72,2.320,132.246,110.191,24.221,57
2,2,Patrick Cantlay,77,2.013,114.725,85.860,22.027,57
3,3,Adam Scott,63,1.714,75.436,62.525,15.321,44
4,4,Justin Thomas,75,1.575,88.181,96.448,-10.419,56
5,5,Dustin Johnson,73,1.551,86.862,76.395,5.378,56
6,6,Webb Simpson,81,1.549,106.874,70.510,41.957,69
7,7,Jon Rahm,75,1.503,79.655,59.763,17.793,53
8,8,Hideki Matsuyama,91,1.469,107.207,106.981,.811,73
9,9,Justin Rose,66,1.342,65.775,35.422,24.682,49
10,10,Tommy Fleetwood,71,1.276,63.798,51.802,8.441,50
11,11,Brooks Koepka,81,1.260,73.072,61.715,13.106,58
12,12,Paul Casey,79,1.232,67.745,74.145,-5.058,55
13,13,Xander Schauffele,77,1.202,63.703,52.397,12.949,53
14,14,Matt Kuchar,87,1.105,72.952,57.318,19.924,66
15,16,Lucas Glover,94,1.098,88.958,76.057,13.324,81
16,15,Rickie Fowler,76,1.095,69.002,38.949,34.066,63
17,17,Sungjae Im,122,1.032,103.181,77.983,32.264,100
18,18,Brandt Snedeker,102,1.010,80.798,29.316,47.330,80
19,19,Jason Kokrak,94,.994,74.566,73.691,-1.332,75
20,21,Henrik Stenson,58,.971,40.800,36.358,4.442,42
21,20,Bryson DeChambeau,75,.950,62.706,41.030,24.564,66
22,26,Jim Furyk,73,.897,51.114,44.668,6.449,57
23,22,Gary Woodland,87,.896,58.208,65.096,-9.277,65
24,24,Patrick Reed,93,.888,64.813,46.609,19.054,73
25,27,Matthew Fitzpatrick,54,.887,32.836,34.821,-1.986,37
26,23,Marc Leishman,76,.883,50.354,30.931,17.219,57
27,25,Charles Howell III,94,.862,62.918,45.039,21.214,73
28,29,Jason Day,69,.833,39.166,22.431,16.735,47
29,30,Billy Horschel,99,.829,57.228,21.176,36.051,69
30,31,Ryan Moore,74,.826,52.055,48.168,3.885,63
31,32,Rory Sabbatini,97,.820,62.357,50.657,11.699,76
32,33,Byeong Hun An,80,.819,49.952,85.505,-35.554,61
33,28,Louis Oosthuizen,71,.795,38.163,33.665,8.113,48
34,35,Ian Poulter,65,.764,33.614,14.918,18.695,44
35,34,Chez Reavie,99,.751,52.547,45.146,4.306,70
36,37,Sergio Garcia,53,.746,28.364,31.319,-2.954,38
37,38,Vaughn Taylor,93,.732,60.009,7.897,52.113,82
38,36,Tony Finau,89,.704,45.769,55.078,-6.720,65
39,40,Denny McCarthy,89,.687,47.418,-16.473,63.890,69
40,39,Corey Conners,90,.676,46.636,79.775,-39.771,69
41,41,Joaquin Niemann,98,.670,53.636,67.197,-13.561,80
42,42,Kevin Streelman,83,.669,46.127,63.438,-17.312,69
43,44,Scott Piercy,90,.631,44.173,33.936,10.237,70
44,45,Matt Jones,88,.628,41.431,33.506,7.926,66
45,43,Kevin Kisner,97,.627,44.486,16.757,31.952,71
46,46,Jhonattan Vegas,75,.626,38.204,47.727,-9.523,61
47,47,Abraham Ancer,93,.584,41.437,43.393,-4.642,71
48,48,Bud Cauley,82,.558,41.267,45.147,-3.883,74
49,49,Sepp Straka,78,.552,32.028,28.773,3.255,58
50,50,Russell Knox,79,.550,32.441,42.836,-10.397,59
51,51,Cameron Tringale,73,.546,27.826,17.431,10.396,51
52,52,Andrew Putnam,81,.536,30.013,-9.165,39.180,56
53,53,Nate Lashley,70,.523,28.759,12.030,16.727,55
54,54,J.T. Poston,100,.506,44.518,25.830,18.687,88
55,55,Tyrrell Hatton,62,.489,20.522,28.585,-8.063,42
56,56,Adam Schenk,102,.487,39.948,12.007,27.941,82
57,57,Ryan Palmer,74,.475,24.200,22.121,2.076,51
58,58,Sam Ryder,76,.462,27.691,2.099,25.592,60
T59,T59,Jordan Spieth,82,.459,30.287,-26.613,56.900,66
T59,T59,Zach Johnson,64,.459,24.331,28.964,-4.633,53
61,61,Nick Taylor,97,.452,38.841,10.467,28.376,86
62,62,Dylan Frittelli,83,.439,29.853,41.319,-11.465,68
63,63,Michael Thompson,71,.426,27.718,5.658,22.056,65
64,64,Troy Merritt,69,.421,23.591,18.818,4.773,56
65,65,Rafa Cabrera Bello,71,.419,20.129,18.070,2.058,48
66,66,Emiliano Grillo,85,.418,22.966,57.795,-34.828,55
67,67,Wyndham Clark,87,.413,30.158,-16.593,46.752,73
68,68,Brian Stuard,98,.393,30.239,16.725,13.515,77
69,69,Graeme McDowell,75,.385,19.255,-17.298,36.555,50
70,70,Danny Willett,63,.383,19.128,25.629,-6.500,50
71,71,Adam Svensson,73,.380,20.885,53.968,-33.084,55
72,72,Peter Malnati,87,.379,28.774,-6.693,35.469,76
73,73,Talor Gooch,54,.370,17.782,12.447,5.336,48
74,74,Brian Harman,91,.346,24.545,18.168,6.376,71
T75,T75,Adam Hadwin,86,.343,21.265,5.620,15.644,62
T75,T75,Sebastián Muñoz,86,.343,21.979,17.122,4.856,64
77,77,Aaron Wise,72,.329,17.741,25.638,-7.897,54
78,78,Cameron Smith,79,.324,17.174,8.852,8.323,53
79,79,Aaron Baddeley,55,.313,13.162,-14.289,27.451,42
80,80,Pat Perez,68,.288,11.797,-10.158,21.954,41
81,81,Bubba Watson,65,.281,14.026,31.207,-17.180,50
82,82,Daniel Berger,70,.280,16.501,19.009,-2.510,59
83,83,Josh Teater,73,.262,13.900,14.783,-.884,53
84,84,Keith Mitchell,86,.254,15.464,36.094,-20.632,61
85,86,Patrick Rodgers,55,.231,10.377,-8.863,19.240,45
86,87,Harold Varner III,84,.227,16.768,31.746,-14.976,74
87,88,Martin Laird,88,.223,16.253,14.878,1.373,73
88,89,Luke List,66,.202,11.090,26.490,-15.400,55
89,90,Harris English,97,.200,15.806,-25.865,41.671,79
90,91,Ryan Armour,92,.190,14.282,.056,14.227,75
T91,T92,Russell Henley,78,.167,10.179,28.407,-18.228,61
T91,T92,Hank Lebioda,76,.167,9.695,25.919,-16.223,58
93,94,Wes Roach,69,.165,8.105,8.122,-.019,49
94,95,Bill Haas,77,.153,9.336,5.980,3.354,61
95,97,Keegan Bradley,89,.147,9.873,44.424,-34.551,67
96,98,Kevin Tway,84,.143,9.554,18.340,-8.786,67
97,99,Cameron Davis,76,.137,7.782,19.380,-11.600,57
98,100,Si Woo Kim,87,.134,7.916,11.432,-3.516,59
99,101,Nick Watney,87,.133,9.164,8.334,.829,69
100,102,Carlos Ortiz,84,.125,9.003,3.280,5.723,72
101,103,Jonas Blixt,82,.122,7.807,-.522,8.329,64
102,104,Shawn Stefani,80,.093,5.763,15.607,-9.845,62
103,105,Kevin Na,65,.087,3.841,-.087,3.925,44
104,106,Joel Dahmen,100,.085,6.430,14.188,-7.756,76
105,107,Kiradech Aphibarnrat,65,.083,3.730,-11.438,15.167,45
106,108,Max Homa,82,.082,5.655,6.036,-.380,69
107,109,Jimmy Walker,74,.062,3.519,10.948,-7.430,57
108,110,C.T. Pan,84,.059,3.517,7.225,-3.710,60
109,111,Charley Hoffman,74,.057,2.701,10.138,-7.438,47
110,112,Sam Burns,80,.050,3.366,-21.760,25.125,68
111,113,Francesco Molinari,61,.038,1.616,10.487,-8.870,42
T112,T114,J.J. Spaun,90,.030,1.948,3.274,-1.328,64
T112,T114,Sung Kang,86,.030,2.075,8.269,-6.194,70
114,116,Roger Sloan,88,.020,1.407,-5.679,7.085,70
115,117,Chase Wright,75,.010,.585,-21.039,21.623,57
116,118,Roberto Castro,76,.009,.569,5.471,-4.903,62
117,119,Johnson Wagner,64,.005,.237,-22.723,22.959,47
118,120,Scott Brown,86,-.004,-.259,-5.251,4.993,68
119,121,Andrew Landry,80,-.011,-.730,9.209,-9.937,65
120,122,Kyle Stanley,81,-.013,-.689,15.665,-16.351,55
121,123,Jason Dufner,74,-.015,-.870,27.290,-28.161,57
122,124,Brice Garnett,87,-.034,-2.181,-8.110,5.928,65
123,125,Mackenzie Hughes,80,-.044,-2.896,-1.994,-.901,66
124,126,Alex Prugh,77,-.066,-3.770,15.846,-19.615,57
125,127,Scott Stallings,82,-.078,-5.306,17.046,-22.353,68
126,128,Stephan Jaeger,77,-.093,-5.275,-.101,-5.176,57
127,129,Patton Kizzire,76,-.098,-5.192,-39.241,34.050,53
T128,T130,Branden Grace,76,-.107,-4.813,18.563,-23.379,45
T128,T130,Kyoung-Hoon Lee,92,-.107,-6.611,-.675,-5.935,62
130,132,Roberto Díaz,73,-.123,-6.295,-14.533,8.239,51
131,133,Chesson Hadley,76,-.128,-7.658,-21.432,13.772,60
132,134,Danny Lee,83,-.137,-9.874,7.374,-17.247,72
133,135,Ryan Blaum,90,-.145,-10.411,-24.349,13.937,72
134,136,Richy Werenski,89,-.147,-10.702,-16.134,5.430,73
135,137,Dominic Bozzelli,73,-.150,-7.331,-48.855,41.522,49
136,138,Fabián Gómez,62,-.159,-7.652,-.744,-6.909,48
137,139,Trey Mullinax,77,-.172,-10.834,11.429,-22.265,63
138,140,Beau Hossler,87,-.178,-12.125,-54.213,42.084,68
