RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
1,1,Phil Mickelson,80,1.818,107.261,94.625,12.640,59
2,2,Sergio Garcia,72,1.548,86.674,90.983,-4.303,56
3,3,Anthony Kim,81,1.479,96.120,72.573,23.552,65
4,4,Vijay Singh,82,1.467,92.447,118.107,-25.656,63
5,5,Robert Allenby,108,1.407,120.992,132.959,-11.960,86
6,6,Jim Furyk,95,1.287,96.494,66.094,30.405,75
7,7,Camilo Villegas,79,1.254,79.006,73.471,5.541,63
8,9,Justin Leonard,101,1.138,83.049,49.283,33.771,73
9,8,Stewart Cink,87,1.125,72.019,38.672,33.347,64
10,11,Kevin Sutherland,98,1.092,96.135,65.966,30.172,88
11,12,Kenny Perry,97,1.076,99.035,91.528,7.509,92
12,13,Stuart Appleby,87,1.075,72.000,43.421,28.583,67
13,14,Pat Perez,93,1.064,84.062,67.662,16.405,79
14,15,Stephen Ames,83,1.039,68.560,48.586,19.978,66
15,16,Hunter Mahan,87,1.006,72.414,47.876,24.544,72
16,18,Mike Weir,88,.926,61.139,50.016,11.128,66
17,10,Bob Tway,70,.912,51.968,5.114,46.854,57
18,19,Steve Stricker,75,.908,52.646,28.826,23.823,58
19,20,Padraig Harrington,52,.905,28.969,30.683,-1.714,32
20,21,Chad Campbell,94,.901,76.611,62.237,14.378,85
T21,T22,Aaron Baddeley,76,.885,53.101,7.361,45.745,60
T21,T22,K.J. Choi,74,.885,50.434,22.472,27.966,57
23,24,Nick O'Hern,82,.884,62.759,38.075,24.688,71
24,17,Ben Crane,86,.880,66.013,10.155,55.864,75
25,25,Adam Scott,51,.859,30.064,45.466,-15.398,35
26,26,Mathew Goggin,91,.826,67.723,57.699,10.030,82
27,27,Geoff Ogilvy,65,.810,39.673,33.530,6.147,49
28,34,Steve Marino,119,.767,79.717,63.561,16.160,104
29,28,Fred Couples,60,.762,38.841,36.635,2.212,51
30,29,Ben Curtis,80,.761,47.959,27.735,20.228,63
31,31,Carl Pettersson,110,.754,73.177,21.382,51.798,97
32,30,Brian Gay,102,.716,61.574,17.645,43.933,86
33,45,Ryan Palmer,69,.709,42.559,16.786,25.777,60
34,32,Briny Baird,113,.700,67.199,89.412,-22.211,96
35,36,Bart Bryant,81,.689,46.166,46.446,-.273,67
36,35,Steve Elkington,84,.678,49.515,19.205,30.312,73
37,58,Davis Love III,78,.664,43.131,49.651,-6.514,65
38,33,John Huston,56,.646,31.657,22.378,9.280,49
39,38,Ryuji Imada,80,.644,43.825,11.930,31.898,68
40,37,Tim Clark,90,.641,46.825,41.270,5.558,73
41,40,Woody Austin,109,.631,55.508,55.285,.229,88
42,53,Scott Verplank,82,.619,40.245,58.539,-18.287,65
T43,42,Ernie Els,51,.611,21.994,40.303,-18.306,36
T43,39,Zach Johnson,85,.611,43.357,40.611,2.748,71
45,43,Mark Wilson,107,.610,63.461,16.191,47.277,104
46,46,Ken Duke,116,.597,62.702,13.647,49.063,105
47,49,Freddie Jacobson,78,.589,37.722,8.602,29.124,64
48,47,John Senden,93,.586,48.077,73.742,-25.660,82
49,48,Tom Pernice Jr.,104,.557,54.611,30.269,24.347,98
50,50,Matt Kuchar,88,.554,38.763,26.525,12.240,70
51,44,Boo Weekley,86,.550,35.206,67.093,-31.880,64
52,51,David Toms,70,.548,30.686,41.476,-10.788,56
53,55,Charles Howell III,101,.545,47.397,56.417,-9.011,87
54,41,Dudley Hart,74,.532,35.677,-7.982,43.662,67
55,56,J.B. Holmes,86,.524,36.141,39.617,-3.472,69
56,54,D.J. Trahan,94,.523,40.798,72.845,-32.043,78
57,52,Bubba Watson,97,.518,41.464,72.280,-30.813,80
58,63,Bob Estes,90,.498,42.820,30.280,12.544,86
