RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
1,1,Rory McIlroy,66,2.266,108.746,95.596,13.150,48
2,2,Sergio Garcia,61,1.984,79.369,72.707,6.662,40
3,3,Jim Furyk,84,1.796,118.540,112.517,6.024,66
4,4,Adam Scott,68,1.720,96.308,84.001,12.309,56
5,5,Matt Kuchar,91,1.573,119.574,84.859,34.717,76
6,7,Justin Rose,70,1.466,76.256,78.322,-2.062,52
7,12,Jason Day,54,1.389,45.849,35.398,10.451,33
8,6,Bubba Watson,76,1.352,75.695,78.510,-2.812,56
9,9,Charl Schwartzel,64,1.341,72.436,69.444,2.994,54
10,10,Dustin Johnson,58,1.331,54.553,51.193,3.362,41
11,13,Ryan Palmer,85,1.265,84.769,65.041,19.733,67
12,8,Jimmy Walker,98,1.253,91.491,56.508,34.989,73
13,15,Graeme McDowell,66,1.171,53.881,13.290,40.589,46
14,16,Graham DeLaet,80,1.168,74.753,80.741,-5.982,64
15,11,Hideki Matsuyama,82,1.152,73.751,98.883,-25.129,64
16,17,Bill Haas,107,1.090,89.418,77.360,12.063,82
17,20,Paul Casey,56,1.008,44.336,31.892,12.446,44
18,21,Keegan Bradley,89,.994,66.589,49.587,17.003,67
19,22,Henrik Stenson,56,.992,37.693,44.141,-6.447,38
20,14,Jordan Spieth,102,.980,77.400,45.885,31.520,79
21,24,Brooks Koepka,56,.958,40.255,33.472,6.783,42
22,25,Charley Hoffman,93,.956,72.688,52.502,20.191,76
23,18,Kevin Na,94,.954,74.378,49.791,24.589,78
24,27,Jason Kokrak,65,.908,55.384,41.851,13.532,61
25,28,Gary Woodland,93,.900,65.730,76.581,-10.847,73
26,19,Webb Simpson,87,.880,65.133,42.933,22.203,74
27,29,Phil Mickelson,71,.868,43.419,31.697,11.722,50
28,33,Chris Kirk,105,.862,74.138,42.014,32.127,86
29,26,Zach Johnson,97,.857,72.001,63.114,8.889,84
30,31,Ryan Moore,86,.836,51.844,49.218,2.629,62
31,32,Russell Knox,92,.822,68.253,77.881,-9.627,83
32,23,John Senden,99,.805,65.177,26.594,38.587,81
33,34,George McNeill,79,.799,55.920,36.968,18.955,70
34,30,Brendon Todd,108,.793,72.207,11.781,60.431,91
35,37,Rickie Fowler,91,.769,47.703,29.729,17.976,62
36,35,Charles Howell III,106,.755,71.686,68.141,3.549,95
37,36,Marc Leishman,81,.749,51.681,52.826,-1.140,69
38,47,Billy Horschel,92,.738,50.919,35.712,15.210,69
39,39,Kevin Chappell,100,.692,60.194,84.364,-24.167,87
40,40,Luke Donald,57,.690,30.361,7.628,22.733,44
41,41,Harris English,95,.677,50.126,52.223,-2.092,74
42,42,Daniel Summerhays,98,.675,59.422,16.152,43.275,88
43,38,Cameron Tringale,111,.668,65.428,54.924,10.507,98
44,44,Lee Westwood,57,.646,27.796,21.287,6.509,43
45,45,Brandt Snedeker,89,.644,42.505,20.967,21.541,66
46,46,Nick Watney,80,.613,34.303,38.498,-4.191,56
47,48,Jerry Kelly,80,.527,34.784,19.033,15.752,66
48,49,Jason Dufner,57,.522,21.916,46.128,-24.208,42
49,43,Hunter Mahan,88,.520,37.461,22.576,14.888,72
50,50,Brendan Steele,89,.519,36.317,27.856,8.462,70
51,51,Brian Harman,111,.515,52.053,40.657,11.399,101
52,52,Matt Every,85,.497,32.337,-15.331,47.669,65
53,53,Ernie Els,85,.483,30.434,41.192,-10.756,63
54,54,David Toms,64,.460,24.858,21.893,2.970,54
55,55,David Hearn,97,.451,36.991,11.154,25.838,82
56,56,Robert Streb,75,.438,28.039,20.432,7.609,64
57,57,Robert Garrigus,80,.429,31.319,27.885,3.439,73
58,59,Ben Martin,80,.421,26.545,8.209,18.338,63
T59,T60,Shawn Stefani,60,.418,23.809,32.143,-8.331,57
T59,T60,Chris Stroud,88,.418,30.098,16.983,13.118,72
T61,T62,Kevin Stadler,90,.411,26.720,57.074,-30.351,65
T61,T62,Freddie Jacobson,91,.411,33.253,-23.735,56.992,81
63,64,J.B. Holmes,86,.401,30.894,36.650,-5.753,77
64,65,Kevin Kisner,85,.397,27.811,.637,27.176,70
65,67,Bo Van Pelt,83,.378,25.325,28.903,-3.574,67
66,68,Stuart Appleby,92,.361,30.300,-10.572,40.874,84
67,69,Will Wilcox,51,.349,13.943,22.085,-8.141,40
68,70,Scott Brown,100,.345,28.635,11.134,17.502,83
69,71,Andrew Svoboda,77,.344,22.707,24.413,-1.704,66
70,66,Patrick Reed,92,.331,24.461,6.021,18.440,74
71,72,Retief Goosen,94,.329,25.623,-1.838,27.461,78
72,73,Brian Stuard,91,.326,24.108,3.141,20.973,74
73,74,Ryo Ishikawa,75,.323,20.002,14.324,5.682,62
74,75,Camilo Villegas,95,.315,26.478,26.502,-.021,84
75,76,Billy Hurley III,86,.309,22.216,19.404,2.815,72
76,77,Seung-Yul Noh,92,.306,22.945,32.036,-9.089,75
77,78,Ricky Barnes,92,.302,23.518,11.286,12.237,78
78,79,Luke Guthrie,85,.299,22.746,8.293,14.457,76
79,80,K.J. Choi,80,.293,19.630,-2.623,22.255,67
80,81,Scott Langley,95,.284,22.474,1.289,21.185,79
81,82,Chad Campbell,57,.275,12.663,32.617,-19.952,46
82,83,Carl Pettersson,91,.259,22.027,33.767,-11.737,85
83,84,Heath Slocum,71,.249,15.426,20.289,-4.862,62
84,58,Martin Kaymer,65,.244,11.708,17.044,-5.332,48
T85,T85,Will MacKenzie,82,.224,16.386,5.114,11.273,73
T85,T85,Brendon de Jonge,109,.224,20.596,23.559,-2.961,92
87,87,Martin Flores,85,.218,14.839,24.601,-9.760,68
88,88,Sangmoon Bae,76,.216,14.056,-13.120,27.179,65
89,89,Ángel Cabrera,69,.205,12.493,12.056,.439,61
90,91,Michael Thompson,74,.149,8.923,-19.026,27.951,60
91,92,Andres Romero,81,.145,10.473,-14.925,25.399,72
92,93,Tim Wilkinson,86,.127,9.034,-5.534,14.569,71
T93,T94,Stewart Cink,91,.113,8.122,17.521,-9.399,72
T93,T94,Matt Jones,83,.113,6.793,-1.716,8.511,60
95,96,Michael Putnam,106,.108,9.853,47.056,-37.202,91
96,97,Robert Allenby,83,.105,7.370,18.805,-11.431,70
97,98,Tim Clark,75,.086,5.317,3.781,1.538,62
98,99,William McGirt,96,.079,6.596,-19.768,26.367,84
99,100,Kevin Streelman,79,.074,4.424,4.092,.333,60
100,101,Justin Hicks,103,.066,5.952,-.233,6.188,90
T101,T102,Brian Davis,93,.061,4.928,-6.847,11.779,81
T101,T102,Jeff Overton,80,.061,4.038,2.911,1.129,66
103,104,Brad Fritsch,50,.060,2.342,4.290,-1.947,39
104,105,Aaron Baddeley,74,.044,2.589,-48.855,51.445,59
105,90,Morgan Hoffmann,103,.034,3.045,-42.474,45.523,90
106,106,Erik Compton,88,.023,1.716,-19.413,21.133,75
107,107,Danny Lee,84,.018,1.268,-8.470,9.737,69
108,108,Pat Perez,84,-.004,-.303,-19.160,18.859,75
