RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
1,2,Steve Stricker,51,2.193,76.771,51.586,25.185,35
2,1,Tiger Woods,61,2.064,88.731,70.396,18.333,43
3,3,Justin Rose,62,1.723,79.269,87.932,-8.662,46
4,7,Henrik Stenson,65,1.618,71.179,71.008,.171,44
5,5,Sergio Garcia,65,1.519,71.404,43.604,27.798,47
6,11,Jordan Spieth,82,1.473,98.676,86.489,12.183,67
7,8,Phil Mickelson,78,1.436,81.832,44.160,37.669,57
8,10,Keegan Bradley,88,1.403,101.011,83.011,18.002,72
9,6,Matt Kuchar,93,1.398,96.449,68.950,27.495,69
10,9,Jim Furyk,80,1.389,88.906,83.001,5.901,64
11,12,Adam Scott,61,1.310,57.657,58.830,-1.174,44
12,T13,Luke Donald,60,1.279,58.853,34.584,24.266,46
13,16,Webb Simpson,92,1.271,88.966,67.026,21.939,70
14,4,Charl Schwartzel,69,1.268,68.492,52.241,16.246,54
15,T13,Bill Haas,85,1.265,87.294,68.945,18.348,69
16,15,Brandt Snedeker,79,1.141,66.179,26.026,40.150,58
17,17,Hunter Mahan,91,1.134,77.108,51.144,25.964,68
18,19,Freddie Jacobson,63,1.075,49.456,28.785,20.669,46
T19,20,Bubba Watson,76,1.069,63.059,68.702,-5.642,59
T19,18,Graham DeLaet,94,1.069,86.559,78.479,8.078,81
21,22,Rory McIlroy,56,.985,40.365,44.161,-3.796,41
22,21,Jason Day,86,.976,59.508,36.959,22.546,61
23,24,Chris Kirk,89,.962,77.953,40.995,36.956,81
24,25,Jimmy Walker,84,.930,69.722,49.033,20.687,75
25,26,Matt Jones,83,.885,61.918,51.769,10.147,70
26,27,Ryan Palmer,79,.883,60.897,37.925,22.968,69
27,28,Charles Howell III,87,.862,68.969,33.910,35.056,80
28,23,Kevin Streelman,86,.858,58.317,41.579,16.735,68
29,29,K.J. Choi,85,.845,53.225,31.979,21.244,63
30,30,Zach Johnson,84,.844,56.552,32.066,24.485,67
31,34,Dustin Johnson,71,.805,41.048,46.187,-5.140,51
32,32,Rickie Fowler,75,.783,46.222,21.124,25.099,59
33,33,Bob Estes,66,.759,47.066,26.293,20.768,62
34,31,Brendon de Jonge,110,.756,73.294,70.355,2.936,97
35,35,Russell Henley,80,.754,49.775,9.568,40.206,66
36,36,Brian Davis,91,.689,57.207,37.975,19.228,83
37,37,Billy Horschel,96,.656,54.488,22.866,31.619,83
38,38,Chris Stroud,88,.616,48.083,21.524,26.558,78
39,39,Harris English,95,.613,50.304,11.183,39.119,82
40,40,Lee Westwood,70,.604,30.788,55.465,-24.676,51
41,41,Jerry Kelly,75,.592,37.893,25.203,12.687,64
42,43,Jason Dufner,78,.581,35.441,49.509,-14.069,61
43,42,Charley Hoffman,84,.578,42.197,32.843,9.350,73
44,44,Graeme McDowell,53,.543,20.089,15.058,5.027,37
45,46,John Merrick,79,.517,35.165,30.848,4.317,68
46,47,Ian Poulter,59,.514,20.049,13.142,6.906,39
47,45,Nick Watney,88,.512,37.400,36.954,.445,73
48,49,Peter Hanson,45,.508,16.772,.797,15.973,33
49,50,Bryce Molder,82,.504,35.809,-6.400,42.205,71
50,51,Rory Sabbatini,86,.469,33.794,53.491,-19.700,72
51,52,Kevin Stadler,83,.467,32.234,51.808,-19.575,69
52,T53,Roberto Castro,97,.466,39.153,78.170,-39.019,84
53,48,Gary Woodland,94,.459,38.082,32.972,5.105,83
54,T53,Camilo Villegas,79,.458,29.333,38.886,-9.556,64
55,55,Daniel Summerhays,83,.453,35.337,18.065,17.267,78
56,56,Martin Flores,83,.426,32.370,26.301,6.065,76
