RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
1,1,Tiger Woods,76,2.401,132.041,95.788,36.252,55
2,2,Vijay Singh,111,2.189,192.640,178.607,14.030,88
3,4,Jim Furyk,94,1.846,132.944,107.984,24.957,72
4,3,Luke Donald,67,1.796,71.837,57.344,14.491,40
5,5,Kenny Perry,82,1.672,100.294,110.129,-9.834,60
6,7,Phil Mickelson,81,1.525,76.245,63.061,13.183,50
7,6,Sergio Garcia,73,1.513,78.682,92.205,-13.525,52
8,9,Tim Herron,100,1.247,97.287,62.159,35.127,78
9,8,David Toms,87,1.226,78.485,58.990,19.493,64
10,10,Shigeki Maruyama,99,1.182,100.438,78.216,22.218,85
T11,11,José María Olazábal,55,1.140,46.740,19.975,26.764,41
T11,12,Davis Love III,80,1.140,64.997,53.860,11.137,57
13,19,Bart Bryant,91,1.070,82.390,59.477,22.910,77
14,14,Adam Scott,72,1.047,54.425,53.574,.847,52
15,13,Charles Howell III,95,.988,71.138,50.736,20.398,72
16,18,Scott Verplank,87,.974,64.300,68.751,-4.452,66
17,16,Loren Roberts,54,.960,46.090,20.159,25.928,48
18,17,Ben Crane,78,.939,61.058,.012,61.044,65
19,20,Arjun Atwal,65,.927,56.543,16.478,40.064,61
20,21,Zach Johnson,96,.922,76.486,49.061,27.422,83
21,22,Bob Estes,92,.905,72.426,58.941,13.483,80
22,15,Billy Mayfair,114,.904,92.223,100.375,-8.154,102
23,24,Brad Faxon,75,.855,49.561,3.218,46.343,58
24,26,Stewart Cink,98,.823,58.440,19.764,38.674,71
25,27,Rod Pampling,89,.822,57.545,48.139,9.404,70
26,23,Chris DiMarco,83,.815,48.107,34.861,13.245,59
27,28,Stephen Ames,82,.802,48.924,22.921,26.001,61
28,30,Bob Tway,87,.785,51.837,3.254,48.582,66
29,32,Richard Johnson,50,.766,35.253,8.823,26.428,46
30,33,Brett Quigley,96,.757,64.319,36.311,28.006,85
T31,T35,Brian Davis,75,.736,47.118,71.687,-24.572,64
T31,T35,Jerry Kelly,101,.736,55.932,56.509,-.578,76
33,37,Tom Pernice Jr.,111,.724,64.473,37.056,27.414,89
34,39,Justin Rose,99,.719,64.013,85.804,-21.794,89
35,38,Mark Calcavecchia,92,.718,55.291,56.248,-.956,77
36,42,Stuart Appleby,84,.712,44.827,49.357,-4.532,63
37,25,Brandt Jobe,96,.707,58.013,45.671,12.339,82
38,34,Chad Campbell,95,.694,52.748,40.205,12.538,76
39,43,Robert Allenby,95,.673,49.120,64.251,-15.131,73
T40,49,Retief Goosen,71,.671,28.873,25.067,3.804,43
T40,29,Tim Clark,92,.671,43.610,55.095,-11.484,65
T42,T44,Jason Bohn,91,.670,54.926,52.706,2.220,82
T42,T44,Jeff Brehaut,71,.670,42.203,42.461,-.256,63
44,46,J.L. Lewis,98,.669,54.832,40.120,14.712,82
45,47,Dudley Hart,84,.640,46.748,17.144,29.603,73
46,48,Woody Austin,100,.637,57.976,74.142,-16.167,91
47,50,Bo Van Pelt,112,.616,57.272,39.013,18.258,93
48,41,Fred Funk,102,.601,49.248,39.388,9.858,82
49,51,K.J. Choi,78,.599,32.344,22.480,9.863,54
50,52,Kevin Sutherland,89,.597,44.193,25.637,18.556,74
51,53,Rory Sabbatini,81,.592,35.507,19.304,16.200,60
T52,T54,Fred Couples,72,.553,24.313,48.315,-24.002,44
T52,T54,John Senden,101,.553,50.311,54.492,-4.182,91
54,31,Justin Leonard,78,.547,30.106,31.011,-.903,55
55,56,Scott Gutschewski,86,.545,39.219,36.038,3.181,72
56,57,Geoff Ogilvy,97,.540,40.531,31.194,9.332,75
