RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
1,1,Henrik Stenson,63,2.210,97.245,78.041,19.205,44
2,4,Jordan Spieth,91,2.154,142.131,104.470,37.665,66
3,2,Jason Day,75,2.106,120.054,86.649,33.407,57
4,3,Bubba Watson,71,2.088,116.927,105.053,11.875,56
5,5,Jim Furyk,71,1.634,84.986,86.239,-1.252,52
6,7,Justin Rose,69,1.493,73.180,72.060,1.123,49
7,6,Hideki Matsuyama,95,1.464,102.473,97.135,5.340,70
8,8,Dustin Johnson,75,1.455,78.552,71.623,6.932,54
9,9,Paul Casey,87,1.216,76.616,75.709,.911,63
10,11,Will Wilcox,58,1.186,48.615,35.396,13.220,41
11,13,Matt Kuchar,97,1.133,87.212,62.892,24.322,77
12,15,Zach Johnson,90,1.120,78.417,75.643,2.778,70
13,12,Robert Streb,110,1.093,104.938,68.382,36.561,96
14,14,Rickie Fowler,76,1.088,62.024,44.412,17.616,57
15,10,Brooks Koepka,84,1.081,70.245,42.877,27.372,65
16,17,Sergio Garcia,59,1.045,37.624,38.412,-.784,36
17,19,Keegan Bradley,87,1.018,65.156,69.635,-4.473,64
18,21,Justin Thomas,106,.968,92.893,88.883,4.012,96
19,22,Ryan Palmer,80,.960,51.852,43.921,7.937,54
20,23,Brendan Steele,88,.958,72.798,76.351,-3.547,76
T21,24,J.B. Holmes,89,.944,62.313,62.613,-.296,66
T21,20,Kevin Na,98,.944,67.027,50.485,16.544,71
23,18,Jimmy Walker,89,.933,59.711,15.449,44.265,64
24,25,Lee Westwood,56,.879,28.112,9.067,19.046,32
25,16,Patrick Reed,103,.859,65.248,35.333,29.919,76
26,28,Brendon Todd,96,.830,63.067,18.851,44.219,76
27,30,Russell Knox,96,.806,70.153,71.984,-1.826,87
T28,31,Jason Bohn,95,.777,67.614,46.844,20.775,87
T28,26,Harris English,105,.777,68.373,19.079,49.298,88
30,33,Danny Lee,120,.729,72.890,35.448,37.446,100
31,32,Webb Simpson,81,.700,44.777,86.154,-41.374,64
32,35,Matt Jones,89,.664,44.474,17.609,26.870,67
T33,27,Kevin Kisner,104,.628,59.060,36.548,22.516,94
T33,37,Tony Finau,106,.628,57.797,58.336,-.533,92
35,34,Brandt Snedeker,98,.607,45.544,1.471,44.074,75
36,38,Louis Oosthuizen,68,.605,28.413,38.757,-10.341,47
37,39,Francesco Molinari,56,.604,25.981,36.930,-10.948,43
38,40,Pat Perez,96,.586,48.638,18.418,30.224,83
39,41,Luke Donald,71,.584,31.525,15.948,15.579,54
40,42,Phil Mickelson,70,.581,31.955,17.541,14.421,55
41,43,Ryan Moore,81,.578,35.241,25.501,9.741,61
42,44,George McNeill,93,.563,50.107,31.233,18.879,89
43,45,Ian Poulter,68,.554,26.602,15.785,10.820,48
44,46,Daniel Summerhays,101,.541,48.137,-9.194,57.333,89
45,47,Shawn Stefani,94,.497,43.779,37.244,6.539,88
46,48,Daniel Berger,97,.489,40.570,56.604,-16.030,83
47,49,Stewart Cink,77,.468,30.900,24.191,6.712,66
48,50,Russell Henley,87,.462,30.964,-7.805,38.773,67
49,51,Rory Sabbatini,81,.461,30.396,37.393,-6.993,66
50,36,Bill Haas,89,.460,32.670,48.916,-16.243,71
51,52,William McGirt,103,.455,44.167,38.354,5.816,97
52,54,Billy Horschel,99,.446,32.594,14.757,17.841,73
53,55,Chad Campbell,97,.437,39.742,43.819,-4.074,91
54,56,Jerry Kelly,79,.436,28.793,12.305,16.490,66
55,57,Boo Weekley,79,.425,28.496,44.965,-16.467,67
56,58,Tom Hoge,83,.415,26.965,26.671,.296,65
57,59,Chris Kirk,76,.414,23.201,19.572,3.632,56
58,60,Brian Harman,90,.413,32.185,13.799,18.390,78
59,61,David Lingmerth,90,.405,29.985,27.089,2.899,74
60,63,Steven Bowditch,103,.400,35.219,22.536,12.687,88
61,64,Charles Howell III,105,.383,37.878,59.277,-21.395,99
62,65,Jim Herman,88,.376,28.983,31.329,-2.341,77
63,66,Kevin Chappell,86,.370,27.785,15.162,12.628,75
64,67,Cameron Tringale,96,.369,29.152,19.283,9.874,79
65,68,David Hearn,97,.356,30.278,-.159,30.442,85
66,69,James Hahn,94,.355,27.682,23.949,3.736,78
67,70,Jamie Donaldson,50,.341,10.915,-.263,11.182,32
68,71,Hudson Swafford,97,.338,28.065,-1.829,29.896,83
69,62,Charley Hoffman,97,.335,25.442,20.473,4.973,76
70,53,Scott Piercy,90,.329,27.272,26.744,.534,83
71,72,Brendon de Jonge,106,.312,28.734,29.421,-.684,92
72,73,Martin Laird,77,.306,22.332,15.017,7.320,73
T73,T74,Marc Leishman,74,.302,16.304,17.400,-1.093,54
T73,T74,Vijay Singh,78,.302,20.808,56.047,-35.238,69
75,76,Jason Kokrak,88,.293,23.479,24.475,-.993,80
76,77,Graham DeLaet,65,.287,15.487,16.126,-.636,54
77,78,Ben Martin,93,.280,21.530,11.785,9.748,77
78,80,Nick Watney,91,.258,20.876,53.541,-32.658,81
