RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
1,1,Tiger Woods,64,3.189,153.060,110.950,42.109,48
2,2,Steve Stricker,81,1.828,113.323,100.479,12.843,62
3,3,Jim Furyk,86,1.690,109.870,63.392,46.476,65
4,4,Zach Johnson,94,1.545,122.045,92.037,30.009,79
5,5,Tim Clark,81,1.261,74.387,58.098,16.287,59
6,6,Hunter Mahan,94,1.255,94.113,63.341,30.772,75
7,8,Padraig Harrington,66,1.210,58.075,35.192,22.883,48
T8,T9,Ian Poulter,59,1.206,50.648,46.692,3.956,42
T8,T9,Kenny Perry,92,1.206,88.009,68.442,19.566,73
10,11,Sean O'Hair,80,1.170,67.833,75.223,-7.388,58
11,12,Matt Kuchar,82,1.158,82.248,32.708,49.542,71
12,7,David Toms,98,1.150,92.030,84.587,7.445,80
13,13,Nick Watney,86,1.113,75.667,59.541,16.125,68
14,14,Luke Donald,79,1.069,65.225,8.238,56.986,61
T15,T15,Geoff Ogilvy,78,1.060,61.504,32.934,28.570,58
T15,T15,John Senden,100,1.060,97.493,93.957,3.538,92
17,17,Steve Marino,98,1.020,85.657,76.457,9.202,84
18,18,Retief Goosen,74,1.011,56.619,30.317,26.301,56
19,19,Robert Allenby,71,.987,55.293,90.648,-35.353,56
20,22,Justin Leonard,95,.951,71.353,64.859,6.493,75
21,20,Kevin Na,91,.938,73.198,36.023,37.176,78
22,21,Ernie Els,70,.921,49.738,70.989,-21.251,54
23,24,Scott Verplank,88,.887,70.105,67.633,2.472,79
24,25,Jason Day,61,.871,43.532,18.519,25.009,50
25,26,Dustin Johnson,85,.853,54.560,52.582,1.977,64
26,27,Camilo Villegas,76,.825,46.225,57.584,-11.358,56
27,23,Brandt Snedeker,81,.823,53.504,4.070,49.434,65
28,28,Phil Mickelson,66,.816,39.184,46.207,-7.022,48
T29,T29,Jerry Kelly,90,.780,60.047,34.874,25.173,77
T29,T29,Mike Weir,85,.780,52.233,20.813,31.421,67
31,33,Ben Crane,93,.775,61.969,27.503,34.466,80
32,31,Lucas Glover,93,.768,60.701,48.914,11.789,79
33,32,Sergio Garcia,59,.763,33.566,36.427,-2.860,44
34,46,Stephen Ames,77,.754,42.960,18.125,24.834,57
35,35,Rory Sabbatini,81,.713,47.790,69.350,-21.560,67
36,45,George McNeill,82,.702,53.316,22.330,30.987,76
37,34,Bo Van Pelt,100,.701,57.473,34.941,22.533,82
38,36,Kevin Sutherland,96,.692,50.490,30.791,19.697,73
39,37,Rod Pampling,72,.684,43.779,35.631,8.149,64
40,38,Tim Petrovic,97,.649,55.825,29.540,26.287,86
41,43,Jonathan Byrd,89,.633,49.988,84.257,-34.268,79
42,39,Brian Gay,96,.632,51.795,-7.755,59.549,82
43,40,Jason Dufner,90,.624,48.699,50.865,-2.162,78
44,41,Charley Hoffman,97,.609,52.957,44.623,8.333,87
45,42,Chad Campbell,90,.602,42.752,40.591,2.160,71
46,44,Charles Howell III,99,.601,49.863,52.363,-2.497,83
T47,T47,Mark Wilson,99,.552,48.604,14.673,33.932,88
T47,T47,Woody Austin,84,.552,41.971,40.518,1.453,76
49,54,Paul Goydos,79,.550,35.730,26.924,8.803,65
50,49,Bubba Watson,73,.548,31.256,26.706,4.550,57
51,51,Ángel Cabrera,55,.544,20.674,14.133,6.542,38
52,52,Bryce Molder,69,.533,28.790,-11.564,40.353,54
53,53,Bob Estes,78,.528,36.412,14.818,21.594,69
54,66,Justin Rose,71,.506,28.834,22.511,6.325,57
55,56,Boo Weekley,79,.505,32.849,67.149,-34.297,65
56,57,Chris Riley,77,.486,32.530,9.380,23.151,67
57,58,Davis Love III,89,.485,37.317,58.386,-21.067,77
58,59,Anthony Kim,76,.479,28.760,14.083,14.676,60
59,61,Fred Couples,54,.468,19.640,33.999,-14.358,42
60,55,Michael Allen,73,.467,27.076,29.873,-2.793,58
61,68,Bill Haas,91,.455,37.349,34.400,2.950,82
62,62,Pat Perez,74,.445,27.568,-5.551,33.121,62
63,63,Ryan Moore,89,.444,33.301,7.291,26.009,75
64,65,Greg Chalmers,85,.409,29.033,-20.491,49.524,71
65,60,Freddie Jacobson,83,.395,28.821,-8.881,37.703,73
T66,70,Y.E. Yang,83,.383,26.800,31.346,-4.547,70
T66,64,Michael Letzig,96,.383,32.919,24.680,8.241,86
68,50,Matt Jones,56,.381,17.131,-9.100,26.230,45
T69,72,John Mallinger,90,.358,25.417,19.765,5.652,71
T69,79,Tom Lehman,55,.358,12.532,31.102,-18.570,35
71,T73,Marc Leishman,91,.353,29.683,17.827,11.857,84
72,75,J.J. Henry,97,.352,29.572,20.018,9.554,84
T73,67,Briny Baird,89,.329,23.710,47.962,-24.251,72
T73,71,Charlie Wi,92,.329,25.975,-12.610,38.583,79
75,94,Nick O'Hern,90,.322,27.374,26.867,.507,85
76,76,Harrison Frazar,93,.311,26.098,-.974,27.073,84
77,77,Jeff Klauk,97,.300,26.389,-13.505,39.896,88
T78,78,Jason Bohn,88,.298,24.437,55.673,-31.234,82
T78,96,D.A. Points,99,.298,25.648,25.372,.276,86
T78,80,Scott McCarron,91,.298,24.106,-14.238,38.344,81
81,93,Brian Davis,103,.297,27.006,26.877,.133,91
82,82,Scott Sterling,51,.291,11.647,8.629,3.018,40
83,83,Stewart Cink,79,.287,16.916,-3.158,20.074,59
84,T73,Lee Janzen,74,.285,17.379,1.413,15.965,61
85,81,Kevin Streelman,97,.284,24.735,14.211,10.526,87
T86,95,Patrick Sheehan,51,.251,9.800,8.989,.810,39
T86,84,Ben Curtis,63,.251,11.777,-24.225,36.002,47
88,86,Troy Matteson,95,.243,21.397,19.232,2.164,88
89,90,Greg Owen,97,.237,19.465,55.447,-35.982,82
90,T87,Tag Ridings,50,.236,9.678,18.893,-9.215,41
91,89,Alex Cejka,82,.233,16.513,39.378,-22.864,71
92,85,D.J. Trahan,96,.224,17.928,51.421,-33.492,80
93,T87,Scott Piercy,85,.196,14.863,9.630,5.237,76
94,97,Webb Simpson,94,.175,15.231,-33.065,48.298,87
95,92,Steve Elkington,70,.171,10.618,14.884,-4.264,62
96,98,Rocco Mediate,79,.170,11.207,45.563,-34.355,66
97,91,Charles Warren,63,.167,8.836,24.013,-15.175,53
98,100,K.J. Choi,65,.163,8.164,10.701,-2.537,50
99,102,Bill Lunde,83,.158,11.822,11.803,.019,75
100,99,Spencer Levin,75,.156,10.453,-16.357,26.811,67
T101,104,Kevin Stadler,65,.138,7.429,20.342,-12.911,54
T101,107,Chris DiMarco,97,.138,12.003,22.056,-10.050,87
103,110,Matt Weibring,65,.130,7.177,12.958,-5.779,55
104,106,Vijay Singh,71,.120,6.106,39.608,-33.500,51
105,101,Brett Quigley,92,.113,8.475,22.928,-14.453,75
106,105,Heath Slocum,95,.097,8.250,44.440,-36.189,85
107,113,Joe Ogilvie,85,.091,7.011,-35.038,42.051,77
108,109,James Nitties,86,.082,6.235,-11.822,18.057,76
109,108,Tommy Armour III,58,.079,4.083,14.489,-10.403,52
110,117,Jeff Overton,92,.078,5.893,-3.581,9.473,76
111,103,Ted Purdy,101,.048,4.290,-2.569,6.861,89
T112,116,Bob Heintz,59,.020,1.045,-29.626,30.670,51
T112,127,Dean Wilson,81,.020,1.400,-23.152,24.555,70
114,125,John Rollins,92,.011,.887,.962,-.074,79
115,112,Robert Garrigus,83,.010,.691,27.006,-26.312,72
116,114,Cameron Beckman,87,.009,.679,1.340,-.659,75
117,119,Chris Stroud,88,.007,.507,7.473,-6.964,76
118,111,Cliff Kresge,78,-.007,-.473,-2.691,2.221,67
119,121,Mathew Goggin,76,-.013,-.778,15.615,-16.394,60
120,122,Ryuji Imada,85,-.015,-1.043,-31.563,30.518,69
121,123,Daniel Chopra,89,-.017,-1.428,-26.511,25.084,83
122,115,Tim Herron,87,-.033,-2.682,3.223,-5.907,81
123,124,Vaughn Taylor,88,-.037,-2.922,-29.705,26.781,79
124,118,Corey Pavin,73,-.049,-2.661,-25.809,23.148,54
125,126,Martin Laird,72,-.055,-3.427,-6.742,3.318,62
126,120,Tom Pernice Jr.,82,-.064,-4.816,-3.563,-1.254,75
127,130,Nathan Green,104,-.097,-8.892,-43.385,34.494,92
128,133,Nicholas Thompson,96,-.102,-8.905,31.825,-40.727,87
129,131,Steve Flesch,77,-.112,-7.062,11.331,-18.392,63
130,135,Johnson Wagner,81,-.139,-10.283,-13.251,2.966,74
131,132,Aaron Baddeley,66,-.151,-8.747,-43.786,35.041,58
132,141,Jimmy Walker,74,-.170,-10.855,-4.289,-6.564,64
133,139,Jeff Quinney,78,-.233,-16.544,-31.978,15.433,71
134,136,Brendon de Jonge,90,-.236,-18.625,-1.490,-17.131,79
135,138,Chez Reavie,81,-.241,-16.899,-3.282,-13.616,70
136,146,Jeff Maggert,79,-.247,-18.041,3.886,-21.922,73
137,149,Rich Beem,77,-.260,-15.066,-13.146,-1.918,58
138,140,John Merrick,91,-.264,-17.972,-16.851,-1.120,68
139,134,Kris Blanks,60,-.266,-12.491,2.935,-15.425,47
140,142,Andres Romero,58,-.291,-12.498,-10.610,-1.888,43
141,137,Joe Durant,62,-.304,-14.300,22.304,-36.600,47
142,143,David Mathis,82,-.317,-21.868,-45.932,24.066,69
143,151,Ryan Palmer,78,-.373,-26.086,-39.272,13.186,70
144,147,Richard Johnson,85,-.405,-29.947,-54.543,24.597,74
145,145,Ken Duke,87,-.414,-29.424,4.267,-33.689,71
146,153,J.B. Holmes,74,-.453,-27.662,16.845,-44.506,61
147,148,Casey Wittenberg,71,-.461,-24.876,-1.613,-23.260,54
148,156,Darron Stiles,52,-.467,-19.623,7.872,-27.494,42
149,150,Brad Adamonis,70,-.471,-28.740,-32.753,4.014,61
150,154,Mark Calcavecchia,72,-.475,-29.460,-13.389,-16.070,62
151,155,Stuart Appleby,79,-.486,-31.559,11.225,-42.786,65
152,164,Todd Hamilton,83,-.489,-31.300,-39.169,7.868,64
153,157,Bart Bryant,58,-.507,-26.346,-18.967,-7.378,52
154,152,Matt Bettencourt,98,-.512,-44.573,-49.584,5.010,87
155,159,Steve Lowery,83,-.523,-40.264,-46.313,6.048,77
156,160,Aron Price,89,-.567,-43.665,-52.089,8.425,77
T157,161,Kirk Triplett,60,-.572,-31.482,14.735,-46.214,55
T157,165,Carl Pettersson,86,-.572,-42.355,-66.087,23.732,74
159,158,Jarrod Lyle,65,-.584,-29.199,-8.424,-20.773,50
160,167,Will MacKenzie,69,-.594,-36.236,24.208,-60.443,61
161,162,Jason Gore,74,-.618,-38.304,-.018,-38.284,62
162,166,Adam Scott,53,-.660,-27.736,9.257,-36.994,42
163,172,Kent Jones,73,-.684,-41.714,-32.852,-8.859,61
164,163,Glen Day,79,-.685,-43.855,-21.434,-22.418,64
165,171,Jay Williamson,69,-.737,-42.000,9.028,-51.025,57
166,168,Mark Brooks,55,-.767,-30.698,-30.832,.132,40
167,169,Colt Knost,71,-.801,-44.837,-49.102,4.269,56
168,170,Brian Vranesh,51,-.861,-37.019,-32.331,-4.686,43
169,173,Billy Mayfair,83,-.890,-61.403,1.395,-62.800,69
170,174,Peter Lonard,86,-.939,-72.304,-36.124,-36.178,77
171,175,Ricky Barnes,67,-.968,-49.347,12.665,-62.011,51
172,176,Peter Tomasulo,61,-1.086,-49.960,-21.472,-28.484,46
173,177,Parker McLachlin,71,-1.143,-76.599,-117.917,41.318,67
174,178,Marc Turnesa,77,-1.162,-82.499,-85.424,2.926,71
175,180,Brian Bateman,55,-1.276,-61.271,-64.882,3.611,48
176,179,Gary Woodland,53,-1.285,-47.557,-27.544,-20.008,37
177,181,Derek Fathauer,63,-1.430,-72.905,-55.330,-17.572,51
178,182,Brendon Todd,53,-1.498,-70.402,-68.025,-2.374,47
179,183,Greg Kraft,51,-1.509,-61.871,-42.574,-19.295,41
180,184,Rick Price,54,-1.518,-62.231,-29.145,-33.082,41
181,185,Leif Olson,51,-1.616,-69.495,-59.165,-10.329,43
182,186,David Duval,56,-1.728,-76.034,-70.474,-5.561,44
183,187,Brad Faxon,59,-1.925,-100.091,-140.647,40.558,52
184,188,Eric Axley,71,-2.157,-127.263,-147.360,20.097,59
