RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
1,1,Tiger Woods,78,2.382,128.654,82.583,46.067,54
2,2,Vijay Singh,112,2.250,200.221,208.158,-7.937,89
3,3,Ernie Els,62,1.899,77.876,72.798,5.075,41
4,4,Stewart Cink,103,1.655,130.779,76.847,53.928,79
5,6,Scott Verplank,92,1.490,101.328,86.663,14.665,68
6,5,Adam Scott,55,1.427,57.077,24.124,32.950,40
7,12,Retief Goosen,56,1.419,56.741,47.863,8.876,40
8,8,Sergio Garcia,65,1.336,66.787,95.423,-28.638,50
9,7,Phil Mickelson,83,1.324,71.477,76.187,-4.713,54
10,10,Stephen Ames,97,1.290,103.165,68.085,35.078,80
11,11,Jay Haas,84,1.261,76.895,75.217,1.676,61
12,13,Zach Johnson,109,1.206,107.358,55.974,51.383,89
13,16,Jerry Kelly,113,1.202,105.797,83.336,22.461,88
14,9,Kenny Perry,79,1.157,71.705,75.987,-4.284,62
15,15,Rory Sabbatini,89,1.154,85.367,71.118,14.247,74
16,18,Bo Van Pelt,107,1.146,93.949,65.620,28.331,82
17,19,Luke Donald,72,1.078,66.814,54.456,12.358,62
18,20,Justin Rose,77,1.065,67.125,81.667,-14.543,63
19,14,Chris DiMarco,105,1.063,81.826,72.536,9.291,77
20,21,Davis Love III,85,1.059,64.626,53.606,11.016,61
21,17,Shigeki Maruyama,93,1.048,81.718,32.551,49.165,78
22,23,Tom Lehman,70,.984,57.058,68.696,-11.639,58
23,22,Stuart Appleby,84,.974,57.452,51.122,6.327,59
24,24,David Toms,80,.947,55.860,61.682,-5.823,59
25,26,Jeff Sluman,98,.862,70.700,93.755,-23.053,82
26,27,Scott Hoch,52,.861,39.620,46.092,-6.471,46
27,28,Duffy Waldorf,79,.832,49.112,36.047,13.066,59
28,29,Jesper Parnevik,86,.816,60.372,21.762,38.607,74
29,30,Tim Clark,84,.813,57.719,55.034,2.684,71
30,31,Loren Roberts,81,.812,55.199,12.436,42.762,68
31,33,Kirk Triplett,88,.805,53.128,48.384,4.743,66
32,25,John Daly,79,.803,53.831,47.445,6.385,67
33,37,Mike Weir,75,.782,43.033,28.122,14.909,55
34,34,Tim Herron,84,.738,48.687,40.772,7.915,66
35,36,Robert Allenby,93,.733,52.789,72.032,-19.243,72
36,32,Darren Clarke,54,.707,24.752,8.405,16.343,35
37,35,Carlos Franco,99,.645,58.063,70.142,-12.076,90
38,39,Geoff Ogilvy,91,.641,48.725,28.691,20.034,76
39,40,Frank Lickliter II,89,.627,48.884,27.763,21.120,78
40,38,Fred Funk,97,.617,51.182,46.947,4.231,83
41,47,Mark Hensby,97,.602,49.404,23.150,26.251,82
42,T41,Fred Couples,54,.599,26.348,45.589,-19.241,44
43,43,Bart Bryant,73,.580,37.713,39.639,-1.923,65
44,44,Tom Byrum,83,.579,41.663,18.794,22.869,72
45,45,Dennis Paulson,71,.577,38.105,28.219,9.883,66
46,46,Justin Leonard,90,.563,36.615,48.727,-12.112,65
47,49,Ted Purdy,114,.551,56.779,62.738,-5.960,103
48,50,Dudley Hart,60,.550,25.285,26.253,-.969,46
49,52,Charles Howell III,104,.543,41.271,41.127,.143,76
50,53,Brad Faxon,94,.536,37.531,.088,37.441,70
51,54,Freddie Jacobson,83,.535,33.711,.281,33.427,63
52,55,Joe Durant,85,.530,40.306,72.649,-32.344,76
53,T41,Chad Campbell,100,.525,40.438,54.774,-14.339,77
54,56,J.J. Henry,103,.520,47.338,41.636,5.702,91
55,57,Corey Pavin,83,.515,34.504,13.749,20.752,67
T56,T58,David Peoples,82,.513,38.480,13.842,24.635,75
T56,T58,Nick Price,51,.513,18.474,8.583,9.889,36
58,60,Arron Oberholser,77,.509,31.536,35.679,-4.144,62
59,61,Brian Gay,96,.508,44.729,12.938,31.792,88
60,62,Ben Curtis,56,.494,20.262,27.413,-7.150,41
61,63,Harrison Frazar,86,.489,34.695,15.033,19.662,71
62,64,Carl Pettersson,100,.484,38.201,18.692,19.509,79
63,48,Steve Flesch,109,.476,39.049,24.250,14.798,82
64,65,Bernhard Langer,59,.471,19.795,29.412,-9.619,42
65,66,Lee Janzen,84,.466,32.631,54.951,-22.320,70
66,67,Glen Day,101,.464,40.842,18.650,22.191,88
67,68,John Huston,62,.444,19.976,50.701,-30.724,45
68,69,José Coceres,68,.442,26.943,13.423,13.518,61
69,70,Rod Pampling,98,.437,34.123,32.744,1.380,78
70,71,Tim Petrovic,111,.411,35.768,8.363,27.402,87
71,72,Brett Quigley,102,.401,35.309,17.275,18.030,88
72,51,K.J. Choi,83,.400,25.181,23.102,2.077,63
73,73,Alex Cejka,76,.388,22.106,22.467,-.360,57
74,74,Cameron Beckman,99,.384,33.367,31.831,1.534,87
75,75,Briny Baird,100,.382,30.924,44.431,-13.505,81
76,76,Jonathan Byrd,85,.378,27.570,9.190,18.377,73
77,77,Chris Riley,78,.377,19.964,13.507,6.458,53
78,T78,Kevin Sutherland,86,.373,25.020,28.050,-3.032,67
79,80,Bob Tway,90,.366,24.167,-5.102,29.269,66
80,81,Tom Pernice Jr.,103,.363,31.222,27.802,3.419,86
81,82,Joey Sindelar,100,.362,32.194,56.405,-24.212,89
82,83,Robert Gamez,103,.350,31.464,39.010,-7.542,90
T83,T84,Bob Estes,73,.346,17.640,23.941,-6.300,51
T83,T84,Matt Gogel,86,.346,24.234,-4.030,28.263,70
85,86,John Senden,99,.342,29.393,37.723,-8.329,86
86,87,Brent Geiberger,94,.336,28.234,-14.799,43.034,84
87,88,José María Olazábal,56,.318,13.341,-6.950,20.291,42
88,89,Joe Ogilvie,104,.311,26.424,11.372,15.052,85
89,90,Craig Barlow,80,.289,19.952,43.678,-23.726,69
90,91,Craig Parry,52,.288,10.662,6.486,4.173,37
91,92,Scott McCarron,88,.266,19.974,-.191,20.167,75
92,93,Vaughn Taylor,84,.228,17.592,47.391,-29.798,77
93,T78,Todd Hamilton,92,.220,15.375,-.910,16.283,70
T94,T94,Kent Jones,99,.205,17.829,15.559,2.271,87
T94,T94,Kevin Na,100,.205,17.591,29.695,-12.104,86
96,96,Heath Slocum,92,.198,16.429,42.345,-25.914,83
97,97,Danny Briggs,85,.197,14.738,11.582,3.156,75
98,98,Daniel Chopra,108,.195,17.953,4.175,13.779,92
99,99,Neal Lancaster,106,.187,17.370,18.818,-1.448,93
100,100,Patrick Sheehan,113,.186,18.603,-25.311,43.914,100
101,101,Shaun Micheel,93,.182,12.756,5.122,7.633,70
102,102,Woody Austin,94,.160,13.293,56.997,-43.705,83
103,103,Peter Lonard,68,.158,8.516,35.611,-27.096,54
104,104,Jason Dufner,79,.145,10.455,15.810,-5.353,72
105,105,Stephen Leaney,84,.142,8.102,-4.916,13.016,57
106,106,Jeff Maggert,60,.140,7.022,14.159,-7.135,50
107,107,Skip Kendall,99,.137,10.929,-6.676,17.604,80
108,108,Notah Begay III,71,.134,8.421,20.699,-12.279,63
109,109,Jason Bohn,98,.132,11.639,29.682,-18.043,88
110,110,Billy Andrade,104,.129,11.850,-1.179,13.024,92
111,111,Tag Ridings,53,.126,5.664,-9.122,14.785,45
112,112,Mark Calcavecchia,79,.116,6.969,14.491,-7.519,60
113,113,Todd Fischer,104,.111,10.257,-4.251,14.503,92
114,114,Ben Crane,92,.108,8.750,-20.141,28.892,81
115,115,Hidemichi Tanaka,89,.104,8.115,-4.749,12.864,78
116,116,John Rollins,90,.102,7.372,-4.085,11.456,72
117,117,Ryan Palmer,103,.097,8.720,16.097,-7.375,90
118,118,Brian Bateman,84,.090,6.579,-19.975,26.553,73
119,119,Hunter Mahan,94,.089,7.373,-15.906,23.279,83
120,120,Olin Browne,92,.071,5.589,-2.810,8.399,79
121,121,Pat Perez,102,.061,5.229,25.920,-20.692,86
122,122,John Riegger,53,.054,2.666,9.280,-6.614,49
123,123,Robert Damron,92,.043,3.635,36.596,-32.964,84
124,124,Jonathan Kaye,79,-.007,-.446,16.251,-16.697,62
125,125,J.L. Lewis,106,-.017,-1.546,14.832,-16.377,89
126,126,Steve Lowery,91,-.023,-1.680,10.147,-11.827,74
127,127,Richard Johnson,102,-.037,-3.414,-46.314,42.898,93
128,128,Mark Wilson,62,-.043,-2.496,3.521,-6.016,58
129,129,Steve Allan,102,-.046,-4.020,8.909,-12.929,88
130,130,D.J. Brigman,79,-.056,-3.864,10.819,-14.681,69
131,131,Michael Allen,87,-.062,-4.794,-20.814,16.020,77
132,132,Hank Kuehne,91,-.068,-5.737,-7.788,2.050,84
133,133,Lucas Glover,95,-.069,-5.787,20.384,-26.168,84
134,134,Steve Elkington,64,-.087,-4.851,-1.921,-2.928,56
135,135,Russ Cochran,61,-.091,-4.980,-6.504,1.524,55
136,136,Billy Mayfair,109,-.093,-8.658,28.984,-37.644,93
T137,T137,Greg Chalmers,70,-.103,-6.669,-48.960,42.290,65
T137,T137,Matt Kuchar,83,-.103,-7.895,-10.111,2.216,77
139,139,Chris Smith,105,-.104,-9.681,16.545,-26.230,93
140,140,Brenden Pappas,111,-.112,-11.058,-42.892,31.836,99
141,141,Craig Bowden,83,-.113,-8.501,-13.090,4.585,75
142,142,John Cook,57,-.118,-5.654,-3.408,-2.245,48
143,143,Mathias Grönberg,91,-.125,-9.221,1.538,-10.758,74
144,144,Danny Ellis,81,-.141,-9.721,-23.818,14.096,69
145,145,Steve Stricker,81,-.159,-10.990,-46.948,35.960,69
146,146,Rich Beem,81,-.160,-9.790,16.912,-26.701,61
147,147,Pat Bates,99,-.191,-17.148,-26.166,9.016,90
148,148,Dean Wilson,99,-.206,-18.784,-43.472,24.687,91
149,150,Tommy Armour III,87,-.229,-17.387,-10.543,-6.843,76
150,151,Arjun Atwal,85,-.234,-17.514,-14.977,-2.537,75
151,152,Spike McRoy,93,-.241,-18.568,-14.549,-4.019,77
152,153,Scott Hend,81,-.261,-18.294,.482,-18.774,70
153,154,Jay Williamson,100,-.262,-23.549,-11.989,-11.561,90
154,155,Omar Uresti,85,-.263,-20.012,13.297,-33.309,76
155,156,Jeff Brehaut,106,-.277,-26.021,-3.280,-22.740,94
T156,T157,Deane Pappas,72,-.290,-18.538,-19.867,1.330,64
T156,T157,Len Mattiace,75,-.290,-20.294,-49.080,28.786,70
T158,T159,Paul Azinger,75,-.338,-21.957,-33.973,12.016,65
T158,T159,Bob Burns,88,-.338,-26.336,-37.647,11.310,78
160,161,Mark O'Meara,58,-.339,-13.885,-28.999,15.112,41
161,162,J.P. Hayes,79,-.343,-21.981,-20.980,-.999,64
162,163,Mike Heinen,53,-.344,-17.540,-25.721,8.180,51
163,164,David Frost,78,-.368,-27.615,-49.480,21.863,75
164,165,Dan Forsman,79,-.373,-24.613,-43.935,19.321,66
165,166,Tommy Tolles,67,-.394,-24.052,-45.439,21.385,61
166,167,Roger Tambellini,81,-.416,-29.117,-9.426,-19.692,70
167,168,Rocco Mediate,53,-.422,-15.180,8.198,-23.377,36
T168,T169,Scott Simpson,55,-.426,-21.735,-31.165,9.432,51
T168,T169,Tom Carter,113,-.426,-40.893,-65.246,24.351,96
T168,T169,Niclas Fasth,61,-.426,-22.139,-3.559,-18.581,52
171,172,Aaron Baddeley,87,-.429,-32.628,-76.622,43.993,76
172,173,Roland Thatcher,66,-.432,-26.355,4.836,-31.190,61
173,174,Rich Barcelo,67,-.438,-25.819,-21.108,-4.710,59
174,175,Jay Delsing,76,-.442,-28.267,-35.020,6.752,64
175,176,Brian Kortan,65,-.474,-27.025,-37.459,10.434,57
176,177,Steve Pate,71,-.498,-30.379,-20.324,-10.054,61
177,178,Craig Perks,75,-.544,-34.282,-24.994,-9.289,63
178,179,Cliff Kresge,89,-.555,-41.610,-39.930,-1.682,75
179,180,David Branshaw,84,-.559,-40.240,-24.032,-16.208,72
180,181,Blaine McCallister,68,-.579,-35.916,-30.950,-4.966,62
181,182,David Morland IV,73,-.613,-37.986,-52.219,14.233,62
182,183,Grant Waite,79,-.658,-44.720,-19.843,-24.879,68
183,184,Kris Cox,73,-.674,-41.126,-34.755,-6.371,61
184,185,Gene Sauers,83,-.748,-54.601,-32.574,-22.028,73
185,186,Esteban Toledo,92,-.749,-59.895,-53.835,-6.060,80
186,187,Tripp Isenhour,55,-.834,-39.181,-32.356,-6.825,47
187,188,Guy Boros,64,-.845,-49.841,-46.512,-3.327,59
188,189,Dan Olsen,75,-.974,-63.292,-73.906,10.615,65
189,190,Ken Duke,89,-1.078,-86.207,-82.148,-4.058,80
190,191,Mark Brooks,72,-1.169,-66.635,-37.106,-29.530,57
191,192,Andre Stolz,53,-1.247,-59.878,-48.092,-11.785,48
192,193,Dicky Pride,66,-1.285,-75.841,-51.773,-24.069,59
193,194,Hirofumi Miyase,65,-1.287,-73.382,-66.059,-7.323,57
194,195,Kevin Muncrief,50,-2.013,-90.591,-53.508,-37.081,45
195,196,Chris Couch,55,-2.237,-102.891,-98.103,-4.788,46
196,197,David Gossett,57,-3.538,-180.458,-136.040,-44.418,51
