RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,AVG POINTS,TOTAL POINTS,POINTS LOST,POINTS GAINED,COUNTRY
1,1,Luke Donald,54,10.75,580.61,-230.56,500.61,
2,2,Lee Westwood,46,7.48,344.18,-300.78,220.01,
3,3,Rory McIlroy,52,7.31,379.96,-228.34,300.53,
4,4,Steve Stricker,41,6.24,255.93,-214.42,207.56,
5,5,Dustin Johnson,50,6.24,311.92,-163.82,249.65,
6,6,Martin Kaymer,51,6.09,310.48,-256.09,210.78,
7,7,Jason Day,45,5.73,257.67,-96.85,226.97,
8,8,Adam Scott,49,5.48,268.41,-124.20,206.62,
9,9,Matt Kuchar,53,5.40,286.19,-180.05,219.17,
10,12,Webb Simpson,54,5.36,289.22,-49.57,293.00,
11,10,Phil Mickelson,48,5.26,252.61,-236.60,201.03,
12,11,Nick Watney,50,5.24,261.95,-142.76,239.02,
13,14,K.J. Choi,54,4.75,256.27,-111.62,228.33,
14,13,Charl Schwartzel,54,4.68,252.49,-154.86,225.59,
15,15,Graeme McDowell,54,4.45,240.50,-202.93,110.04,
16,16,Bubba Watson,47,4.26,200.06,-123.85,166.67,
17,17,Justin Rose,53,4.13,218.72,-129.25,167.02,
18,18,Hunter Mahan,53,4.03,213.33,-159.78,158.74,
19,19,David Toms,49,4.02,197.00,-81.17,186.33,
20,20,Bill Haas,54,3.75,202.75,-92.67,171.94,
21,21,K.T. Kim,54,3.69,199.44,-107.31,125.38,
22,22,Paul Casey,50,3.64,182.03,-180.64,97.35,
23,25,Robert Karlsson,52,3.57,185.87,-114.26,113.30,
24,23,Rickie Fowler,54,3.55,191.61,-94.95,148.13,
25,24,Ian Poulter,51,3.49,178.18,-191.24,96.62,
26,27,Thomas Bjørn,50,3.45,172.52,-54.95,163.05,
27,28,Brandt Snedeker,54,3.45,186.30,-78.97,179.20,
28,26,Keegan Bradley,54,3.40,183.83,-19.16,181.17,
29,30,Simon Dyson,54,3.31,178.68,-88.53,149.02,
30,29,Jim Furyk,49,3.31,162.12,-204.14,80.23,
31,49,Sergio Garcia,48,3.29,157.91,-77.88,147.86,
32,31,Anders Hansen,52,3.25,168.77,-86.68,149.22,
32,33,Darren Clarke,49,3.25,159.04,-59.17,140.12,
34,32,Francesco Molinari,53,3.18,168.29,-153.20,79.67,
35,34,Jason Dufner,51,3.17,161.90,-77.07,155.14,
36,36,Martin Laird,54,3.09,166.67,-110.99,135.53,
37,38,Y.E. Yang,54,3.05,164.86,-135.60,140.73,
38,37,Geoff Ogilvy,51,3.05,155.64,-124.16,99.14,
39,39,Bo Van Pelt,54,3.04,164.40,-106.81,113.41,
40,40,Zach Johnson,51,3.03,154.58,-134.15,97.59,
41,42,Gary Woodland,48,3.01,144.46,-28.62,164.48,
42,35,Sangmoon Bae,43,2.99,128.73,-33.84,116.92,
43,41,Alvaro Quiros,50,2.99,149.28,-119.42,127.94,
44,43,Retief Goosen,54,2.93,158.37,-175.45,78.32,
45,45,Ernie Els,54,2.90,156.37,-206.49,53.22,
46,47,Ryo Ishikawa,54,2.89,156.22,-121.09,101.35,
47,46,Louis Oosthuizen,53,2.89,152.95,-127.18,82.54,
48,44,Matteo Manassero,42,2.88,121.14,-54.86,88.70,
49,48,Miguel Angel Jiménez,54,2.84,153.45,-139.32,91.18,
50,50,Ben Crane,50,2.82,141.18,-106.53,87.51,
51,52,Aaron Baddeley,52,2.81,146.14,-50.19,161.48,
52,51,Ryan Moore,49,2.81,137.52,-110.47,103.54,
53,53,Peter Hanson,50,2.71,135.52,-100.41,97.21,
54,54,Jonathan Byrd,53,2.67,141.24,-66.85,141.58,
55,55,Tiger Woods,40,2.55,102.18,-258.49,45.42,
56,56,Freddie Jacobson,50,2.48,124.23,-52.76,114.74,
57,58,Mark Wilson,54,2.37,128.22,-64.98,150.45,
58,59,Vijay Singh,51,2.37,120.84,-67.41,114.71,
59,57,Edoardo Molinari,54,2.37,127.79,-149.12,54.32,
60,60,John Senden,54,2.37,127.75,-72.48,105.66,
61,61,Lucas Glover,48,2.32,111.59,-104.38,99.64,
62,62,Kevin Na,54,2.32,125.23,-87.60,104.06,
63,63,Robert Allenby,54,2.29,123.81,-159.16,76.74,
64,66,Ryan Palmer,54,2.28,123.31,-84.18,85.79,
65,64,Rory Sabbatini,54,2.27,122.53,-83.28,122.08,
66,65,Tim Clark,40,2.24,89.63,-126.56,28.13,
67,67,Chez Reavie,43,2.22,95.45,-8.08,98.43,
68,72,Alex Noren,54,2.22,119.86,-55.89,115.20,
69,69,Charley Hoffman,51,2.17,110.81,-78.92,64.33,
70,68,Yuta Ikeda,54,2.15,115.92,-103.12,57.01,
71,70,Charles Howell III,54,2.12,114.41,-52.25,106.58,
72,71,Sean O'Hair,52,2.10,109.38,-108.58,72.53,
73,73,Nicolas Colsaerts,44,2.08,91.71,-47.50,88.13,
74,74,Scott Verplank,40,2.03,81.05,-70.91,63.64,
75,77,Tetsuji Hiratsuka,54,1.97,106.62,-71.55,66.70,
76,75,Camilo Villegas,54,1.97,106.42,-114.84,57.84,
77,80,Jamie Donaldson,48,1.97,94.55,-52.33,72.35,
78,79,Jeff Overton,53,1.96,104.03,-86.85,58.41,
79,76,Padraig Harrington,54,1.96,105.86,-147.98,53.73,
80,78,Richard Green,46,1.92,88.23,-59.71,43.96,
81,84,Spencer Levin,54,1.91,103.02,-39.54,102.59,
82,86,Anthony Kim,49,1.90,93.10,-119.62,57.79,
83,81,Ross Fisher,52,1.90,98.71,-118.20,50.54,
84,82,J.B. Holmes,45,1.89,85.16,-79.29,63.80,
85,83,Steve Marino,51,1.88,96.01,-79.47,95.33,
86,85,Chris Kirk,50,1.88,93.93,-35.69,83.03,
87,89,Brendan Jones,40,1.85,74.10,-56.80,37.57,
88,88,Tommy Gainey,54,1.85,99.98,-35.48,95.78,
89,96,George Coetzee,53,1.83,96.92,-22.60,97.64,
90,90,David Lynn,48,1.81,86.72,-32.29,78.47,
91,91,Brian Davis,54,1.78,96.18,-70.66,63.46,
92,92,Pablo Larrazabal,54,1.78,96.03,-26.43,95.09,
93,124,Toru Taniguchi,49,1.78,87.02,-57.92,47.09,
94,93,Robert Garrigus,50,1.77,88.71,-42.73,76.94,
95,104,Seung-Yul Noh,54,1.76,94.85,-55.55,58.39,
96,87,Hiroyuki Fujita,54,1.75,94.52,-90.00,42.82,
97,94,Fredrik Andersson Hed,51,1.74,88.93,-57.39,56.84,
98,100,Thomas Aiken,54,1.74,93.75,-58.38,82.77,
99,95,Raphael Jacquelin,54,1.73,93.45,-64.84,73.33,
100,97,Carl Pettersson,54,1.72,93.06,-54.22,68.89,
101,98,Joost Luiten,51,1.71,87.28,-33.41,61.73,
102,99,Michael Hoey,53,1.67,88.25,-21.14,83.00,
103,103,Bryce Molder,54,1.61,87.06,-63.19,66.64,
104,105,D.A. Points,54,1.59,86.09,-49.95,87.86,
