RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,AVG POINTS,TOTAL POINTS,POINTS LOST,POINTS GAINED,COUNTRY
1,1,Brooks Koepka,45,12.65,569.40,-224.96,380.49,
2,3,Rory McIlroy,48,9.63,462.04,-166.65,372.02,
3,2,Dustin Johnson,47,8.93,419.78,-244.02,301.38,
4,4,Justin Rose,49,7.75,379.98,-253.44,172.16,
5,5,Justin Thomas,49,7.30,357.91,-253.99,233.92,
6,6,Jon Rahm,51,6.95,354.57,-200.46,232.47,
7,7,Patrick Cantlay,46,6.82,313.74,-99.72,232.43,
8,8,Tiger Woods,40,6.58,263.18,-103.86,153.05,
9,11,Xander Schauffele,52,6.32,328.89,-169.49,213.24,
10,9,Bryson DeChambeau,52,6.25,325.11,-179.78,145.69,
11,10,Francesco Molinari,45,6.13,275.86,-169.26,145.31,
12,12,Tony Finau,52,5.78,300.51,-142.26,155.75,
13,13,Tommy Fleetwood,52,5.55,288.60,-165.88,170.50,
14,14,Webb Simpson,50,5.49,274.55,-122.95,174.43,
15,15,Adam Scott,41,5.48,224.65,-67.13,178.51,
16,16,Patrick Reed,52,5.23,271.71,-146.69,161.68,
17,17,Gary Woodland,52,5.20,270.39,-100.54,197.35,
18,21,Paul Casey,49,5.12,250.94,-134.65,199.30,
19,18,Rickie Fowler,47,5.06,237.60,-172.67,159.51,
20,19,Matt Kuchar,52,5.01,260.55,-128.53,223.12,
21,20,Shane Lowry,52,4.83,251.15,-64.92,221.47,
22,22,Louis Oosthuizen,46,4.12,189.36,-90.48,123.30,
23,23,Jason Day,44,3.97,174.46,-135.51,87.75,
24,24,Marc Leishman,51,3.89,198.40,-148.11,122.39,
25,25,Bubba Watson,43,3.79,162.99,-116.57,69.88,
26,26,Hideki Matsuyama,52,3.70,192.34,-123.15,144.42,
27,28,Kevin Kisner,52,3.69,192.03,-100.51,146.57,
28,29,Chez Reavie,52,3.66,190.16,-67.70,155.26,
29,30,Matthew Fitzpatrick,52,3.63,188.71,-89.28,134.11,
30,27,Matt Wallace,52,3.55,184.36,-72.45,122.23,
31,34,Henrik Stenson,43,3.21,138.05,-94.07,79.64,
32,31,Ian Poulter,52,3.13,162.87,-97.22,115.98,
33,33,Jordan Spieth,50,3.07,153.38,-167.03,99.99,
34,32,Billy Horschel,52,3.05,158.45,-77.39,82.76,
35,35,Kevin Na,48,3.04,145.96,-69.93,89.88,
36,36,Keegan Bradley,52,2.98,155.09,-89.68,69.16,
37,37,Abraham Ancer,52,2.98,154.88,-51.64,97.14,
38,40,Brandt Snedeker,52,2.95,153.46,-54.03,104.31,
39,38,Phil Mickelson,47,2.94,138.24,-103.06,87.93,
40,39,Rafa Cabrera Bello,52,2.89,150.29,-113.65,83.61,
41,41,Bernd Wiesberger,40,2.86,114.23,-30.49,107.99,
42,45,Eddie Pepperell,47,2.78,130.83,-72.26,64.62,
43,42,Sergio Garcia,51,2.78,141.92,-110.33,80.31,
44,43,Andrew Putnam,52,2.76,143.35,-50.62,98.56,
45,44,Tyrrell Hatton,52,2.72,141.36,-110.13,67.69,
46,46,Cameron Smith,52,2.66,138.44,-95.98,52.27,
47,47,Alex Noren,49,2.57,125.83,-116.87,35.62,
48,48,Jim Furyk,40,2.54,101.74,-24.06,94.31,
49,49,Byeong Hun An,52,2.53,131.57,-65.76,76.32,
50,50,Haotong Li,52,2.50,129.82,-85.53,73.95,
51,51,C.T. Pan,52,2.46,127.93,-41.29,92.62,
52,52,Justin Harding,52,2.36,122.63,-46.95,83.92,
53,53,Lucas Bjerregaard,52,2.34,121.57,-63.69,57.42,
54,58,Jason Kokrak,52,2.34,121.52,-44.41,101.76,
55,54,Sungjae Im,52,2.29,119.33,-52.70,103.73,
56,55,Lee Westwood,42,2.24,94.10,-47.02,49.12,
57,57,Danny Willett,49,2.22,108.67,-30.48,57.60,
58,56,Jazz Janewattananond,52,2.21,115.03,-41.46,88.03,
59,59,Charles Howell III,52,2.20,114.54,-62.03,75.98,
60,60,J.B. Holmes,48,2.15,103.21,-51.49,80.56,
61,87,Erik van Rooyen,52,2.11,109.63,-37.05,86.32,
62,63,Lucas Glover,48,2.09,100.45,-38.52,83.90,
63,61,Kyle Stanley,52,2.06,106.86,-94.37,34.57,
64,65,Thorbjørn Olesen,47,2.04,95.87,-69.79,32.26,
65,62,Kiradech Aphibarnrat,52,2.03,105.50,-90.68,52.35,
66,64,Si Woo Kim,52,2.02,105.28,-71.03,75.54,
67,66,Emiliano Grillo,51,2.02,102.89,-64.36,41.11,
68,68,Adam Hadwin,51,1.99,101.57,-63.13,65.98,
69,67,Scott Piercy,48,1.97,94.37,-29.46,71.77,
70,72,Rory Sabbatini,51,1.95,99.49,-26.15,84.57,
71,74,Corey Conners,52,1.95,101.27,-22.91,90.05,
72,71,J.T. Poston,52,1.94,100.78,-19.55,94.62,
73,69,Ryan Palmer,41,1.93,79.01,-38.66,41.72,
74,70,Keith Mitchell,52,1.92,100.01,-40.86,83.13,
75,73,Jorge Campillo,52,1.89,98.31,-45.43,68.98,
76,77,Andrea Pavan,52,1.86,96.86,-32.28,54.44,
77,75,Branden Grace,52,1.84,95.83,-83.18,56.53,
78,76,Sung Kang,52,1.84,95.80,-37.88,90.06,
79,78,Aaron Wise,51,1.83,93.53,-56.46,38.07,
80,79,Shugo Imahira,52,1.82,94.88,-58.15,39.78,
81,80,Russell Knox,52,1.79,93.00,-54.36,46.55,
82,82,Ryan Moore,46,1.77,81.25,-48.25,46.18,
83,81,Joaquin Niemann,43,1.76,75.78,-20.04,52.62,
84,84,Thomas Pieters,49,1.76,86.28,-54.35,51.13,
85,83,Tom Lewis,51,1.73,88.18,-40.69,44.72,
86,86,Collin Morikawa,40,1.69,67.62,,67.62,
87,85,Luke List,52,1.66,86.53,-62.02,39.67,
88,88,Joel Dahmen,52,1.59,82.48,-26.27,64.89,
89,90,Kevin Tway,52,1.58,82.08,-43.20,42.31,
90,89,Joost Luiten,40,1.57,62.93,-41.54,50.14,
91,91,Scottie Scheffler,40,1.57,62.88,-4.21,65.87,
92,97,Nate Lashley,48,1.52,72.99,-13.30,68.66,
93,92,Brian Harman,52,1.51,78.73,-82.43,48.14,
94,93,Dylan Frittelli,52,1.50,78.07,-60.51,47.38,
95,95,Martin Kaymer,52,1.49,77.68,-31.10,57.49,
96,94,Kevin Streelman,52,1.49,77.62,-32.25,62.72,
97,96,Benjamin Hebert,47,1.48,69.67,-25.11,53.71,
98,98,Max Homa,51,1.47,74.91,-8.02,75.26,
99,99,Charley Hoffman,52,1.45,75.27,-83.01,46.31,
100,100,Michael Lorenzo-Vera,46,1.43,65.96,-35.47,41.90,
101,101,Graeme McDowell,51,1.43,72.93,-24.90,59.33,
102,103,Vaughn Taylor,51,1.43,72.78,-20.75,64.25,
103,104,Ryan Fox,52,1.39,72.14,-49.84,40.33,
104,105,Adri Arnaus,52,1.38,71.78,-24.09,45.22,
105,107,Romain Langasque,52,1.38,71.57,-18.76,43.58,
106,102,Robert MacIntyre,48,1.37,65.98,-12.06,49.82,
107,108,Troy Merritt,51,1.37,69.99,-24.90,47.33,
108,106,Mikko Korhonen,47,1.37,64.43,-33.30,33.52,
109,109,Rikuya Hoshino,50,1.37,68.31,-23.26,39.49,
110,111,Guido Migliozzi,40,1.36,54.55,-9.29,51.37,
111,110,Harold Varner III,52,1.36,70.84,-31.99,46.59,
112,130,Viktor Hovland,40,1.35,54.06,-1.55,52.45,
113,113,Jhonattan Vegas,52,1.34,69.94,-54.42,56.80,
114,112,Adrian Otaegui,52,1.34,69.91,-55.00,23.96,
115,114,Andy Sullivan,49,1.34,65.69,-33.89,37.96,
116,115,Kurt Kitayama,40,1.31,52.21,-18.35,31.93,
117,116,Matthew Wolff,40,1.30,52.02,-.24,52.26,
118,118,Alexander Björk,51,1.28,65.42,-55.26,15.57,
119,117,Chesson Hadley,52,1.27,66.14,-62.65,29.00,
120,120,JC Ritchie,41,1.26,51.75,-20.70,41.06,
121,119,Daniel Berger,46,1.26,57.98,-64.47,29.94,
122,178,Ryo Ishikawa,43,1.26,54.10,-19.19,32.00,
123,126,Calum Hill,40,1.25,50.05,-7.15,39.37,
124,121,Adam Long,52,1.23,64.17,-21.24,64.53,
125,123,Jimmy Walker,45,1.21,54.66,-38.30,22.39,
126,122,Beau Hossler,52,1.21,62.72,-44.40,24.47,
127,125,Marcus Kinhult,50,1.20,59.80,-30.12,36.27,
128,129,Sanghyun Park,52,1.19,61.69,-34.11,26.29,
129,124,Sam Burns,52,1.18,61.26,-27.41,37.23,
130,134,Paul Waring,47,1.16,54.71,-24.43,40.74,
131,128,Zach Johnson,45,1.16,52.35,-60.49,19.25,
132,127,Satoshi Kodaira,52,1.13,58.89,-75.83,10.71,
133,135,Danny Lee,52,1.13,58.88,-42.78,21.13,
134,132,Brendan Jones,40,1.13,45.22,-23.86,16.00,
135,132,Stewart Cink,44,1.13,49.52,-44.60,10.26,
136,131,Julian Suri,47,1.12,52.73,-51.85,20.47,
137,136,Michael Thompson,45,1.12,50.44,-17.18,45.09,
138,138,Xinjun Zhang,52,1.12,58.19,-15.20,52.51,
139,137,Andrew Landry,52,1.11,57.73,-43.54,30.98,
140,140,Nick Watney,50,1.11,55.30,-29.41,26.17,
141,141,Yuta Ikeda,52,1.10,57.36,-51.13,28.78,
142,144,Russell Henley,50,1.09,54.71,-52.49,31.95,
143,139,Jordan L Smith,51,1.09,55.46,-39.21,30.68,
144,151,Harry Higgs,40,1.08,43.18,-6.66,33.08,
145,143,David Lipsky,52,1.08,56.08,-25.94,33.75,
146,146,Zack Sucher,40,1.08,43.10,-.29,43.38,
147,142,Shaun Norris,52,1.07,55.88,-48.77,9.72,
148,145,Patton Kizzire,52,1.06,55.03,-51.28,31.74,
149,147,Christiaan Bezuidenhout,52,1.06,54.97,-10.39,48.68,
150,219,Darius Van Driel,41,1.05,42.99,-6.38,33.96,
151,149,Wyndham Clark,52,1.05,54.40,-12.56,48.31,
152,148,Pat Perez,48,1.04,49.95,-69.47,16.53,
153,150,Ryan Armour,52,1.03,53.82,-41.38,28.85,
154,152,Oliver Wilson,43,1.03,44.43,-14.97,18.96,
155,157,Doc Redman,40,1.03,41.12,-1.09,40.19,
156,158,Kristoffer Ventura,40,1.03,41.11,-1.40,39.45,
157,154,Robby Shelton,48,1.03,49.30,-11.05,46.24,
158,155,Cameron Champ,52,1.02,53.15,-25.95,16.67,
159,160,Bud Cauley,43,1.02,43.79,-25.90,35.69,
160,156,Denny McCarthy,52,1.02,52.86,-23.79,26.85,
161,162,Thomas Detry,52,1.01,52.65,-30.38,21.71,
162,159,Brian Stuard,52,1.01,52.55,-22.04,47.13,
163,161,Jason Dufner,48,1.01,48.48,-48.53,30.15,
164,153,Lucas Herbert,45,1.00,44.88,-33.24,9.72,
165,166,Richard Sterne,46,1.00,45.78,-24.91,40.98,
166,174,Jung-gon Hwang,52,.99,51.52,-29.11,27.13,
167,164,Brice Garnett,52,.98,51.19,-38.27,24.75,
168,165,Kelly Kraft,52,.98,51.11,-27.40,33.35,
169,163,Aaron Rai,52,.98,50.94,-34.85,15.27,
170,168,Charl Schwartzel,43,.97,41.80,-52.46,8.52,
171,180,Alexander Levy,49,.96,46.97,-47.65,19.06,
172,167,Ross Fisher,46,.96,43.95,-60.22,13.04,
173,169,Scott Vincent,52,.95,49.59,-30.66,25.49,
174,179,Victor Perez,51,.95,48.55,-27.90,14.69,
175,170,J.J. Spaun,52,.95,49.44,-36.00,14.15,
176,172,Scott Stallings,52,.95,49.38,-30.38,37.55,
177,173,Matt Jones,52,.95,49.18,-21.10,38.34,
178,171,Sean Crocker,43,.93,40.00,-17.94,19.24,
179,217,Dean Burmester,52,.93,48.28,-33.63,21.93,
180,186,Bronson Burgoon,50,.93,46.36,-25.58,15.88,
181,176,Masahiro Kawamura,52,.93,48.13,-19.56,24.71,
181,175,Austin Cook,52,.93,48.13,-41.73,19.67,
183,177,Peter Uihlein,52,.90,46.91,-56.63,17.10,
184,181,Sepp Straka,52,.90,46.69,-11.11,37.03,
185,195,Mikumu Horikawa,52,.89,46.31,-14.87,23.18,
186,184,Talor Gooch,52,.89,46.16,-26.06,45.39,
187,184,Brian Gay,52,.88,45.84,-36.26,22.01,
188,183,Chris Paisley,46,.88,40.39,-35.10,16.15,
189,182,Antoine Rozner,47,.87,40.97,-8.60,36.43,
190,204,Sam Horsfield,47,.86,40.63,-19.74,18.85,
191,189,Mackenzie Hughes,52,.86,44.51,-17.52,38.58,
192,190,Sebastián Muñoz,52,.86,44.46,-19.99,34.48,
193,187,Yuki Inamori,52,.85,44.32,-32.23,6.78,
194,197,Yoshinori Fujimoto,43,.85,36.59,-21.76,16.64,
195,192,"Ted Potter, Jr.",52,.84,43.69,-42.29,17.19,
196,191,Ryuko Tokimatsu,52,.84,43.56,-39.62,12.71,
197,201,Jason Scrivener,52,.84,43.50,-30.16,19.88,
198,188,Brandon Stone,52,.83,43.33,-32.53,3.38,
199,198,Robert Streb,52,.83,42.95,-28.18,22.35,
200,196,Ignacio Elvira Mijares,52,.82,42.76,-25.45,28.10,
201,199,Aaron Baddeley,48,.82,39.38,-20.36,28.90,
202,194,Kevin Chappell,40,.82,32.77,-60.30,0,
203,200,Scott Hend,52,.82,42.58,-29.12,35.41,
204,193,Brad Kennedy,45,.82,36.68,-25.43,20.19,
205,214,Shota Akiyoshi,49,.81,39.93,-26.12,12.92,
206,203,Sam Ryder,52,.81,42.12,-30.25,13.64,
207,205,Roger Sloan,52,.81,42.11,-13.35,36.84,
208,206,Chris Stroud,52,.80,41.74,-27.03,38.16,
209,220,Gavin Kyle Green,52,.80,41.71,-26.71,27.84,
210,210,Adam Schenk,52,.80,41.69,-20.99,29.73,
211,202,John Catlin,52,.80,41.63,-31.24,6.89,
212,207,Martin Trainer,46,.80,36.76,-15.80,28.48,
213,211,Matthias Schwab,52,.80,41.50,-19.13,23.48,
214,208,Jake McLeod,40,.80,31.91,-17.64,5.24,
215,265,Chan Kim,40,.79,31.75,-23.31,29.27,
216,213,Peter Malnati,52,.79,41.24,-15.21,26.73,
217,209,Chris Wood,40,.79,31.64,-38.30,0,
218,212,Gaganjeet Bhullar,52,.79,41.01,-29.77,16.34,
219,223,Joachim B Hansen,52,.79,40.88,-31.25,10.57,
220,245,Sihwan Kim,46,.78,36.02,-22.13,10.80,
221,240,Andrew Johnston,40,.78,31.00,-21.03,16.76,
222,218,Pablo Larrazabal,47,.77,36.02,-24.92,22.52,
223,238,Kramer Hickok,52,.76,39.73,-27.27,18.03,
224,221,Alvaro Quiros,44,.76,33.47,-14.34,29.11,
225,216,Paul Dunne,52,.76,39.42,-47.81,18.35,
226,222,Carlos Ortiz,52,.76,39.33,-14.47,30.34,
227,247,Maverick Antcliff,45,.75,33.95,-6.08,29.10,
228,224,Nelson Ledesma,52,.75,38.94,-8.48,31.76,
229,264,Ricardo Santos,40,.74,29.78,-5.23,26.58,
230,230,Martin Laird,49,.74,36.45,-26.94,23.11,
231,225,Danie van Tonder,40,.74,29.66,-12.69,22.59,
232,227,Jonas Blixt,52,.74,38.41,-16.34,33.99,
233,232,Patrick Rodgers,49,.74,36.09,-33.20,8.50,
234,228,Hyungjoon Lee,40,.74,29.44,-14.85,17.32,
235,226,Fabrizio Zanotti,40,.73,29.37,-25.64,23.07,
236,231,Y.E. Yang,40,.73,29.09,-16.10,8.17,
237,229,Cameron Davis,52,.72,37.66,-29.97,11.96,
238,235,Chase Seiffert,40,.72,28.96,-5.15,24.54,
239,234,Kodai Ichihara,49,.72,35.22,-18.36,4.97,
240,236,Matt Every,51,.72,36.65,-10.10,32.39,
241,215,Shubhankar Sharma,52,.72,37.32,-38.68,9.36,
242,233,Darren Fichardt,48,.72,34.44,-29.11,10.43,
243,236,Louis de Jager,52,.72,37.27,-15.29,29.74,
244,239,Chris Kirk,45,.72,32.19,-30.40,8.48,
245,263,Ryan Brehm,46,.71,32.86,-3.42,32.37,
246,240,Wes Roach,52,.71,37.07,-10.18,26.46,
247,243,Kazuki Higa,40,.71,28.24,-8.84,19.22,
248,244,Lanto Griffin,52,.71,36.70,-16.06,30.05,
249,246,Kyoung-Hoon Lee,52,.70,36.64,-16.89,26.49,
250,268,Tomoharu Otsuki,40,.70,27.85,-5.12,20.35,
251,250,Brendan Steele,45,.69,31.25,-43.54,11.12,
252,249,Rhys Enoch,51,.69,35.41,-11.39,27.80,
253,257,Robin Roussel,43,.69,29.76,-4.30,27.74,
254,248,George Coetzee,52,.69,35.98,-31.09,23.19,
255,251,Nick Taylor,52,.69,35.88,-21.42,29.01,
256,267,Zander Lombard,52,.69,35.83,-16.85,20.80,
257,242,Dimi Papadatos,47,.69,32.33,-21.43,3.46,
258,253,Wonjoon Lee,40,.69,27.41,-8.84,18.18,
259,326,Cormac Sharvin,44,.69,30.15,-3.12,27.58,
260,254,Josh Teater,52,.68,35.55,-11.55,26.25,
261,255,Henrik Norlander,52,.68,35.51,-8.11,27.62,
262,252,Poom Saksansin,52,.68,35.39,-29.99,4.99,
263,256,David Law,52,.68,35.26,-14.28,24.48,
264,290,Wade Ormsby,52,.67,35.03,-29.65,20.60,
265,269,Ewen Ferguson,47,.67,31.60,-6.62,22.64,
266,258,Richy Werenski,52,.67,34.86,-26.69,7.51,
267,259,Tyler McCumber,42,.67,28.15,-12.23,18.02,
268,260,Grant Forrest,52,.67,34.64,-18.53,14.06,
269,261,Jaco Ahlers,40,.66,26.46,-15.28,18.54,
270,266,Jim Herman,40,.66,26.42,-7.46,25.43,
271,262,Robert Rock,48,.66,31.66,-23.29,14.81,
272,287,Thriston Lawrence,41,.65,26.47,-4.28,25.25,
273,273,Matthew Jordan,40,.64,25.66,-1.36,24.39,
274,292,Gunn Charoenkul,44,.64,28.12,-6.91,25.25,
275,271,Matthew Griffin,48,.64,30.55,-12.42,20.55,
276,311,Richard Bland,50,.64,31.76,-8.55,29.74,
277,270,Connor Syme,49,.63,30.97,-10.62,22.13,
278,298,Anirban Lahiri,52,.63,32.85,-37.67,12.06,
279,276,Hiroshi Iwata,45,.63,28.36,-16.86,6.84,
280,275,Jose-Filipe Lima,48,.62,29.79,-12.47,19.22,
281,272,Maximilian Kieffer,49,.62,30.37,-18.71,19.43,
282,274,Johnson Wagner,46,.62,28.46,-12.97,21.87,
283,294,Prom Meesawat,50,.62,30.89,-12.24,26.47,
284,310,Matthew Southgate,51,.62,31.47,-30.32,13.62,
285,291,Ashun Wu,52,.62,32.03,-24.23,7.36,
286,286,Seungsu Han,52,.62,32.01,-38.55,9.41,
287,329,Sebastian Soderberg,49,.62,30.15,-15.89,13.99,
288,277,Scott Brown,52,.61,31.97,-25.52,30.14,
289,709,Matthew NeSmith,40,.61,24.55,-.51,25.06,
290,278,Trey Mullinax,51,.61,31.07,-22.99,19.01,
291,280,Shawn Stefani,52,.61,31.46,-16.03,21.48,
292,295,Steve Surry,44,.60,26.62,-7.08,22.52,
293,279,Hyun-woo Ryu,52,.60,31.41,-32.71,9.44,
294,288,Cameron Tringale,52,.60,31.39,-10.75,27.11,
295,285,Rhein Gibson,52,.60,31.36,-11.22,28.24,
296,281,Scott Jamieson,51,.60,30.63,-28.27,13.18,
296,284,Miguel Tabuena,40,.60,24.03,-15.68,6.41,
298,283,Stephen Gallacher,51,.60,30.63,-19.70,19.00,
299,293,Michael Gellerman,40,.59,23.76,-4.64,19.31,
