RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,AVG POINTS,TOTAL POINTS,POINTS LOST,POINTS GAINED,COUNTRY
1,1,Rory McIlroy,51,11.62,592.39,-247.86,521.80,
2,2,Adam Scott,42,9.07,380.75,-223.69,211.01,
3,3,Sergio Garcia,49,7.79,381.81,-164.49,281.00,
4,4,Henrik Stenson,52,7.70,400.37,-229.49,156.06,
5,7,Jim Furyk,47,7.60,357.28,-141.09,280.17,
6,5,Justin Rose,51,7.31,372.72,-225.43,225.65,
7,6,Bubba Watson,48,7.11,341.35,-142.69,321.71,
8,8,Jason Day,42,6.87,288.61,-134.37,190.33,
9,9,Matt Kuchar,52,6.61,343.72,-199.90,224.33,
10,11,Rickie Fowler,52,5.94,308.76,-92.21,267.89,
11,10,Phil Mickelson,48,5.78,277.28,-205.86,137.21,
12,12,Martin Kaymer,52,5.29,274.93,-91.89,231.51,
13,13,Jordan Spieth,52,5.20,270.52,-100.31,204.77,
14,23,Billy Horschel,52,5.12,266.18,-78.92,209.42,
15,14,Tiger Woods,40,4.99,199.71,-286.34,6.57,
16,15,Zach Johnson,52,4.88,253.58,-167.80,138.21,
17,16,Dustin Johnson,46,4.72,217.31,-150.48,137.25,
18,17,Graeme McDowell,48,4.70,225.60,-162.45,127.73,
19,18,Jimmy Walker,52,4.40,228.99,-97.23,197.19,
20,19,Hideki Matsuyama,49,4.27,209.12,-84.33,138.43,
21,20,Hunter Mahan,52,4.17,216.96,-110.88,160.42,
22,24,Chris Kirk,52,4.16,216.13,-71.08,180.16,
23,22,Victor Dubuisson,42,4.12,172.97,-70.94,111.71,
24,21,Charl Schwartzel,52,4.03,209.62,-147.84,110.04,
25,25,Steve Stricker,40,3.79,151.67,-134.51,57.24,
26,26,Keegan Bradley,52,3.79,197.10,-151.14,126.86,
27,28,Patrick Reed,52,3.77,195.90,-62.75,183.43,
28,27,Jamie Donaldson,51,3.74,190.80,-106.32,117.79,
29,31,Bill Haas,52,3.61,187.85,-108.34,124.70,
30,29,Thomas Bjørn,52,3.56,184.89,-94.26,87.21,
31,30,Jason Dufner,49,3.50,171.70,-163.42,76.29,
32,32,Luke Donald,50,3.46,172.76,-160.32,99.60,
33,33,Webb Simpson,52,3.44,179.00,-135.64,95.69,
34,34,Stephen Gallacher,52,3.32,172.85,-75.68,149.75,
