RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,AVG POINTS,TOTAL POINTS,POINTS LOST,POINTS GAINED,COUNTRY
1,3,Jordan Spieth,52,12.83,667.31,-218.96,590.31,
2,1,Jason Day,40,12.74,509.40,-175.72,452.68,
3,2,Rory McIlroy,46,11.52,530.11,-326.88,315.89,
4,4,Bubba Watson,46,8.50,390.88,-210.54,252.26,
5,5,Rickie Fowler,52,8.05,418.50,-165.33,299.64,
6,6,Henrik Stenson,52,7.65,397.67,-289.30,263.47,
7,8,Justin Rose,52,7.29,379.06,-215.49,266.79,
8,9,Dustin Johnson,40,7.05,281.93,-144.00,266.97,
9,7,Jim Furyk,41,6.99,286.68,-188.91,184.18,
10,11,Zach Johnson,52,5.24,272.35,-159.03,232.39,
11,10,Sergio Garcia,46,5.19,238.79,-208.57,112.55,
12,13,Louis Oosthuizen,48,4.53,217.41,-74.04,172.64,
13,12,Adam Scott,40,4.49,179.47,-217.46,73.11,
14,14,Hideki Matsuyama,52,4.40,228.85,-144.24,163.21,
15,15,Matt Kuchar,52,4.39,228.34,-191.74,155.82,
16,16,Jimmy Walker,52,4.21,218.99,-156.27,181.90,
17,17,Brooks Koepka,52,4.17,216.77,-95.62,157.93,
18,18,J.B. Holmes,50,4.00,200.10,-67.97,187.08,
19,19,Patrick Reed,52,3.94,204.67,-135.90,165.57,
20,20,Martin Kaymer,52,3.82,198.51,-150.42,95.29,
21,22,Shane Lowry,49,3.76,184.11,-77.61,123.54,
22,21,Branden Grace,52,3.70,192.32,-70.92,171.60,
23,26,Paul Casey,52,3.62,188.33,-74.47,166.60,
24,23,Phil Mickelson,43,3.54,152.07,-156.91,108.89,
25,24,Danny Willett,52,3.48,180.95,-66.63,121.71,
26,25,Billy Horschel,52,3.41,177.53,-134.74,80.40,
27,27,Chris Kirk,51,3.29,167.68,-118.89,88.97,
28,28,Bill Haas,52,3.16,164.50,-115.20,133.15,
29,29,Brandt Snedeker,52,3.14,163.43,-97.99,141.99,
30,30,Bernd Wiesberger,52,3.07,159.86,-80.72,142.26,
31,31,Kevin Na,52,3.05,158.75,-81.93,105.16,
32,44,Thongchai Jaidee,52,3.05,158.58,-95.45,107.87,
33,32,Robert Streb,51,3.03,154.55,-46.19,118.14,
34,33,Kevin Kisner,52,2.97,154.62,-32.09,146.68,
35,34,Charley Hoffman,52,2.96,153.68,-69.88,126.91,
36,53,Danny Lee,52,2.86,148.73,-27.51,137.85,
37,35,Marc Leishman,50,2.85,142.35,-82.08,89.17,
38,36,Ryan Palmer,49,2.81,137.60,-88.38,91.82,
39,39,Anirban Lahiri,52,2.63,136.66,-65.56,108.78,
40,37,Gary Woodland,50,2.63,131.29,-97.86,96.12,
41,41,David Lingmerth,52,2.61,135.75,-39.95,122.10,
42,,Ian Poulter,48,2.61,125.17,-109.51,82.77,
43,40,Lee Westwood,52,2.59,134.87,-107.66,71.62,
44,43,Scott Piercy,42,2.57,108.12,-39.25,106.76,
45,47,Daniel Berger,52,2.55,132.84,-26.74,135.56,
46,42,Hunter Mahan,52,2.54,131.96,-116.90,61.30,
47,45,Charl Schwartzel,52,2.50,130.25,-117.85,92.25,
48,54,Jamie Donaldson,52,2.44,126.80,-117.37,66.02,
49,46,Webb Simpson,49,2.42,118.43,-108.52,85.81,
50,49,Russell Henley,52,2.41,125.36,-77.70,85.92,
51,48,Ryan Moore,49,2.41,118.07,-102.07,66.00,
52,50,Byeong Hun An,52,2.40,125.05,-35.12,110.44,
53,51,Keegan Bradley,52,2.39,124.17,-115.73,75.54,
54,52,Brendon Todd,52,2.38,123.74,-81.68,81.46,
55,55,Francesco Molinari,52,2.31,120.28,-85.56,84.57,
56,56,Marc Warren,52,2.29,119.15,-69.36,84.41,
57,57,Victor Dubuisson,49,2.25,110.17,-115.41,40.53,
58,66,Steven Bowditch,52,2.23,116.06,-50.64,95.05,
59,58,Ben Martin,52,2.19,113.76,-68.81,75.43,
60,59,Luke Donald,51,2.14,109.20,-98.89,61.42,
61,61,Matt Jones,52,2.14,111.34,-74.07,91.28,
62,60,John Senden,52,2.14,111.04,-79.32,60.96,
63,62,Kiradech Aphibarnrat,52,2.13,111.00,-53.14,94.53,
64,63,Andy Sullivan,52,2.13,110.56,-47.96,99.54,
65,71,Søren Kjeldsen,52,2.11,109.76,-24.89,106.17,
66,69,Joost Luiten,52,2.09,108.90,-101.29,45.67,
67,68,George Coetzee,52,2.08,108.18,-62.00,78.38,
68,65,Tommy Fleetwood,52,2.08,108.05,-75.81,57.78,
69,64,Miguel Angel Jiménez,50,2.07,103.26,-88.78,62.99,
70,70,Cameron Tringale,52,2.06,107.34,-57.26,75.46,
71,67,Graeme McDowell,49,2.03,99.47,-128.28,28.21,
72,72,Justin Thomas,52,1.97,102.41,-34.98,85.93,
73,73,Russell Knox,52,1.87,97.19,-55.40,74.71,
74,74,Alexander Levy,52,1.85,96.46,-66.41,35.82,
75,77,Harris English,52,1.84,95.58,-82.83,87.07,
76,75,Brendan Steele,52,1.82,94.70,-47.52,83.40,
77,76,Matt Every,52,1.80,93.59,-75.45,72.56,
78,79,Richie Ramsay,44,1.79,78.90,-40.18,51.77,
79,78,Brian Harman,52,1.78,92.52,-58.26,68.59,
80,80,Alex Noren,40,1.76,70.24,-20.48,82.44,
81,81,Tony Finau,52,1.75,91.13,-24.45,68.70,
82,82,Hiroshi Iwata,52,1.74,90.64,-43.29,38.85,
83,83,Eddie Pepperell,48,1.74,83.43,-34.00,61.86,
84,88,James Morrison,52,1.73,89.86,-18.38,85.25,
85,96,Sangmoon Bae,52,1.70,88.32,-55.94,54.35,
86,84,Jason Bohn,52,1.70,88.17,-43.86,67.58,
87,87,Thomas Pieters,48,1.68,80.59,-20.62,70.57,
88,94,Troy Merritt,50,1.67,83.70,-21.11,75.30,
89,85,Chris Wood,46,1.67,76.92,-40.37,59.98,
90,86,Pablo Larrazabal,50,1.66,82.99,-67.16,48.21,
91,90,Cameron Smith,40,1.66,66.35,-19.13,48.68,
92,89,David Howell,52,1.66,86.23,-48.39,68.77,
93,92,Daniel Summerhays,52,1.65,85.91,-49.28,71.55,
94,125,K.T. Kim,50,1.64,81.85,-23.73,72.36,
95,93,Emiliano Grillo,52,1.64,85.09,-45.39,64.27,
96,91,Stephen Gallacher,52,1.63,84.92,-99.21,30.56,
97,95,Rafa Cabrera Bello,52,1.62,84.46,-52.81,56.21,
98,97,George McNeill,51,1.61,82.16,-44.94,59.28,
99,99,Tyrrell Hatton,52,1.59,82.84,-36.92,58.16,
100,100,James Hahn,52,1.58,82.35,-29.91,85.47,
101,98,Jason Dufner,44,1.58,69.62,-105.86,40.08,
102,102,Shawn Stefani,45,1.58,71.03,-41.27,44.25,
103,105,Prayad Marksaeng,52,1.54,80.20,-39.07,57.39,
104,101,Morgan Hoffmann,52,1.54,79.92,-44.26,57.10,
105,115,Ross Fisher,52,1.53,79.73,-64.25,38.52,
106,103,Tim Clark,40,1.53,61.24,-57.59,5.60,
107,104,Graham DeLaet,46,1.51,69.48,-93.61,43.31,
108,106,Matthew Fitzpatrick,44,1.50,66.18,-10.87,60.61,
109,107,David Hearn,52,1.50,77.87,-46.35,57.13,
110,111,Patton Kizzire,40,1.49,59.45,-2.72,62.17,
111,109,Kevin Streelman,52,1.47,76.44,-85.01,34.25,
112,108,Koumei Oda,52,1.46,76.13,-70.49,27.88,
113,112,Marcel Siem,49,1.46,71.33,-57.66,13.14,
114,110,Gary Stal,47,1.44,67.89,-27.74,76.40,
115,114,Nick Watney,52,1.44,74.65,-61.11,68.54,
116,116,Sean O'Hair,52,1.44,74.62,-20.57,75.89,
117,113,Mikko Ilonen,48,1.43,68.43,-76.20,14.80,
118,117,Geoff Ogilvy,46,1.42,65.22,-45.19,31.61,
119,119,Padraig Harrington,52,1.41,73.46,-33.32,70.69,
120,118,Pat Perez,51,1.41,71.94,-38.31,66.45,
