RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,AVG POINTS,TOTAL POINTS,POINTS LOST,POINTS GAINED,COUNTRY
1,2,Lee Westwood,47,8.70,409.07,-253.94,319.91,
2,1,Tiger Woods,40,8.25,330.15,-366.56,110.02,
3,3,Martin Kaymer,49,7.81,382.77,-191.46,341.21,
4,4,Phil Mickelson,43,7.61,327.44,-283.45,247.69,
5,5,Steve Stricker,42,6.94,291.61,-224.02,215.46,
6,6,Jim Furyk,45,6.87,309.34,-207.86,240.77,
7,7,Paul Casey,43,6.16,265.03,-205.05,234.44,
8,8,Luke Donald,54,5.90,318.57,-120.66,309.26,
9,13,Graeme McDowell,52,5.57,289.56,-118.97,267.25,
10,9,Rory McIlroy,55,5.53,304.22,-202.45,229.52,
11,10,Matt Kuchar,51,5.22,266.29,-96.86,254.96,
12,11,Ernie Els,58,5.14,298.05,-193.48,272.69,
13,12,Dustin Johnson,49,4.97,243.56,-113.97,235.57,
14,16,Ian Poulter,47,4.57,214.58,-184.37,163.00,
15,30,Francesco Molinari,55,4.50,247.32,-108.14,211.26,
16,15,Hunter Mahan,52,4.33,225.14,-132.45,194.78,
17,14,Edoardo Molinari,53,4.32,229.18,-79.24,191.64,
18,17,Retief Goosen,58,4.28,248.33,-176.39,196.74,
19,18,Zach Johnson,52,3.99,207.65,-144.95,163.74,
20,40,Adam Scott,50,3.97,198.36,-90.24,158.69,
21,19,Padraig Harrington,54,3.96,213.85,-217.14,136.68,
22,22,Robert Allenby,58,3.85,223.39,-173.09,166.08,
23,20,Louis Oosthuizen,52,3.78,196.81,-87.18,201.32,
24,21,Anthony Kim,45,3.76,169.33,-167.40,154.45,
25,32,Rickie Fowler,40,3.72,148.67,-36.28,157.32,
26,23,Bubba Watson,46,3.65,167.79,-72.56,162.88,
27,25,Miguel Angel Jiménez,57,3.62,206.11,-118.28,194.03,
28,24,Justin Rose,54,3.60,194.49,-95.17,187.68,
29,28,Ross Fisher,49,3.51,172.18,-145.08,111.64,
30,26,Nick Watney,52,3.48,181.02,-124.49,147.29,
31,27,Camilo Villegas,52,3.40,177.06,-176.54,170.68,
32,31,Tim Clark,55,3.33,182.89,-133.19,167.67,
33,34,Jason Day,42,3.30,138.77,-45.04,130.23,
34,33,Charl Schwartzel,54,3.29,177.55,-116.00,178.79,
35,52,Ben Crane,53,3.28,173.90,-79.46,177.90,
36,29,Sean O'Hair,50,3.21,160.64,-154.76,104.55,
37,37,Y.E. Yang,54,3.18,171.71,-124.95,119.97,
38,51,Ryo Ishikawa,58,3.17,184.01,-108.87,129.14,
39,35,Robert Karlsson,42,3.16,132.59,-136.91,137.76,
40,48,K.T. Kim,53,3.12,165.23,-43.00,140.89,
41,36,Geoff Ogilvy,51,3.10,157.96,-185.24,120.70,
42,42,Peter Hanson,48,3.07,147.23,-95.16,125.72,
43,41,Ryan Moore,53,3.00,158.94,-81.43,123.07,
44,38,Bo Van Pelt,58,2.97,172.33,-63.17,167.78,
45,39,Stewart Cink,47,2.91,136.77,-141.07,80.53,
46,43,K.J. Choi,53,2.88,152.49,-84.61,159.48,
47,55,Martin Laird,55,2.76,151.98,-55.23,126.33,
48,47,Henrik Stenson,48,2.72,130.56,-187.45,67.57,
49,50,Jeff Overton,54,2.69,145.26,-53.63,141.70,
50,46,Charley Hoffman,51,2.69,136.96,-57.95,120.44,
51,44,Lucas Glover,51,2.67,136.36,-139.59,72.30,
52,45,Ángel Cabrera,45,2.64,118.98,-124.08,68.37,
53,49,Alvaro Quiros,53,2.58,136.60,-119.38,132.30,
54,54,Heath Slocum,58,2.51,145.48,-80.08,114.79,
55,53,Yuta Ikeda,54,2.50,134.90,-68.37,88.48,
56,57,Ryan Palmer,55,2.39,131.26,-48.18,146.01,
57,59,Bill Haas,56,2.36,132.29,-54.05,133.56,
58,58,Kevin Na,54,2.28,122.87,-86.96,101.80,
59,62,Hiroyuki Fujita,56,2.24,125.28,-73.46,98.83,
60,56,Kenny Perry,47,2.22,104.48,-189.19,48.19,
61,67,Richard Green,47,2.22,104.47,-50.48,94.49,
62,73,Brendan Jones,40,2.21,88.57,-55.52,67.63,
63,64,WC Liang,45,2.19,98.62,-56.22,74.28,
64,60,Scott Verplank,46,2.17,99.64,-76.90,74.27,
65,63,J.B. Holmes,53,2.12,112.42,-70.90,118.16,
66,61,Rhys Davies,58,2.12,122.68,-59.90,118.70,
67,70,Seung-Yul Noh,42,2.04,85.85,-33.38,89.89,
68,65,David Toms,52,2.02,104.79,-86.98,71.81,
69,75,Fredrik Andersson Hed,47,2.01,94.39,-25.10,93.49,
70,66,Danny Willett,48,2.00,96.00,-38.28,86.96,
71,83,Toru Taniguchi,42,2.00,83.81,-36.63,71.44,
72,101,Stuart Appleby,58,1.98,114.55,-63.07,97.22,
73,89,Brian Davis,58,1.97,114.25,-62.76,105.05,
74,69,Sergio Garcia,49,1.97,96.44,-210.69,64.27,
75,72,Ricky Barnes,53,1.94,102.58,-44.84,102.51,
76,68,Michael Sim,47,1.91,89.59,-64.71,58.29,
77,104,Anders Hansen,53,1.90,100.56,-87.04,59.16,
78,71,Simon Dyson,58,1.88,109.13,-89.96,56.03,
79,74,Bryce Molder,51,1.84,93.94,-55.76,74.40,
80,95,Søren Kjeldsen,53,1.83,97.22,-110.34,61.14,
81,77,Oliver Wilson,53,1.81,95.67,-104.54,67.00,
82,78,Brandt Snedeker,54,1.77,95.45,-65.31,81.24,
83,80,Jason Dufner,54,1.76,94.88,-64.76,59.57,
84,76,Stephen Gallacher,42,1.75,73.61,-22.66,81.35,
85,79,Vijay Singh,47,1.75,82.08,-139.98,70.12,
