RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,AVG POINTS,TOTAL POINTS,POINTS LOST,POINTS GAINED,COUNTRY
1,1,Tiger Woods,42,21.59,906.62,-540.85,692.28,
2,2,Jim Furyk,52,9.15,476.03,-194.67,432.90,
3,3,Phil Mickelson,42,8.36,351.28,-306.79,291.82,
4,4,Adam Scott,52,7.73,402.07,-188.94,356.82,
5,5,Vijay Singh,62,6.43,398.83,-495.89,278.79,
6,6,Retief Goosen,57,6.40,364.76,-300.85,236.26,
7,8,Luke Donald,50,5.99,299.57,-190.07,255.71,
8,7,Ernie Els,47,5.90,277.31,-326.53,226.42,
9,9,Sergio Garcia,48,5.76,276.61,-235.39,179.59,
10,10,Geoff Ogilvy,50,5.54,276.83,-129.33,278.43,
11,11,Padraig Harrington,54,5.11,275.91,-163.62,231.47,
12,12,Henrik Stenson,50,4.70,234.95,-130.80,218.71,
13,13,Trevor Immelman,52,4.65,241.86,-105.30,238.01,
14,14,David Howell,53,4.59,243.47,-156.28,166.23,
15,15,Paul Casey,51,4.27,217.65,-88.78,191.20,
16,17,David Toms,48,4.20,201.83,-175.29,166.33,
17,16,Davis Love III,48,4.18,200.60,-135.99,150.07,
18,18,Colin Montgomerie,56,4.03,225.62,-166.90,125.08,
19,20,José María Olazábal,52,3.84,199.60,-139.01,159.69,
20,19,Chris DiMarco,52,3.81,198.08,-186.32,150.58,
21,22,Ángel Cabrera,48,3.55,170.60,-128.38,112.35,
22,21,Tim Clark,57,3.49,198.70,-164.05,148.93,
23,23,Stewart Cink,54,3.42,184.50,-156.83,166.05,
24,25,Michael Campbell,51,3.37,172.12,-126.98,77.12,
25,24,Chad Campbell,53,3.34,176.91,-136.67,167.23,
26,27,Stuart Appleby,55,3.33,183.13,-153.58,169.89,
27,26,Rod Pampling,55,3.31,181.94,-118.09,165.19,
28,28,K.J. Choi,61,3.22,196.50,-126.99,147.58,
29,29,Darren Clarke,43,3.19,137.35,-155.05,90.77,
