RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,1,Rory McIlroy,72,1.933,1.195,.633,.297,57
2,2,Justin Thomas,75,1.722,.479,.985,.352,56
3,3,Patrick Cantlay,77,1.506,.475,.640,.356,57
4,5,Hideki Matsuyama,91,1.465,.381,.759,.347,73
5,4,Adam Scott,63,1.421,.285,.846,.351,44
6,8,Byeong Hun An,80,1.402,.351,.420,.631,61
7,6,Dustin Johnson,73,1.364,.703,.288,.234,56
8,7,Paul Casey,79,1.348,.614,.706,.133,55
9,9,Corey Conners,90,1.156,.653,.665,-.123,69
10,10,Jon Rahm,75,1.128,.692,.405,.073,53
11,11,Brooks Koepka,81,1.064,.468,.636,.036,58
12,16,Emiliano Grillo,85,1.051,.470,.926,-.345,55
13,12,Tommy Fleetwood,71,1.036,.545,.235,.329,50
14,13,Webb Simpson,81,1.022,-.007,.613,.294,69
15,15,Gary Woodland,87,1.001,.472,.545,.008,65
16,14,Xander Schauffele,77,.989,.456,.481,.211,53
17,17,Jason Kokrak,94,.983,.550,.745,-.241,75
18,19,Adam Svensson,73,.981,.213,.509,.259,55
19,20,Matthew Fitzpatrick,54,.941,.338,.409,.194,37
20,18,Lucas Glover,94,.939,.337,.330,.145,81
21,22,Kevin Streelman,83,.919,.383,.479,.058,69
22,21,Matt Kuchar,87,.868,.063,.591,.105,66
23,24,Henrik Stenson,58,.866,-.293,1.149,.010,42
24,23,Tony Finau,89,.847,.439,.384,.048,65
25,25,Joaquin Niemann,98,.840,.338,.484,.018,80
26,26,Sergio Garcia,53,.824,.350,.525,-.051,38
27,29,Jim Furyk,73,.784,-.072,.741,.114,57
28,30,Jhonattan Vegas,75,.782,.753,.219,-.190,61
29,27,Sungjae Im,122,.780,.341,.075,.285,100
30,T31,Ryan Moore,74,.765,.114,.596,.055,63
31,33,Russell Knox,79,.726,.013,.585,.129,59
32,28,Justin Rose,66,.723,.179,.525,.036,49
33,T31,Louis Oosthuizen,71,.701,.130,.208,.270,48
34,35,Tyrrell Hatton,62,.681,.176,.218,.286,42
35,37,Rory Sabbatini,97,.667,.300,.103,.263,76
36,38,Keegan Bradley,89,.663,.238,.567,-.142,67
37,34,Chez Reavie,99,.645,.254,.625,-.117,70
38,36,Patrick Reed,93,.638,.145,.138,.332,73
39,43,Bubba Watson,65,.624,.743,-.052,-.067,50
40,39,Bryson DeChambeau,75,.622,.421,.236,-.016,66
41,40,Rickie Fowler,76,.618,.247,.158,.120,63
42,41,Charles Howell III,94,.617,.262,-.072,.328,73
43,42,Abraham Ancer,93,.611,.575,.011,-.005,71
44,44,Bud Cauley,82,.610,-.163,.196,.577,74
45,45,Dylan Frittelli,83,.608,.272,.186,.149,68
46,46,Keith Mitchell,86,.592,.657,.037,-.102,61
47,48,Zach Johnson,64,.546,.053,.398,.095,53
48,47,Marc Leishman,76,.543,-.077,.472,.135,57
49,49,Danny Willett,63,.513,.108,.250,.154,50
50,50,Matt Jones,88,.508,.304,-.148,.352,66
51,51,Sepp Straka,78,.496,.378,.309,-.191,58
52,52,Scott Piercy,90,.485,.270,.147,.067,70
53,53,Luke List,66,.482,.481,-.005,.006,55
54,54,Jason Dufner,74,.479,.264,.091,.124,57
55,55,Jason Day,69,.477,.535,-.083,.025,47
56,56,Aaron Wise,72,.475,.533,-.085,.026,54
57,57,Russell Henley,78,.466,.137,.334,-.005,61
58,58,Hank Lebioda,76,.447,.085,.281,.081,58
59,59,Ryan Palmer,74,.434,.255,.395,-.216,51
60,60,Harold Varner III,84,.429,.260,.093,.076,74
61,61,Branden Grace,76,.413,.024,.110,.278,45
62,64,Rafa Cabrera Bello,71,.376,.180,.089,.107,48
63,63,Brandt Snedeker,102,.366,-.193,.083,.480,80
64,65,Cameron Tringale,73,.342,-.108,.327,.123,51
65,66,Cameron Davis,76,.340,.197,.165,-.021,57
66,67,Ian Poulter,65,.339,-.078,.150,.267,44
67,68,Troy Merritt,69,.336,-.054,.366,.041,56
68,69,Daniel Berger,70,.322,.344,.007,-.029,59
69,70,Kramer Hickok,79,.317,.336,-.264,.245,59
70,71,Billy Horschel,99,.307,.145,.147,.014,69
71,72,J.B. Holmes,78,.302,.210,.079,.012,48
72,73,J.T. Poston,100,.294,.032,.223,.038,88
73,74,Kyle Stanley,81,.285,.037,.309,-.062,55
74,75,Josh Teater,73,.279,.081,.361,-.162,53
75,76,Alex Prugh,77,.278,.379,.222,-.323,57
76,77,Kevin Tway,84,.274,-.099,.124,.249,67
77,78,Sebastián Muñoz,86,.268,-.048,.054,.261,64
78,79,Talor Gooch,54,.259,-.240,.604,-.104,48
79,80,Brian Harman,91,.256,.312,-.301,.245,71
80,81,Shawn Stefani,80,.252,-.303,.421,.133,62
81,82,Scott Stallings,82,.251,.009,.259,-.017,68
82,T83,Francesco Molinari,61,.250,.105,.040,.105,42
83,T83,Kevin Kisner,97,.236,.149,.257,-.186,71
84,85,Nate Lashley,70,.219,-.247,.487,-.021,55
85,86,Brian Stuard,98,.217,-.239,.266,.190,77
86,87,Charley Hoffman,74,.216,.049,.396,-.230,47
87,88,Martin Laird,88,.204,.100,.075,.029,73
88,89,Si Woo Kim,87,.194,.066,-.177,.305,59
89,90,Jimmy Walker,74,.192,-.181,.051,.322,57
90,91,Joel Dahmen,100,.187,.249,.141,-.204,76
91,92,Trey Mullinax,77,.181,.341,.134,-.293,63
92,93,Cameron Smith,79,.167,-.123,.004,.286,53
93,94,Wes Roach,69,.166,.079,-.110,.197,49
94,95,Adam Schenk,102,.146,.080,.142,-.075,82
95,96,Andrew Landry,80,.142,.185,.200,-.244,65
96,97,Nick Taylor,97,.122,.135,-.051,.038,86
