RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,1,Rory McIlroy,60,2.347,1.072,1.002,.273,40
2,2,Tiger Woods,69,1.971,.553,1.224,.194,48
3,3,Bubba Watson,68,1.809,1.485,.265,.059,51
4,4,Justin Rose,69,1.762,.355,.840,.567,53
5,5,Jim Furyk,85,1.329,.225,.830,.275,65
6,6,Dustin Johnson,70,1.324,.720,.638,-.035,53
7,7,Adam Scott,59,1.302,.605,.494,.203,41
8,8,Jason Dufner,83,1.293,.553,.519,.222,64
9,10,Robert Garrigus,89,1.212,.797,.680,-.264,74
10,9,Kyle Stanley,86,1.181,.786,.439,-.043,70
11,11,Vijay Singh,99,1.167,.435,.520,.212,81
12,12,Steve Stricker,73,1.161,.116,.898,.147,54
13,13,Lee Westwood,60,1.143,.628,.681,-.166,40
14,14,Louis Oosthuizen,65,.980,.496,.478,.006,49
15,17,Boo Weekley,74,.973,.668,.466,-.162,58
16,15,John Senden,81,.960,.503,.473,-.016,62
17,16,Brendon de Jonge,115,.939,.185,.754,.000,102
18,18,Webb Simpson,77,.912,.222,.319,.371,66
19,19,Matt Kuchar,86,.910,.110,.490,.309,66
20,20,Padraig Harrington,67,.908,.193,.331,.384,45
21,21,Bo Van Pelt,84,.895,.450,.665,-.220,65
22,22,Phil Mickelson,79,.860,-.103,.566,.398,60
23,23,Charl Schwartzel,56,.840,.356,.445,.039,40
24,24,Luke Donald,63,.824,-.188,.582,.430,48
25,,Henrik Stenson,51,.809,.343,.297,.169,42
26,26,Davis Love III,64,.803,.206,.635,-.038,52
27,25,Keegan Bradley,90,.791,.680,.238,-.127,71
28,28,Ernie Els,80,.727,.272,.462,-.006,65
29,29,Rickie Fowler,84,.720,.458,.228,.034,66
30,30,Greg Owen,90,.714,.336,.367,.012,77
31,27,Chad Campbell,84,.708,-.040,.751,-.004,73
32,31,Sergio Garcia,57,.704,.346,.075,.283,44
33,32,Kevin Stadler,85,.702,.351,.711,-.359,70
34,35,Will Claxton,99,.679,.524,.318,-.163,86
35,33,Bud Cauley,99,.655,.065,.201,.388,91
T36,38,Sean O'Hair,84,.654,.255,.250,.149,76
T36,34,Graeme McDowell,55,.654,.490,.641,-.478,38
38,36,Hunter Mahan,88,.650,.400,.372,-.122,64
39,39,Scott Piercy,95,.635,.476,.202,-.042,86
40,40,Zach Johnson,95,.629,.112,.342,.176,74
41,45,Charles Howell III,98,.625,.098,.257,.270,77
42,41,Pat Perez,81,.603,.099,.272,.232,69
43,42,Graham DeLaet,79,.600,.500,.334,-.234,71
44,43,K.J. Choi,71,.599,.064,.153,.382,56
45,44,Jeff Overton,101,.590,.434,.236,-.080,92
46,46,Seung-Yul Noh,105,.579,.355,.102,.122,85
47,47,Charley Hoffman,88,.567,.334,.356,-.123,76
48,49,Bill Haas,79,.564,.472,-.180,.273,61
49,50,Nick Watney,97,.563,-.016,.586,-.007,76
50,52,J.B. Holmes,90,.553,.585,-.219,.186,78
51,57,Ryan Palmer,81,.550,.485,.258,-.193,71
52,54,Kris Blanks,65,.547,.192,.558,-.203,60
53,48,Bill Lunde,83,.546,.052,.449,.044,67
T54,56,Marc Leishman,84,.543,-.209,.559,.193,76
T54,55,Roberto Castro,92,.543,.244,.030,.269,75
56,53,Heath Slocum,93,.518,.248,.427,-.158,75
57,T63,Matt Every,80,.516,-.051,.377,.191,64
58,65,Tim Herron,88,.508,.152,.193,.163,76
59,58,Jason Day,57,.498,.121,.102,.275,47
60,37,Trevor Immelman,76,.487,-.140,.242,.384,57
61,51,John Rollins,81,.465,.627,-.269,.107,71
62,59,Ian Poulter,57,.461,.186,.068,.207,38
63,70,Billy Horschel,63,.459,.546,.028,-.116,48
64,T61,Geoff Ogilvy,73,.453,.158,.168,.127,55
65,T63,Martin Laird,77,.449,.374,.175,-.099,54
66,60,Chris Kirk,93,.439,.032,.444,-.037,85
T67,T66,Carl Pettersson,92,.424,.041,.334,.049,80
T67,T66,Ryan Moore,89,.424,.163,.270,-.009,81
69,68,Tim Clark,60,.422,.285,.151,-.014,50
70,T61,Ben Curtis,62,.401,-.044,.408,.036,48
71,71,John Huh,99,.397,.391,.031,-.025,85
72,69,D.A. Points,88,.394,.067,.329,-.003,80
73,72,John Merrick,83,.385,.202,.230,-.047,72
74,74,Rory Sabbatini,84,.356,.247,-.021,.129,72
75,82,Josh Teater,97,.338,.570,-.231,-.001,83
76,77,David Toms,60,.331,.131,.012,.189,44
77,75,Kevin Streelman,89,.322,.110,.184,.028,77
78,78,J.J. Henry,93,.309,.051,.126,.133,71
T79,73,John Mallinger,74,.305,-.086,.184,.206,63
T79,76,Ken Duke,104,.305,.019,.309,-.023,90
81,79,Bob Estes,78,.288,-.454,.396,.347,65
82,81,Ricky Barnes,92,.285,-.290,.499,.075,82
83,87,Jonas Blixt,72,.257,-.100,-.010,.367,64
T84,83,Freddie Jacobson,61,.254,-.071,.306,.020,44
T84,86,Cameron Tringale,88,.254,.195,.056,.003,77
86,84,Kevin Na,80,.252,-.255,.301,.206,65
87,85,Jonathan Byrd,69,.244,-.220,.406,.058,56
88,80,Gary Christian,91,.226,.170,.124,-.067,75
89,88,Brian Davis,91,.224,-.012,.146,.090,79
90,94,Gary Woodland,70,.204,.320,.153,-.269,53
91,90,Kevin Chappell,91,.181,.228,-.186,.138,72
92,107,Russell Knox,72,.179,.049,.025,.105,56
93,104,Daniel Summerhays,81,.178,.200,-.066,.045,68
94,96,Camilo Villegas,79,.170,.080,.208,-.117,73
T95,T91,Ben Crane,73,.160,.102,-.138,.195,62
T95,89,Chez Reavie,83,.160,.125,.136,-.101,66
97,103,Jeff Maggert,83,.158,.287,.084,-.214,78
98,93,Brandt Snedeker,81,.150,-.276,.110,.316,65
99,97,Greg Chalmers,88,.136,-.335,.012,.459,75
100,T91,Rod Pampling,88,.133,.061,-.131,.203,69
101,95,Billy Mayfair,90,.128,.080,-.083,.131,78
102,T101,Blake Adams,107,.124,.237,-.055,-.057,88
103,105,Harris English,98,.123,.286,-.038,-.124,87
104,106,Tom Gillis,75,.122,.207,-.274,.189,69
105,100,Jimmy Walker,101,.120,-.243,.105,.258,91
106,T101,Scott Dunlap,57,.089,.062,.252,-.226,46
107,117,Scott Stallings,78,.081,.393,-.113,-.198,68
108,99,Brian Harman,101,.068,.337,-.370,.101,88
109,127,Robert Karlsson,54,.062,-.040,.072,.030,41
110,111,Chris Couch,61,.041,.377,-.131,-.205,54
111,98,Chris Stroud,86,.040,-.236,-.049,.325,75
112,112,Johnson Wagner,88,.039,-.027,.376,-.310,76
113,110,Kyle Reifers,86,.038,.056,.056,-.074,74
114,116,Jerry Kelly,84,.010,-.018,-.218,.245,73
115,121,Charlie Wi,86,.004,-.197,-.229,.430,73
T116,120,Vaughn Taylor,81,-.001,-.327,.165,.160,64
