RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,1,Tiger Woods,64,2.311,.335,1.398,.579,48
2,2,Steve Stricker,81,1.621,.275,1.018,.327,62
3,3,Robert Allenby,71,1.619,.493,1.015,.110,56
4,4,Ernie Els,70,1.315,.397,.722,.196,54
5,5,Sean O'Hair,80,1.297,.539,.796,-.038,58
6,7,Zach Johnson,94,1.165,.253,.844,.068,79
7,6,Ian Poulter,59,1.112,.222,.240,.650,42
8,11,Jonathan Byrd,89,1.067,.581,.368,.118,79
9,9,David Toms,98,1.057,.497,.566,-.006,80
10,8,Rory Sabbatini,81,1.035,.299,.452,.284,67
11,10,Boo Weekley,79,1.033,.721,.301,.011,65
12,12,Camilo Villegas,76,1.028,.427,.474,.128,56
13,13,John Senden,100,1.021,.443,.606,-.028,92
14,14,Tim Clark,81,.985,.125,.773,.087,59
15,15,Jim Furyk,86,.975,-.021,.557,.439,65
16,16,Phil Mickelson,66,.963,.312,.268,.383,48
17,17,Kenny Perry,92,.938,.566,.414,-.042,73
18,18,Steve Marino,98,.910,.668,.323,-.081,84
19,19,Tom Lehman,55,.889,.141,.834,-.087,35
20,20,Nick Watney,86,.876,.732,.345,-.201,68
21,23,Justin Leonard,95,.865,.008,.547,.310,75
22,21,Scott Verplank,88,.856,.229,.621,.006,79
23,22,Hunter Mahan,94,.845,.628,.561,-.345,75
24,24,Sergio Garcia,59,.828,.460,.650,-.282,44
25,25,Dustin Johnson,85,.822,.509,.175,.137,64
26,26,Fred Couples,54,.810,.304,.348,.157,42
27,27,Vijay Singh,71,.777,.377,.319,.080,51
28,28,Davis Love III,89,.758,.384,.378,-.004,77
29,29,Padraig Harrington,66,.733,-.315,.471,.577,48
30,32,Rocco Mediate,79,.690,.029,.324,.337,66
31,30,Jason Bohn,88,.679,.160,.754,-.236,82
32,33,Greg Owen,97,.676,.452,.295,-.071,82
33,31,Briny Baird,89,.666,-.012,.515,.163,72
34,34,Jason Dufner,90,.652,.323,.313,.016,78
35,36,D.J. Trahan,96,.643,.506,.369,-.232,80
36,35,Charles Howell III,99,.631,.130,.141,.360,83
37,37,Lucas Glover,93,.619,.638,.138,-.157,79
38,38,Chad Campbell,90,.572,-.057,.635,-.006,71
39,39,Geoff Ogilvy,78,.568,.258,-.020,.329,58
40,41,Rod Pampling,72,.557,.183,.023,.350,64
41,43,Alex Cejka,82,.555,-.006,.372,.188,71
42,44,Retief Goosen,74,.541,.253,.178,.110,56
43,45,Woody Austin,84,.533,-.036,.467,.102,76
44,42,Heath Slocum,95,.523,.415,.306,-.199,85
45,40,Michael Allen,73,.515,.329,.292,-.106,58
46,46,Charley Hoffman,97,.513,.405,.235,-.128,87
47,47,Joe Durant,62,.475,.465,.413,-.404,47
48,48,Bubba Watson,73,.469,.387,.037,.044,57
49,49,Kevin Na,91,.462,-.141,.273,.330,78
T50,T50,Tag Ridings,50,.461,.429,-.190,.222,41
T50,T50,Matt Kuchar,82,.461,.120,.052,.289,71
T52,T53,Charles Warren,63,.453,.628,.183,-.358,53
T52,52,Jerry Kelly,90,.453,.062,.165,.226,77
54,T53,Y.E. Yang,83,.448,.170,.386,-.108,70
55,T55,Bo Van Pelt,100,.426,.387,.082,-.042,82
56,T55,Kevin Sutherland,96,.422,.233,.013,.175,73
57,66,Bill Haas,91,.420,.535,-.126,.011,82
58,59,Paul Goydos,79,.414,.107,.395,-.089,65
59,76,Will MacKenzie,69,.397,.257,.088,.052,61
60,64,Justin Rose,71,.395,.189,.093,.113,57
61,60,Kevin Stadler,65,.377,.018,.213,.146,54
62,57,Robert Garrigus,83,.375,.418,.311,-.354,72
63,61,Ángel Cabrera,55,.372,.372,.295,-.296,38
64,62,Jason Day,61,.370,.323,.031,.016,50
65,69,Nicholas Thompson,96,.366,.473,.096,-.203,87
66,63,Ben Crane,93,.344,.282,-.038,.100,80
67,65,Tim Petrovic,97,.343,.120,.044,.179,86
68,88,Stephen Ames,77,.318,.214,.236,-.132,57
69,78,Nick O'Hern,90,.316,-.205,.451,.070,85
70,68,Mike Weir,85,.311,-.276,.229,.358,67
71,58,Brett Quigley,92,.306,-.297,.508,.095,75
T72,81,Brian Davis,103,.295,.181,.038,.076,91
T72,T92,D.A. Points,99,.295,.068,.211,.016,86
74,79,George McNeill,82,.294,-.020,.203,.112,76
75,72,Michael Letzig,96,.287,.240,-.169,.215,86
76,67,Tommy Armour III,58,.279,.353,.264,-.338,52
77,70,John Mallinger,90,.278,.097,-.034,.216,71
78,89,J.B. Holmes,74,.276,.123,.291,-.138,61
79,T74,Kirk Triplett,60,.268,.370,-.027,-.075,55
80,80,Mathew Goggin,76,.260,.403,-.036,-.107,60
81,77,Chris DiMarco,97,.254,-.264,.207,.311,87
82,87,Ricky Barnes,67,.248,-.042,.327,-.037,51
83,T74,Steve Elkington,70,.240,.097,.096,.047,62
84,T83,J.J. Henry,97,.238,.030,.125,.084,84
85,T83,Matt Weibring,65,.236,-.193,.373,.056,55
86,85,Anthony Kim,76,.235,.115,.100,.019,60
87,73,Patrick Sheehan,51,.230,-.050,.266,.014,39
88,90,Adam Scott,53,.220,-.005,-.045,.270,42
89,91,Troy Matteson,95,.219,.486,-.087,-.181,88
90,T92,Scott Sterling,51,.216,-.140,.162,.194,40
91,94,Bob Estes,78,.215,-.128,.131,.212,69
92,95,K.J. Choi,65,.214,-.006,-.002,.222,50
93,T96,Marc Leishman,91,.212,.163,.239,-.190,84
94,T96,Darron Stiles,52,.187,.094,-.049,.143,42
95,98,Steve Flesch,77,.180,-.301,.318,.162,63
96,99,Stuart Appleby,79,.173,-.222,.179,.216,65
97,100,Mark Wilson,99,.167,.147,-.174,.194,88
98,101,Kevin Streelman,97,.163,.437,-.012,-.261,87
99,106,Jay Williamson,69,.158,-.084,.195,.047,57
100,102,Bill Lunde,83,.157,.143,-.029,.043,75
101,103,Chris Riley,77,.140,-.342,-.246,.728,67
102,104,Luke Donald,79,.135,-.540,.426,.249,61
103,105,Scott Piercy,85,.127,.119,.111,-.103,76
104,108,Chris Stroud,88,.098,-.133,.360,-.128,76
