RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,1,Vijay Singh,111,2.030,.934,.697,.398,88
2,2,Kenny Perry,82,1.835,.949,.898,-.012,60
3,3,Sergio Garcia,73,1.773,1.003,.522,.248,52
4,4,Tiger Woods,76,1.742,.896,.860,-.015,55
5,5,Jim Furyk,94,1.500,.096,.982,.422,72
6,6,Luke Donald,67,1.434,.082,.930,.422,40
7,7,Phil Mickelson,81,1.261,.341,.565,.355,50
8,9,Brian Davis,75,1.120,.488,.592,.040,64
9,10,Joe Durant,81,1.112,.562,.523,.028,69
10,11,Fred Couples,72,1.098,.499,.629,-.030,44
11,13,Scott Verplank,87,1.042,.246,.593,.203,66
12,17,Adam Scott,72,1.030,.441,.566,.024,52
13,12,Billy Mayfair,114,.984,.409,.304,.271,102
14,15,Justin Rose,99,.964,.342,.399,.223,89
15,14,Davis Love III,80,.945,.498,.433,.014,57
16,8,David Toms,87,.922,.201,.546,.174,64
17,18,Shigeki Maruyama,99,.920,-.117,.721,.316,85
18,19,Robert Allenby,95,.880,.345,.705,-.170,73
19,21,Alex Cejka,84,.853,.012,.761,.080,70
20,16,Tim Clark,92,.848,.052,.608,.188,65
21,22,Greg Owen,84,.818,.441,.386,-.008,71
22,23,Woody Austin,100,.815,.126,.490,.200,91
23,20,Tim Herron,100,.797,.249,.189,.359,78
24,28,Stuart Appleby,84,.783,.410,.206,.168,63
25,36,Bart Bryant,91,.772,.440,.452,-.120,77
26,26,D.J. Trahan,81,.758,.551,.203,.003,71
27,27,Jerry Kelly,101,.744,.336,.292,.115,76
28,29,Bob Estes,92,.737,-.060,.676,.121,80
29,31,Mark Calcavecchia,92,.730,.348,.586,-.204,77
30,24,Charles Howell III,95,.705,.429,.047,.229,72
31,33,David Hearn,68,.703,.564,.139,.000,61
32,35,Rod Pampling,89,.688,.353,.302,.033,70
T33,T37,Jeff Brehaut,71,.674,.048,.633,-.006,63
T33,T37,Rocco Mediate,73,.674,.168,.436,.069,66
35,39,Joey Sindelar,104,.650,.290,.532,-.172,99
36,40,Jason Bohn,91,.643,.189,.435,.019,82
37,41,J.J. Henry,102,.640,.316,.371,-.047,87
38,42,Omar Uresti,84,.639,.114,.294,.231,74
39,25,Lucas Glover,88,.623,.541,.250,-.169,79
40,43,John Senden,101,.599,.297,.362,-.060,91
41,45,Mathias Grönberg,60,.592,.529,.020,.043,56
T42,30,Chris DiMarco,83,.591,-.229,.762,.058,59
T42,46,Zach Johnson,96,.591,.490,.080,.021,83
44,48,Heath Slocum,103,.585,.119,.459,.007,90
45,34,Retief Goosen,71,.583,.281,.336,-.034,43
46,49,Tom Lehman,69,.580,.067,.476,.037,50
47,32,Justin Leonard,78,.564,-.031,.393,.202,55
48,50,Vaughn Taylor,99,.558,.176,.312,.070,90
49,44,Brandt Jobe,96,.557,.429,.314,-.186,82
50,52,John Rollins,97,.547,.551,-.031,.028,83
T51,53,Tommy Armour III,103,.529,.268,.378,-.117,92
T51,51,Chad Campbell,95,.529,-.060,.476,.113,76
