RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,1,Webb Simpson,98,1.492,.476,.755,.261,83
2,2,Luke Donald,73,1.408,.040,1.094,.273,52
3,3,Phil Mickelson,79,1.373,.140,.900,.333,58
4,4,Kyle Stanley,98,1.171,.516,.515,.139,80
5,6,Nick Watney,80,1.165,.543,.604,.018,62
6,7,Matt Kuchar,94,1.161,.304,.698,.158,71
7,5,Gary Woodland,93,1.157,.742,.380,.035,70
8,8,Dustin Johnson,72,1.125,.912,.195,.019,54
9,9,Rory Sabbatini,85,1.122,.218,.657,.248,61
10,10,Sergio Garcia,61,1.103,.528,.312,.263,45
11,11,Bo Van Pelt,92,1.034,.586,.344,.104,71
12,13,Robert Allenby,84,.991,.462,.494,.035,70
13,12,D.J. Trahan,91,.984,.565,.405,.015,83
14,14,Steve Stricker,70,.950,.047,.538,.364,53
15,16,Justin Rose,79,.937,.186,.508,.243,63
16,15,Chad Campbell,99,.932,.082,.987,-.137,87
17,17,K.J. Choi,77,.915,-.070,.689,.296,58
18,18,J.B. Holmes,57,.912,.726,.388,-.202,47
19,19,Charl Schwartzel,58,.898,.490,.287,.121,40
20,20,Adam Scott,60,.882,.793,.102,-.013,45
21,21,Ernie Els,71,.865,.121,.635,.109,59
22,22,Charles Howell III,108,.860,.168,.333,.358,91
23,23,David Toms,78,.836,.166,.669,.001,59
24,24,Martin Laird,77,.835,.499,.234,.103,62
25,25,Jason Dufner,78,.833,.515,.248,.069,65
26,26,Aaron Baddeley,77,.824,.190,.196,.438,62
27,29,Boo Weekley,66,.818,.683,.492,-.357,57
28,27,Jim Furyk,87,.816,-.017,.643,.190,70
29,28,Spencer Levin,113,.806,.097,.508,.202,94
30,30,Charley Hoffman,93,.782,.453,.200,.129,74
31,31,Bubba Watson,85,.775,.898,.193,-.317,59
32,33,John Rollins,85,.773,.647,.124,.002,72
33,32,Bill Haas,93,.752,.628,.044,.080,72
34,34,Vijay Singh,79,.730,.315,.260,.156,72
35,37,Davis Love III,70,.708,.245,.528,-.065,52
36,35,Ricky Barnes,78,.704,-.011,.584,.132,64
37,36,Hunter Mahan,92,.691,.371,.066,.254,76
38,38,John Senden,94,.665,.496,.453,-.283,81
39,39,Brian Davis,105,.640,.226,.493,-.079,92
40,41,Chris Kirk,87,.634,-.118,.611,.142,77
41,42,Joe Durant,71,.629,.382,.494,-.246,64
42,44,Billy Mayfair,94,.621,.213,.116,.292,85
43,43,Robert Karlsson,61,.612,.038,.388,.187,45
44,40,Brandt Jobe,100,.611,.478,.262,-.129,81
45,47,Kris Blanks,92,.592,-.078,.576,.095,83
46,45,Kevin Streelman,90,.578,.442,.305,-.168,71
47,46,Rickie Fowler,84,.566,.384,.194,-.013,66
48,T48,Alex Cejka,59,.527,-.145,.259,.413,47
49,55,Robert Garrigus,83,.523,.662,.280,-.419,69
50,50,Nick O'Hern,89,.518,.013,.127,.378,76
51,51,Brandt Snedeker,85,.507,.127,.191,.189,67
52,52,Stewart Cink,72,.501,-.055,.396,.160,52
53,54,Chez Reavie,92,.497,.381,.461,-.346,82
54,56,Steve Marino,76,.476,.364,.184,-.072,62
55,T48,Briny Baird,60,.465,.101,.252,.112,49
56,T57,Heath Slocum,89,.457,.192,.339,-.074,74
57,59,Zach Johnson,79,.453,.012,.349,.092,64
58,60,Woody Austin,59,.450,-.149,.588,.011,50
59,61,Jerry Kelly,85,.410,.038,.161,.211,68
60,62,Jason Day,76,.400,.204,.026,.169,59
61,63,John Merrick,71,.372,.319,.134,-.081,60
62,T57,Rod Pampling,72,.366,.193,-.180,.353,60
63,64,Ben Crane,76,.356,.101,.162,.093,62
64,65,Jonathan Byrd,83,.354,-.041,.248,.147,72
65,66,Brendon de Jonge,105,.303,-.065,.312,.057,92
T66,T67,Carl Pettersson,95,.284,.113,.147,.025,90
T66,T67,Camilo Villegas,69,.284,-.125,.399,.010,57
68,70,Ryan Moore,79,.278,.158,.192,-.071,60
69,71,Freddie Jacobson,92,.275,-.017,.105,.187,70
70,72,Keegan Bradley,91,.272,.683,-.330,-.081,77
71,73,Pat Perez,76,.271,.319,-.048,.001,70
72,75,Mark Wilson,89,.245,.007,-.017,.255,70
73,77,J.J. Henry,96,.233,.239,.080,-.086,79
74,74,Shane Bertsch,62,.220,-.245,.199,.267,52
75,86,Scott Stallings,84,.213,.443,.244,-.475,69
76,78,Chris Stroud,88,.212,-.060,.230,.041,78
77,69,Kevin Stadler,88,.208,.109,.400,-.301,73
78,79,Lucas Glover,74,.206,.270,.052,-.116,61
79,80,Geoff Ogilvy,69,.205,.017,.029,.159,54
80,82,Chris Riley,76,.201,-.087,-.301,.590,68
81,94,Kevin Chappell,78,.187,.140,.082,-.036,61
82,92,Aron Price,58,.186,-.176,.453,-.091,49
83,76,Brian Gay,90,.181,-.360,.117,.425,74
84,T84,Josh Teater,104,.174,.632,-.390,-.068,92
85,81,Jim Herman,69,.165,.244,.011,-.090,57
86,87,Sean O'Hair,71,.164,-.122,.140,.145,60
87,,Retief Goosen,50,.162,-.204,.212,.154,40
88,89,Tommy Gainey,104,.158,.245,.167,-.254,91
89,88,Jimmy Walker,79,.155,-.285,.271,.168,76
90,91,Jhonattan Vegas,84,.143,.507,-.246,-.117,70
91,93,Marc Leishman,87,.125,-.116,.034,.207,80
92,83,Chris DiMarco,93,.123,-.313,.383,.053,82
T93,T95,Harrison Frazar,58,.121,.259,-.025,-.114,42
T93,T95,Kevin Na,84,.121,-.757,.286,.593,68
95,98,Joseph Bramlett,73,.111,.030,.068,.013,61
96,97,Michael Bradley,74,.110,-.572,.448,.234,59
97,T84,Scott Piercy,78,.104,.201,.240,-.337,63
98,102,Andres Romero,77,.074,.201,-.038,-.090,68
99,101,D.A. Points,89,.071,.044,-.097,.124,74
100,105,Graeme McDowell,50,.066,.301,.029,-.265,37
101,107,Bill Lunde,92,.057,.156,.027,-.126,77
102,106,Brendan Steele,89,.054,.118,.209,-.273,77
103,99,Chris Couch,73,.052,.606,-.345,-.208,68
T104,114,Jeff Overton,92,.042,.402,-.119,-.241,73
T104,109,Cameron Tringale,110,.042,.154,-.133,.022,97
106,104,Ryuji Imada,83,.040,-.211,-.085,.337,76
107,124,Trevor Immelman,84,.036,-.299,.085,.250,67
108,100,Paul Goydos,81,.034,-.276,.452,-.142,74
109,103,George McNeill,69,.016,.130,.039,-.153,58
110,125,Justin Leonard,82,.011,-.257,-.070,.338,74
111,110,Padraig Harrington,60,.007,-.392,.209,.190,45
112,111,Y.E. Yang,63,.003,.152,-.111,-.038,42
113,112,David Hearn,88,-.001,.217,.016,-.234,76
114,113,Troy Matteson,91,-.013,.295,-.089,-.218,81
115,108,William McGirt,103,-.023,-.039,-.021,.036,92
116,121,Tim Herron,85,-.026,-.125,-.122,.221,77
117,116,Scott Gutschewski,67,-.029,-.072,-.013,.056,55
118,115,Ian Poulter,52,-.032,-.354,.222,.100,39
119,118,Ben Curtis,66,-.049,-.046,-.063,.060,62
120,123,Blake Adams,116,-.064,.241,-.453,.148,105
121,120,Jason Bohn,74,-.075,-.103,.167,-.139,67
122,122,Vaughn Taylor,89,-.076,-.294,.191,.028,83
123,117,Ryan Palmer,82,-.078,-.060,-.064,.047,60
124,119,Hunter Haas,96,-.082,-.015,-.141,.074,85
125,127,Bryce Molder,82,-.116,-.325,-.138,.346,71
126,126,David Mathis,83,-.120,-.091,.003,-.032,70
127,128,Tom Gillis,55,-.137,.076,-.212,-.001,50
128,143,Sung Kang,63,-.143,.135,-.003,-.274,51
129,129,Billy Horschel,75,-.168,.310,-.290,-.189,62
130,131,James Driscoll,71,-.184,-.243,-.226,.285,61
131,134,Kent Jones,76,-.205,-.059,-.008,-.137,67
132,132,Greg Chalmers,88,-.215,-.411,-.057,.253,79
133,130,Garrett Willis,71,-.247,-.066,-.037,-.144,64
134,136,Jim Renner,65,-.261,.162,-.188,-.234,53
135,T137,Stephen Ames,69,-.274,-.131,.029,-.171,60
136,135,Tim Petrovic,88,-.296,-.316,-.247,.267,77
137,133,Tag Ridings,87,-.302,.114,-.165,-.251,74
138,140,Anthony Kim,72,-.310,-.455,.103,.043,58
139,142,Michael Connell,76,-.327,-.393,.042,.023,72
140,141,Ángel Cabrera,50,-.337,.217,.126,-.679,35
141,T137,Paul Stankowski,78,-.345,-.529,-.014,.199,65
142,144,Johnson Wagner,81,-.370,-.059,-.119,-.192,70
143,T151,Alexandre Rocha,65,-.374,-.184,.005,-.195,49
144,146,Alex Prugh,82,-.375,.204,-.109,-.470,71
145,145,Matt Jones,71,-.379,-.135,-.506,.262,64
146,154,Steven Bowditch,86,-.429,.339,-.615,-.153,78
147,149,David Duval,67,-.437,-.243,.065,-.259,58
