RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,1,Justin Rose,62,1.912,.459,.961,.491,46
2,2,Tiger Woods,61,1.637,-.142,1.533,.247,43
3,3,Henrik Stenson,65,1.614,.710,.776,.128,44
4,4,Steve Stricker,51,1.474,.311,.567,.596,35
5,5,Adam Scott,61,1.337,.734,.548,.055,44
6,6,Jim Furyk,80,1.297,.023,.950,.323,64
7,7,Jordan Spieth,82,1.291,.611,.480,.200,67
8,10,Bubba Watson,76,1.164,.937,.292,-.065,59
9,9,Keegan Bradley,88,1.153,.698,.270,.185,72
10,12,Lee Westwood,70,1.088,.439,.479,.170,51
11,13,Rory McIlroy,56,1.077,.624,.420,.032,41
T12,15,Bill Haas,85,.999,.365,.346,.289,69
T12,11,Matt Kuchar,93,.999,-.010,.731,.278,69
14,14,Graham DeLaet,94,.969,.488,.640,-.159,81
15,8,Charl Schwartzel,69,.967,.195,.711,.061,54
16,17,Webb Simpson,92,.958,.216,.517,.225,70
17,19,Roberto Castro,97,.931,.204,.379,.348,84
18,16,Sergio Garcia,65,.928,.131,.538,.259,47
19,23,Dustin Johnson,71,.906,.332,.663,-.090,51
20,22,Vijay Singh,61,.851,.371,.501,-.021,48
21,20,Jason Dufner,78,.812,.475,.440,-.103,61
22,26,Phil Mickelson,78,.775,.021,.494,.260,57
23,18,Boo Weekley,100,.774,.594,.401,-.221,83
24,25,Lucas Glover,65,.765,.541,.307,-.083,52
T25,24,Hunter Mahan,91,.752,.417,.285,.050,68
T25,21,Luke Donald,60,.752,-.459,.583,.628,46
27,28,Kevin Stadler,83,.751,.410,.451,-.110,69
28,29,Rory Sabbatini,86,.743,.273,.468,.002,72
29,30,Matt Jones,83,.740,.396,.123,.220,70
30,27,Brendon de Jonge,110,.725,.280,.414,.032,97
31,31,Kevin Chappell,80,.722,.276,.370,.077,67
T32,T35,Stewart Cink,71,.654,-.264,.975,-.058,56
T32,T35,Jimmy Walker,84,.654,.082,.407,.164,75
34,37,Freddie Jacobson,63,.626,.075,.304,.247,46
35,32,Kevin Streelman,86,.611,.406,.214,-.008,68
36,38,Camilo Villegas,79,.608,-.183,.885,-.095,64
37,33,Jason Day,86,.606,.452,-.013,.167,61
38,39,Robert Garrigus,69,.553,.509,.571,-.528,49
39,40,Ryan Palmer,79,.550,.411,.461,-.323,69
40,43,John Huh,88,.525,.179,.155,.190,75
41,44,Mark Wilson,56,.510,.185,.252,.072,50
42,45,K.J. Choi,85,.508,.096,.154,.258,63
T43,41,Nick Watney,88,.506,.461,.362,-.317,73
T43,46,Chris Kirk,89,.506,-.213,.620,.099,81
45,47,Nicholas Thompson,99,.505,.420,.373,-.288,86
46,48,Zach Johnson,84,.479,.181,.251,.047,67
47,49,John Rollins,77,.470,.164,.409,-.103,68
48,50,Brian Davis,91,.458,.051,.222,.185,83
49,T51,John Merrick,79,.454,.038,.365,.051,68
50,53,Charley Hoffman,84,.450,.333,.262,-.145,73
51,42,Brandt Snedeker,79,.449,-.025,.121,.354,58
52,54,Ernie Els,63,.444,.110,.191,.143,48
T53,T55,Bob Estes,66,.424,-.216,.277,.362,62
T53,T55,Charles Howell III,87,.424,.133,-.084,.374,80
55,57,Graeme McDowell,53,.407,.251,.217,-.061,37
56,T51,Gary Woodland,94,.397,.331,.459,-.392,83
57,58,Jerry Kelly,75,.394,.109,.159,.125,64
58,59,Matt Every,89,.385,.323,.296,-.234,80
59,60,Chez Reavie,72,.383,.381,.186,-.184,67
60,61,Ryan Moore,72,.377,.232,.007,.139,57
61,62,Rickie Fowler,75,.358,.143,.141,.074,59
62,63,Kyle Stanley,71,.351,.640,.419,-.708,60
63,64,Martin Flores,83,.346,.136,.092,.118,76
64,65,Ian Poulter,59,.337,.200,-.153,.290,39
T65,T66,Pat Perez,69,.323,-.127,.505,-.055,64
T65,T66,Bud Cauley,67,.323,-.063,.238,.148,56
67,68,Josh Teater,86,.316,.365,.083,-.133,61
68,69,Nicolas Colsaerts,50,.311,.552,.322,-.563,36
69,70,Jason Kokrak,78,.309,.079,.201,.029,72
70,71,Ricky Barnes,74,.306,-.181,.714,-.227,65
71,72,Jim Herman,59,.282,.550,-.091,-.176,44
72,73,Chris Stroud,88,.276,-.578,.520,.333,78
73,74,Billy Horschel,96,.275,.465,-.121,-.069,83
74,75,Cameron Tringale,80,.239,-.079,.169,.149,75
75,76,Marc Leishman,77,.237,-.099,.345,-.009,64
76,77,Daniel Summerhays,83,.232,-.062,.227,.067,78
77,79,Luke Guthrie,82,.219,-.116,.280,.055,65
78,80,John Senden,79,.216,.344,-.258,.130,61
79,81,George McNeill,68,.213,-.012,.255,-.030,64
80,82,Chad Campbell,78,.205,-.286,.525,-.033,72
81,83,Ben Crane,62,.175,-.143,.313,.005,55
82,84,Brad Fritsch,81,.166,.005,.313,-.152,68
T83,78,D.A. Points,87,.160,-.194,.191,.163,68
T83,85,"Ted Potter, Jr.",65,.160,.166,.046,-.052,55
85,86,Scott Brown,65,.151,.338,-.174,-.014,55
86,87,Russell Henley,80,.145,.432,-.053,-.233,66
T87,T88,Harris English,95,.136,.115,.098,-.077,82
T87,T88,Ryo Ishikawa,72,.136,.110,.191,-.165,55
T87,T88,Martin Laird,68,.136,.389,-.195,-.058,53
90,91,Morgan Hoffmann,64,.125,.227,-.344,.242,53
91,92,Brandt Jobe,62,.123,.104,.209,-.191,53
92,93,Bo Van Pelt,72,.111,.186,.025,-.100,54
93,94,Scott Piercy,78,.100,.144,-.038,-.006,62
94,95,Tim Clark,64,.086,.048,.087,-.049,43
95,96,Justin Hicks,79,.080,.218,.462,-.600,66
96,97,Trevor Immelman,73,.074,-.181,.162,.094,62
97,99,Greg Owen,73,.054,.064,-.045,.036,66
98,100,Robert Karlsson,56,.051,-.217,.125,.143,37
99,101,Jeff Maggert,63,.049,.074,.141,-.166,57
100,102,Padraig Harrington,52,.042,-.345,.067,.321,35
T101,T103,Peter Hanson,45,.024,-.306,.192,.138,33
T101,T103,David Lingmerth,68,.024,.301,-.255,-.022,57
103,105,Jeff Overton,78,.011,.296,.099,-.384,74
104,106,Martin Kaymer,61,-.003,.402,-.070,-.335,42
105,107,Brendan Steele,86,-.005,.025,-.135,.105,77
106,108,Ángel Cabrera,73,-.006,.294,-.241,-.059,57
107,109,Seung-Yul Noh,71,-.009,-.162,-.163,.315,62
108,110,Ken Duke,87,-.040,.009,.130,-.178,75
109,111,James Hahn,78,-.070,.044,-.079,-.034,67
110,112,David Lynn,70,-.071,-.229,-.164,.323,56
111,113,J.J. Henry,83,-.074,.138,-.122,-.089,74
112,114,Bryce Molder,82,-.090,-.538,.052,.395,71
113,115,Henrik Norlander,70,-.094,.166,-.105,-.155,59
114,116,Will Claxton,67,-.095,.341,-.222,-.215,56
115,117,Carl Pettersson,82,-.101,.026,-.252,.126,64
116,118,Stuart Appleby,88,-.112,-.280,-.219,.387,79
117,119,Brian Stuard,78,-.135,-.128,.118,-.125,63
118,120,David Hearn,88,-.139,-.199,.179,-.119,73
119,121,Vaughn Taylor,50,-.141,-.042,.148,-.247,40
120,122,William McGirt,75,-.161,-.208,-.118,.165,71
121,123,Scott Langley,79,-.211,-.302,-.124,.215,64
122,124,D.H. Lee,65,-.213,-.142,-.055,-.015,58
T123,T125,Steve LeBrun,66,-.217,.248,-.280,-.185,53
T123,T125,Jason Bohn,70,-.217,-.156,.034,-.095,66
125,127,Tag Ridings,69,-.224,-.054,-.174,.003,58
126,128,Patrick Reed,83,-.227,.089,-.327,.011,74
127,129,Robert Streb,75,-.231,.164,-.398,.003,62
128,130,Justin Leonard,86,-.233,-.341,-.255,.363,75
129,131,Richard Lee,81,-.251,-.134,-.074,-.043,72
130,132,James Driscoll,76,-.261,-.422,.022,.139,63
131,133,Steven Bowditch,67,-.283,.041,-.641,.316,58
132,134,D.J. Trahan,48,-.285,.182,-.448,-.018,38
133,135,Cameron Percy,68,-.288,.001,-.198,-.092,57
134,136,Rod Pampling,46,-.293,-.115,-.568,.389,35
135,137,Tim Herron,45,-.296,-.208,-.285,.197,44
136,138,David Toms,49,-.301,-.370,-.026,.095,32
137,139,Geoff Ogilvy,57,-.311,-.161,-.268,.117,42
138,140,Andres Romero,63,-.317,-.050,-.437,.170,52
139,141,Charlie Beljan,62,-.320,.424,-.437,-.306,55
140,142,Dicky Pride,71,-.350,-.365,.012,.002,59
141,143,Lee Williams,62,-.364,-.514,-.230,.380,51
142,144,Fabián Gómez,65,-.372,.089,-.435,-.026,56
143,145,Scott Stallings,79,-.381,.389,-.379,-.392,66
144,146,Michael Thompson,66,-.391,-.280,-.179,.067,53
T145,T147,Erik Compton,74,-.427,.012,-.363,-.076,65
T145,T147,Charlie Wi,75,-.427,-.224,-.498,.295,66
147,149,Brian Harman,89,-.443,.316,-.856,.096,76
148,150,Ben Curtis,59,-.458,-.632,-.034,.208,46
149,151,Darron Stiles,51,-.484,-.087,-.401,.003,42
150,152,Jin Park,52,-.485,-.335,-.166,.016,43
151,153,Sangmoon Bae,83,-.488,.053,-.165,-.376,72
152,154,Eric Meierdierks,48,-.499,.316,-.314,-.501,37
153,155,Y.E. Yang,56,-.504,.133,-.500,-.137,41
154,156,Ben Kohles,75,-.509,-.042,-.113,-.354,62
155,157,Robert Allenby,58,-.522,-.733,.296,-.085,52
156,158,Shawn Stefani,63,-.573,-.110,-.308,-.155,50
157,159,Troy Matteson,68,-.614,-.206,-.583,.175,59
158,160,Andrew Svoboda,46,-.629,-.027,-.295,-.308,35
159,161,Scott Gardiner,61,-.649,.069,-.527,-.190,52
160,162,Brian Gay,79,-.694,-.577,-.453,.336,71
161,163,David Mathis,71,-.701,-.328,-.267,-.105,62
162,164,Jonas Blixt,76,-.715,-.227,-.882,.394,67
163,165,Tom Gillis,69,-.716,.062,-.905,.126,60
164,166,Sean O'Hair,56,-.745,.029,-.576,-.198,51
165,167,Derek Ernst,58,-.859,.231,-.564,-.526,49
166,168,Michael Bradley,56,-.869,-1.058,.257,-.068,43
167,169,Tommy Gainey,84,-.870,-.098,-.361,-.411,75
168,170,Casey Wittenberg,72,-.874,-1.071,-.067,.263,61
169,171,Greg Chalmers,77,-.890,-.552,-.237,-.102,70
170,172,Doug LaBelle II,72,-.932,-.243,-.479,-.210,59
171,173,Aaron Baddeley,68,-.979,-.603,-.669,.293,59
172,175,Aaron Watkins,46,-.991,-.568,-.707,.285,35
173,176,Alistair Presnell,59,-1.010,-.548,-.585,.123,46
174,177,Mike Weir,60,-1.059,-1.338,-.120,.399,47
175,178,Luke List,65,-1.077,-.447,-.533,-.097,52
176,179,Johnson Wagner,64,-1.217,-.461,-.320,-.436,52
177,180,Justin Bolli,59,-1.270,-.273,-.787,-.210,46
178,181,Stephen Ames,49,-1.297,-.662,-.488,-.147,44
179,182,Bobby Gates,49,-1.408,-.580,-.498,-.331,38
180,183,Colt Knost,69,-1.714,-.625,-.847,-.242,58
