RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,1,Bubba Watson,71,1.876,1.194,.684,-.002,56
2,2,Henrik Stenson,63,1.774,.448,1.244,.082,44
3,3,Jim Furyk,71,1.658,.064,1.081,.513,52
4,4,Jordan Spieth,91,1.583,.494,.618,.471,66
5,5,Jason Day,75,1.520,.772,.461,.287,57
6,7,Justin Rose,69,1.471,.550,.692,.228,49
7,6,Hideki Matsuyama,95,1.388,.496,.637,.254,70
8,8,Webb Simpson,81,1.346,.225,.582,.539,64
9,9,Dustin Johnson,75,1.326,.960,.579,-.212,54
10,10,Paul Casey,87,1.202,.392,.991,-.182,63
11,11,Lucas Glover,79,1.170,.591,.691,-.111,72
12,12,Keegan Bradley,87,1.088,.436,.389,.263,64
13,13,Zach Johnson,90,1.081,.240,.605,.236,70
14,14,Sergio Garcia,59,1.067,.442,.468,.157,36
15,15,Brendan Steele,88,1.005,.363,.600,.041,76
16,16,J.B. Holmes,89,.949,.427,.253,.268,66
17,17,Justin Thomas,106,.926,.352,.385,.188,96
18,18,Jason Dufner,76,.922,.242,.399,.281,48
19,20,Will Wilcox,58,.863,.662,.144,.058,41
20,21,Francesco Molinari,56,.859,.324,.572,-.037,43
21,23,Russell Knox,96,.827,.098,.622,.107,87
22,24,Louis Oosthuizen,68,.825,.339,.397,.088,47
23,22,Matt Kuchar,97,.817,.136,.202,.479,77
24,25,Ryan Palmer,80,.813,.356,.529,-.072,54
25,26,Vijay Singh,78,.812,.152,.420,.241,69
26,28,Rickie Fowler,76,.779,.123,.590,.066,57
27,27,Robert Streb,110,.712,.309,.175,.228,96
28,30,Kevin Na,98,.711,-.329,.381,.660,71
29,19,Bill Haas,89,.689,.140,.422,.126,71
30,36,Daniel Berger,97,.682,.372,.526,-.217,83
31,31,Boo Weekley,79,.671,.548,.108,.015,67
32,32,Nick Watney,91,.661,.310,.238,.112,81
33,29,Brooks Koepka,84,.660,.407,.200,.052,65
34,33,Tony Finau,106,.634,.383,.224,.027,92
35,34,Charl Schwartzel,67,.629,.669,-.132,.092,41
36,35,Roberto Castro,54,.612,.079,.347,.187,36
37,37,Adam Scott,51,.601,.682,.114,-.195,32
38,38,Charles Howell III,105,.599,.340,.199,.059,99
39,39,Greg Owen,58,.572,.036,.407,.129,40
40,40,Rory Sabbatini,81,.567,.094,.375,.097,66
41,42,Jason Bohn,95,.538,.019,.561,-.042,87
42,44,Chad Campbell,97,.482,.130,.192,.159,91
43,41,Patrick Reed,103,.465,-.071,.263,.273,76
44,45,John Peterson,84,.435,.333,.276,-.175,77
45,47,Shawn Stefani,94,.423,.332,.283,-.192,88
46,48,John Merrick,78,.420,.056,.358,.006,58
47,49,Ryan Moore,81,.418,.071,.246,.102,61
48,50,Tom Hoge,83,.410,.035,.456,-.080,65
49,51,Jim Herman,88,.407,.467,.285,-.345,77
50,52,William McGirt,103,.395,.087,.060,.248,97
51,43,Kevin Kisner,104,.389,.316,.141,-.068,94
52,53,Michael Putnam,87,.373,-.025,.420,-.022,68
53,54,Stewart Cink,77,.367,.087,.561,-.282,66
54,55,David Lingmerth,90,.366,.379,.013,-.025,74
55,61,Danny Lee,120,.354,-.301,.718,-.062,100
56,56,Kevin Streelman,95,.352,.563,.005,-.216,73
57,57,George McNeill,93,.351,-.223,.645,-.071,89
58,58,Chris Kirk,76,.350,-.150,.302,.198,56
59,60,Chez Reavie,56,.342,.384,.298,-.340,50
60,62,Ian Poulter,68,.329,-.054,.235,.147,48
T61,46,Scott Piercy,90,.322,.270,.224,-.172,83
T61,63,Marc Leishman,74,.322,.021,.199,.102,54
63,64,Brendon de Jonge,106,.320,.276,.196,-.152,92
64,65,Phil Mickelson,70,.319,.072,.022,.225,55
65,67,James Hahn,94,.307,.106,.135,.065,78
66,68,Jason Kokrak,88,.306,.464,-.014,-.144,80
67,70,Graham DeLaet,65,.299,.027,.328,-.056,54
68,71,Luke Donald,71,.295,-.793,.573,.514,54
69,72,Lee Westwood,56,.283,.094,.292,-.102,32
70,66,Charley Hoffman,97,.269,.470,.137,-.338,76
71,74,Matt Jones,89,.263,.249,-.319,.333,67
72,75,Geoff Ogilvy,50,.260,.138,.082,.039,35
73,69,Steven Bowditch,103,.256,-.053,.056,.253,88
74,76,Martin Flores,95,.255,.349,-.142,.047,79
75,78,Brendon Todd,96,.248,-.168,.136,.280,76
76,79,Cameron Tringale,96,.244,-.074,-.054,.373,79
77,73,Jimmy Walker,89,.241,-.161,.334,.068,64
78,80,Pat Perez,96,.222,-.010,.187,.045,83
79,59,Harris English,105,.217,.009,.207,.000,88
80,81,Scott Brown,97,.216,.296,.031,-.111,81
81,82,Martin Laird,77,.206,-.078,.302,-.019,73
T82,T83,Billy Horschel,99,.202,.366,.137,-.301,73
T82,T83,Kevin Chappell,86,.202,.160,-.105,.148,75
84,85,Chad Collins,79,.201,-.250,.246,.205,63
85,86,Jerry Kelly,79,.186,.073,-.052,.166,66
T86,T87,David Toms,62,.178,-.041,-.028,.248,55
T86,T87,Chris Stroud,84,.178,-.249,.132,.295,68
88,89,Brian Harman,90,.177,.322,-.176,.030,78
T89,T91,Cameron Percy,72,.163,.128,-.002,.037,58
T89,T91,Steven Alker,62,.163,-.129,-.114,.406,50
91,93,Jason Gore,76,.157,.284,.266,-.393,58
92,94,Ben Martin,93,.153,-.016,.268,-.100,77
93,95,Jonathan Byrd,69,.148,-.145,-.303,.596,51
94,96,John Senden,80,.142,.331,-.171,-.017,51
95,97,Spencer Levin,99,.135,.204,.181,-.250,83
96,98,Patrick Rodgers,57,.133,.680,-.456,-.090,46
97,99,Gary Woodland,81,.121,.177,.227,-.284,54
98,100,Scott Langley,94,.108,-.128,.056,.180,79
99,101,J.J. Henry,94,.105,.066,-.088,.127,76
100,102,Kyle Reifers,96,.101,.108,-.084,.076,80
101,104,Mark Wilson,89,.092,-.299,.013,.377,81
102,105,Whee Kim,71,.081,-.201,.324,-.043,56
103,107,Ryo Ishikawa,90,.052,-.408,.436,.025,75
104,108,Alex Prugh,84,.051,.319,-.085,-.183,72
105,103,Brandt Snedeker,98,.020,-.126,-.199,.344,75
106,109,Alex Cejka,94,.015,-.233,.113,.135,79
107,110,Sean O'Hair,86,.012,.153,-.284,.142,81
108,111,Ernie Els,57,.009,-.285,.192,.102,39
109,112,David Hearn,97,-.002,-.216,.243,-.029,85
110,113,Jamie Donaldson,50,-.008,.095,-.150,.046,32
111,114,Jeff Overton,94,-.014,-.036,.041,-.018,75
112,115,Derek Ernst,75,-.015,.676,-.547,-.144,63
113,116,Camilo Villegas,83,-.019,-.296,.133,.143,74
114,117,Hudson Swafford,97,-.022,.273,.109,-.404,83
115,118,Davis Love III,51,-.031,.189,-.335,.116,42
116,119,Ángel Cabrera,53,-.032,.060,.336,-.428,42
117,120,Morgan Hoffmann,85,-.035,-.032,-.347,.343,69
118,121,Carlos Ortiz,100,-.048,.355,-.238,-.166,83
119,122,Adam Hadwin,95,-.051,.088,-.183,.044,81
120,123,Jon Curran,83,-.059,-.406,.077,.270,65
121,124,Carl Pettersson,106,-.099,-.038,.035,-.097,96
122,125,Daniel Summerhays,101,-.103,-.111,.194,-.186,89
123,126,Johnson Wagner,68,-.108,-.013,.106,-.201,57
124,127,Russell Henley,87,-.116,.343,-.269,-.191,67
125,128,Gonzalo Fernandez-Castaño,81,-.125,.187,-.495,.183,63
126,129,Charlie Beljan,76,-.134,.583,-.293,-.424,57
127,130,Luke Guthrie,84,-.147,-.314,.020,.147,68
128,131,Colt Knost,90,-.152,-.084,.017,-.085,74
129,132,Ken Duke,93,-.156,.067,.025,-.248,78
130,133,K.J. Choi,66,-.159,-.522,.153,.210,57
