RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,1,Dustin Johnson,77,1.862,1.071,.670,.121,59
2,3,Jordan Spieth,85,1.646,.321,.896,.429,68
3,2,Hideki Matsuyama,83,1.613,.508,.758,.346,59
4,5,Jon Rahm,90,1.522,.949,.515,.057,66
5,6,Justin Thomas,86,1.479,.452,.738,.289,65
6,7,Francesco Molinari,75,1.453,.483,.842,.128,59
7,4,Paul Casey,94,1.410,.349,.939,.122,71
8,8,Rory McIlroy,51,1.382,.965,.322,.095,36
9,10,Sergio Garcia,65,1.356,.795,.378,.182,46
10,13,Justin Rose,66,1.295,.559,.363,.373,53
11,11,Tony Finau,106,1.280,.826,.390,.065,91
12,12,Kyle Stanley,104,1.259,.659,.562,.038,94
13,9,Rickie Fowler,78,1.134,.378,.408,.349,63
14,16,Luke List,102,1.117,.600,.443,.074,86
15,15,Patrick Cantlay,52,1.111,.623,.467,.021,46
16,18,Adam Scott,58,1.103,.524,.536,.043,42
17,14,Marc Leishman,94,1.066,.319,.410,.337,73
18,17,Gary Woodland,94,1.040,.431,.571,.039,68
19,20,Ryan Palmer,61,1.030,.533,.555,-.058,49
20,22,Byeong Hun An,77,.964,.524,.369,.071,57
21,23,Lucas Glover,93,.944,.502,.301,.140,86
22,24,Ian Poulter,72,.911,-.162,.573,.501,55
23,21,Charley Hoffman,112,.903,.586,.349,-.031,93
24,25,Webb Simpson,102,.893,-.036,.503,.426,84
25,27,Brendan Steele,89,.888,.387,.411,.090,71
26,28,Bill Haas,92,.868,-.047,.399,.516,72
27,19,Kevin Chappell,95,.841,.442,.294,.106,72
28,26,Matt Kuchar,95,.840,.158,.253,.430,77
29,29,Bud Cauley,92,.803,.264,.588,-.050,82
30,31,Keegan Bradley,104,.769,.625,.139,.004,91
31,30,Daniel Berger,91,.761,.282,.570,-.090,69
32,32,Jamie Lovemark,98,.760,.319,.183,.258,80
33,33,Stewart Cink,93,.725,-.019,.793,-.050,81
34,34,Phil Mickelson,85,.711,-.058,.553,.216,69
35,35,Robert Garrigus,78,.709,.422,.477,-.190,60
36,36,J.B. Holmes,83,.708,.533,.039,.137,61
37,37,Louis Oosthuizen,69,.705,.301,.215,.189,51
38,39,Chad Campbell,97,.691,.041,.506,.144,85
39,T43,Kevin Kisner,105,.656,.257,.334,.065,77
40,38,Jason Dufner,89,.654,.268,.519,-.133,72
41,45,Boo Weekley,75,.630,.634,.425,-.429,61
42,40,Brooks Koepka,88,.623,.546,.058,.019,67
43,42,Jason Day,71,.580,.311,-.004,.273,55
44,46,Martin Laird,83,.576,.235,.139,.203,72
45,47,Shane Lowry,52,.536,.582,.231,-.277,38
46,48,Emiliano Grillo,90,.532,.368,.281,-.116,66
47,50,Branden Grace,70,.518,.180,.173,.165,47
48,T43,Pat Perez,93,.515,-.147,.222,.440,73
49,51,Kevin Na,86,.513,-.406,.631,.288,66
50,T52,Harold Varner III,101,.511,.262,.330,-.081,86
T51,T52,Russell Henley,99,.506,.310,.196,.000,86
T51,54,Brandt Snedeker,53,.506,-.311,.503,.314,42
T51,41,Jhonattan Vegas,95,.506,.394,.172,-.060,71
54,55,Charl Schwartzel,63,.504,-.023,.399,.127,48
55,56,Jim Herman,77,.495,.422,.143,-.070,66
56,57,Rory Sabbatini,71,.482,.308,.146,.028,53
57,65,Xander Schauffele,96,.479,.554,.011,-.086,74
58,58,Graham DeLaet,82,.477,.486,.427,-.436,71
59,59,Jason Kokrak,95,.458,.607,.077,-.226,83
60,60,Kevin Streelman,90,.450,.292,.197,-.038,78
61,61,Chez Reavie,98,.423,.121,.375,-.073,83
62,62,Cameron Smith,86,.418,-.130,.149,.399,71
63,64,Ollie Schniederjans,92,.402,.125,.309,-.032,81
64,63,Patrick Reed,107,.399,.199,-.049,.250,84
65,66,Bryson DeChambeau,91,.383,.420,-.020,-.016,73
66,67,Seamus Power,86,.364,-.067,.202,.229,68
67,68,Nick Taylor,97,.342,.168,.053,.121,83
68,69,Scott Stallings,81,.339,.049,.375,-.084,68
69,70,Sung Kang,104,.325,.255,.251,-.182,82
70,71,Charles Howell III,86,.320,.016,.223,.081,68
T71,T72,Ryan Moore,82,.319,-.006,.498,-.173,65
T71,T72,Hudson Swafford,94,.319,.454,.202,-.337,76
73,74,Nick Watney,75,.284,-.063,.585,-.238,64
74,76,Bubba Watson,71,.272,.647,-.175,-.201,53
75,77,Sean O'Hair,84,.269,.252,.118,-.101,70
