RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,1,Tiger Woods,63,2.380,.624,1.653,.103,43
2,2,Ernie Els,59,1.609,.452,.994,.163,44
3,3,Phil Mickelson,73,1.441,.328,.614,.499,52
4,4,Vijay Singh,102,1.402,.583,.464,.355,82
5,5,Alex Cejka,80,1.207,.257,.609,.340,74
6,6,Jim Furyk,84,1.202,.199,.589,.413,66
7,8,Sergio Garcia,68,1.192,.048,.784,.360,55
8,7,Scott Verplank,82,1.179,.323,.671,.185,59
9,9,Steve Stricker,81,1.164,.002,.811,.351,65
10,10,Adam Scott,69,1.105,.478,.708,-.081,54
11,11,Robert Allenby,90,1.034,.638,.845,-.449,75
12,12,Mike Weir,82,1.005,.267,.241,.498,60
13,13,Kenny Perry,83,.981,.485,.437,.059,75
14,15,Sean O'Hair,98,.972,.484,.440,.048,83
15,14,Ian Poulter,63,.958,.279,.027,.653,39
16,16,Camilo Villegas,82,.903,.369,.603,-.068,69
17,20,Joe Durant,88,.880,.698,.545,-.363,73
18,18,K.J. Choi,87,.874,.161,.081,.632,68
19,19,Jerry Kelly,101,.848,.279,.469,.100,75
20,25,Jeff Overton,60,.822,.613,.217,-.008,54
21,21,Arron Oberholser,69,.821,.125,.300,.396,53
22,17,Boo Weekley,101,.819,.876,.231,-.289,78
23,22,Justin Rose,63,.816,.157,.404,.255,39
24,23,Jeff Gove,103,.812,.147,.593,.073,94
25,24,Anthony Kim,93,.794,.578,.200,.016,80
26,26,Bo Van Pelt,104,.789,.354,.282,.153,97
27,27,John Senden,97,.778,.366,.435,-.023,84
28,28,Geoff Ogilvy,84,.749,.523,.026,.200,64
29,29,Trevor Immelman,74,.735,.357,.322,.056,54
30,32,Mark Calcavecchia,93,.717,.277,.333,.107,73
31,31,Rory Sabbatini,81,.716,.151,.254,.311,63
32,30,Billy Mayfair,98,.690,.234,.315,.141,83
33,40,Brett Wetterich,88,.667,.671,.205,-.210,70
34,35,Padraig Harrington,64,.666,.133,.298,.235,46
35,37,Heath Slocum,101,.659,.134,.409,.115,93
36,34,Tom Lehman,62,.656,-.070,.566,.160,49
