RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,1,Vijay Singh,82,1.875,.819,.607,.450,63
2,2,Sergio Garcia,72,1.625,.503,.891,.230,56
3,3,Phil Mickelson,80,1.604,.402,.842,.360,59
4,4,Robert Allenby,108,1.546,.534,1.217,-.205,86
5,5,Adam Scott,51,1.299,.475,.384,.440,35
6,6,Camilo Villegas,79,1.166,.296,.777,.093,63
7,7,Ernie Els,51,1.120,.101,.790,.228,36
8,8,Anthony Kim,81,1.117,.549,.474,.093,65
9,9,Boo Weekley,86,1.048,.715,.443,-.109,64
10,10,Kenny Perry,97,.995,.514,.599,-.118,92
11,11,Padraig Harrington,52,.959,.279,.221,.460,32
12,13,D.J. Trahan,94,.934,.374,.496,.064,78
13,12,Briny Baird,113,.931,.208,.650,.073,96
14,14,Bubba Watson,97,.904,.538,.416,-.051,80
15,18,Scott Verplank,82,.901,.266,.508,.127,65
16,15,John Senden,93,.899,.385,.630,-.116,82
17,16,Jim Furyk,95,.881,.260,.590,.031,75
18,17,Pat Perez,93,.856,.318,.423,.115,79
19,36,Davis Love III,78,.764,.448,.289,.026,65
20,19,Mike Weir,88,.758,-.052,.268,.541,66
21,20,Kevin Sutherland,98,.750,.137,.352,.261,88
22,21,David Toms,70,.741,.113,.610,.018,56
23,25,Stephen Ames,83,.736,-.085,.623,.198,66
24,T22,Chad Campbell,94,.732,.068,.830,-.166,85
25,T22,Heath Slocum,104,.719,.306,.545,-.132,86
26,24,Fred Couples,60,.718,.347,.218,.154,51
27,26,Mathew Goggin,91,.704,.509,-.027,.222,82
28,27,Bart Bryant,81,.693,.316,.347,.030,67
29,28,Geoff Ogilvy,65,.684,.328,.263,.094,49
30,29,Justin Leonard,101,.675,.265,.244,.165,73
31,30,Trevor Immelman,70,.670,-.061,.303,.427,54
T32,38,Joe Durant,92,.665,.582,.447,-.364,79
T32,32,Hunter Mahan,87,.665,.360,.742,-.437,72
T34,T40,Charles Howell III,101,.648,.130,.283,.236,87
T34,33,Stuart Appleby,87,.648,-.024,.310,.362,67
36,34,Tom Lehman,51,.643,-.065,.546,.162,38
37,35,Woody Austin,109,.628,.299,.410,-.081,88
38,37,Sean O'Hair,81,.624,.448,.179,-.003,68
39,T40,Steve Marino,119,.611,.461,.194,-.044,104
40,39,Billy Mayfair,103,.605,.308,.003,.294,95
41,31,Stewart Cink,87,.604,.045,.501,.058,64
42,42,Mark Calcavecchia,67,.597,.247,.513,-.163,54
43,43,Paul Casey,55,.595,.372,.616,-.394,36
44,50,J.B. Holmes,86,.574,.866,-.172,-.119,69
45,44,Zach Johnson,85,.572,.161,.612,-.201,71
46,51,Tim Clark,90,.565,-.141,.597,.109,73
47,T45,Nick O'Hern,82,.536,-.102,.491,.147,71
48,47,Lucas Glover,91,.535,.410,.288,-.162,83
49,48,Rod Pampling,83,.530,.300,-.020,.250,68
50,49,Rory Sabbatini,77,.524,.358,-.013,.178,63
51,58,Nick Watney,96,.518,.531,.133,-.146,84
52,52,Steve Stricker,75,.497,-.345,.377,.464,58
53,56,Retief Goosen,59,.476,-.162,.187,.450,42
54,57,Michael Letzig,88,.467,.599,-.257,.126,74
55,55,George McNeill,97,.463,.038,.434,-.010,90
56,T45,John Huston,56,.457,.394,.233,-.170,49
57,59,Charlie Wi,97,.456,.066,.141,.249,88
58,68,Michael Allen,91,.455,.286,.216,-.047,78
59,60,Ben Curtis,80,.440,.377,-.173,.236,63
60,54,Alex Cejka,75,.434,-.041,.677,-.202,60
61,71,Kevin Streelman,114,.427,.517,.106,-.196,97
62,61,Omar Uresti,74,.416,.037,-.007,.385,63
63,62,Jeff Gove,50,.413,.260,-.075,.228,44
64,53,John Riegger,73,.409,.351,.217,-.159,64
65,63,John Merrick,98,.399,.410,.040,-.052,77
66,64,K.J. Choi,74,.394,-.017,.158,.252,57
67,65,Brian Davis,108,.385,.147,.038,.200,102
68,66,Matt Kuchar,88,.379,-.198,.470,.106,70
69,67,Harrison Frazar,73,.368,.454,.097,-.184,62
70,72,Robert Garrigus,90,.359,.577,.174,-.392,86
71,69,Kevin Na,97,.356,-.114,.000,.470,91
72,81,Bob Estes,90,.352,-.126,.396,.082,86
73,T73,Brett Quigley,80,.324,-.228,.321,.231,73
74,70,Tom Pernice Jr.,104,.309,-.175,.305,.179,98
75,75,Bill Haas,99,.300,.218,.031,.051,90
76,T73,Nicholas Thompson,113,.295,.611,-.344,.028,96
