RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,1,Tiger Woods,55,2.982,.803,2.072,.107,37
2,2,Adam Scott,70,2.230,.955,1.115,.160,51
3,3,Jim Furyk,89,1.805,.475,1.085,.245,68
4,4,Phil Mickelson,74,1.688,.569,.983,.136,47
5,5,Vijay Singh,103,1.670,.447,.809,.414,84
6,6,Trevor Immelman,86,1.646,.544,.764,.337,73
7,8,Luke Donald,66,1.514,.074,.931,.509,43
8,7,Ernie Els,69,1.370,.344,.408,.619,47
9,9,Greg Owen,79,1.193,.636,.505,.053,62
10,10,Stuart Appleby,83,1.143,.330,.222,.591,64
11,12,Lucas Glover,105,1.125,.724,.510,-.109,86
12,11,Sergio Garcia,59,1.122,.383,.719,.020,39
13,13,Padraig Harrington,54,1.051,.233,.744,.074,38
14,25,Retief Goosen,68,1.016,.229,.574,.213,46
15,15,Ian Poulter,53,1.009,.456,.345,.207,42
16,18,Joe Durant,101,.991,.750,.486,-.244,96
17,16,Jason Bohn,104,.976,.262,.428,.285,89
18,19,Jonathan Byrd,66,.943,.543,.247,.153,54
19,20,John Senden,96,.938,.524,.387,.026,79
20,17,Arron Oberholser,82,.927,.095,.589,.243,62
21,21,Camilo Villegas,95,.922,.629,.249,.045,82
22,23,Kenny Perry,73,.918,.742,.412,-.236,60
23,22,David Toms,76,.911,.293,.453,.164,62
24,24,Robert Allenby,79,.903,.524,.481,-.103,60
25,14,Rory Sabbatini,84,.893,.258,.323,.313,64
26,27,Charles Warren,93,.884,.740,.353,-.209,81
27,28,Steve Stricker,64,.875,.006,.398,.472,52
28,29,Bubba Watson,83,.846,.807,.196,-.157,72
29,30,José María Olazábal,62,.837,-.122,.449,.510,39
30,32,Mike Weir,88,.799,.142,.422,.235,63
31,31,Brett Wetterich,82,.789,.801,.079,-.092,73
32,33,Zach Johnson,98,.761,.418,.254,.089,77
33,36,Justin Rose,98,.746,.052,.616,.078,86
34,37,Stephen Ames,63,.745,.060,.763,-.079,44
35,38,Vaughn Taylor,88,.692,-.039,.524,.208,77
36,39,Frank Lickliter II,99,.690,.140,.406,.143,85
37,40,Jeff Gove,91,.683,.255,.245,.183,81
38,41,Bo Van Pelt,102,.682,.437,.118,.127,90
39,42,Tom Lehman,70,.680,.306,.308,.065,47
40,44,Briny Baird,81,.668,.235,.580,-.147,70
41,46,J.J. Henry,96,.632,.223,.370,.039,77
42,34,K.J. Choi,93,.624,.253,.277,.094,79
T43,47,Fred Funk,106,.606,.159,.357,.090,85
T43,43,Brett Quigley,109,.606,.025,.372,.209,94
45,48,Brian Davis,92,.604,.291,.118,.195,81
46,26,Davis Love III,85,.586,.446,.488,-.347,57
47,49,Scott Verplank,88,.573,.069,.332,.171,68
48,50,Charley Hoffman,100,.566,.516,.097,-.047,89
49,35,Stewart Cink,93,.557,-.139,.759,-.063,73
T50,T52,Fred Couples,52,.551,.543,.080,-.072,32
T50,T52,Tim Clark,80,.551,-.164,.867,-.151,58
52,54,Alex Cejka,93,.542,.042,.434,.066,80
T53,T55,Charles Howell III,96,.541,.262,.165,.114,79
T53,T55,Shaun Micheel,96,.541,-.153,.637,.056,78
