RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,1,Vijay Singh,112,2.339,.870,1.116,.352,89
2,2,Sergio Garcia,65,1.908,.606,1.211,.091,50
3,3,Ernie Els,62,1.776,.622,.709,.445,41
4,4,Tiger Woods,78,1.529,.321,.873,.335,54
5,5,Phil Mickelson,83,1.411,.597,.597,.217,54
6,8,Justin Rose,77,1.296,.283,.882,.131,63
7,7,Scott Verplank,92,1.274,.319,.971,-.016,68
8,9,Jay Haas,84,1.233,-.134,.862,.506,61
9,6,Kenny Perry,79,1.226,.730,.512,-.017,62
10,15,Retief Goosen,56,1.197,.379,.604,.213,40
11,10,Tom Lehman,70,1.184,.392,.596,.196,58
12,11,Jeff Sluman,98,1.143,.199,.760,.184,82
13,12,John Huston,62,1.127,.205,.701,.221,45
14,17,David Toms,80,1.045,.102,.968,-.024,59
15,16,Fred Couples,54,1.036,.234,.370,.432,44
16,18,Scott Hoch,52,1.002,.237,.721,.045,46
17,19,Robert Allenby,93,1.000,.541,.675,-.215,72
18,13,Stewart Cink,103,.973,-.143,.724,.391,79
19,21,Rory Sabbatini,89,.961,.321,.322,.317,74
20,22,Joe Durant,85,.956,.692,.453,-.190,76
21,23,Jerry Kelly,113,.947,.081,.616,.250,88
22,14,Chris DiMarco,105,.942,.134,.508,.299,77
23,25,Davis Love III,85,.879,.491,.232,.156,61
24,26,Luke Donald,72,.878,.044,.563,.271,62
25,20,Stuart Appleby,84,.866,.538,.066,.263,59
26,24,Stephen Ames,97,.851,.218,.712,-.078,80
27,30,Bo Van Pelt,107,.800,.512,.194,.094,82
28,31,Lee Janzen,84,.785,-.167,.692,.260,70
29,27,Carlos Franco,99,.779,.130,.413,.236,90
30,32,Tim Clark,84,.775,.184,.691,-.099,71
31,33,Justin Leonard,90,.750,.035,.379,.336,65
32,34,Kirk Triplett,88,.733,.192,.292,.249,66
33,35,Chad Campbell,100,.711,.183,.660,-.132,77
34,28,John Daly,79,.708,.477,.042,.190,67
35,36,Bernhard Langer,59,.700,.029,.616,.055,42
36,37,Woody Austin,94,.687,.381,.350,-.045,83
37,40,Ben Curtis,56,.669,.171,.274,.223,41
38,41,Peter Lonard,68,.659,.365,.294,.001,54
39,42,Joey Sindelar,100,.634,.281,.679,-.327,89
40,43,Craig Barlow,80,.633,.383,.028,.222,69
41,39,Zach Johnson,109,.629,.567,.128,-.066,89
42,44,Tim Herron,84,.618,.225,.212,.182,66
43,45,Vaughn Taylor,84,.615,.207,.426,-.018,77
44,46,Duffy Waldorf,79,.611,.157,.568,-.114,59
45,47,Bart Bryant,73,.610,.226,.484,-.100,65
46,48,Ted Purdy,114,.609,.369,.322,-.081,103
47,29,Adam Scott,55,.603,.180,.571,-.147,40
48,49,Arron Oberholser,77,.575,.243,.232,.100,62
49,50,Dudley Hart,60,.571,.064,.557,-.051,46
50,38,Fred Funk,97,.566,.121,.456,-.011,83
51,52,Briny Baird,100,.549,.216,.374,-.041,81
52,53,Charles Howell III,104,.541,.428,.018,.095,76
53,51,Mike Weir,75,.511,-.029,.351,.190,55
54,54,Heath Slocum,92,.510,.130,.257,.123,83
55,56,Bob Estes,73,.469,-.273,.480,.262,51
56,57,J.J. Henry,103,.458,.574,-.045,-.071,91
57,58,John Senden,99,.439,.356,.177,-.094,86
58,59,Robert Damron,92,.436,.054,.356,.026,84
59,60,Robert Gamez,103,.433,.111,.378,-.056,90
60,61,Dennis Paulson,71,.428,.404,-.053,.077,66
61,62,Rod Pampling,98,.420,.183,.014,.223,78
62,63,Kevin Sutherland,86,.419,.241,-.137,.315,67
63,55,Shigeki Maruyama,93,.417,-.198,.493,.122,78
64,65,Alex Cejka,76,.394,.119,.255,.020,57
65,66,Geoff Ogilvy,91,.378,.305,.008,.064,76
66,64,K.J. Choi,83,.367,.009,.338,.020,63
67,68,Cameron Beckman,99,.366,.029,.364,-.026,87
68,69,Frank Lickliter II,89,.356,.328,.191,-.163,78
69,70,Kevin Na,100,.345,.090,.115,.140,86
70,71,Jason Bohn,98,.337,.369,.119,-.150,88
71,72,Notah Begay III,71,.329,.192,.060,.077,63
72,73,Tom Pernice Jr.,103,.323,.096,.222,.005,86
73,74,Billy Mayfair,109,.312,.242,-.060,.130,93
74,75,Pat Perez,102,.301,.329,.060,-.087,86
75,67,Steve Flesch,109,.296,-.066,.240,.121,82
76,76,Jesper Parnevik,86,.294,.270,-.209,.233,74
77,77,Jeff Maggert,60,.283,.157,.303,-.177,50
78,79,Mark Hensby,97,.282,.232,-.072,.122,82
79,78,Rich Beem,81,.277,.320,-.110,.067,61
80,80,Jonathan Kaye,79,.262,.278,.080,-.096,62
81,81,Tom Byrum,83,.261,-.043,.174,.130,72
82,82,Chris Riley,78,.255,-.235,.192,.297,53
83,83,Lucas Glover,95,.243,.564,.036,-.358,84
84,84,Mark Calcavecchia,79,.242,.212,.069,-.039,60
85,88,Darren Clarke,54,.240,.626,-.033,-.352,35
86,85,Nick Price,51,.238,-.301,.182,.357,36
87,86,Carl Pettersson,100,.237,.098,-.040,.179,79
88,87,Rocco Mediate,53,.228,.115,.242,-.130,36
T89,T89,José Coceres,68,.220,.113,.022,.085,61
T89,T89,Jason Dufner,79,.220,.083,-.087,.224,72
T91,T91,Glen Day,101,.212,.028,-.072,.256,88
T91,T91,Harrison Frazar,86,.212,.273,-.064,.002,71
93,93,Corey Pavin,83,.205,-.392,.063,.535,67
94,94,Neal Lancaster,106,.202,.118,.133,-.049,93
95,95,Brett Quigley,102,.196,.014,.058,.125,88
96,96,John Riegger,53,.189,.179,.231,-.221,49
97,97,David Peoples,82,.185,-.245,.225,.205,75
98,98,Loren Roberts,81,.183,-.351,.277,.257,68
T99,T99,Kent Jones,99,.179,.047,.247,-.116,87
