RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:OTT,MEASURED ROUNDS
1,1,Adam Scott,70,.955,48.704,51
2,3,Bubba Watson,83,.807,58.081,72
3,4,Tiger Woods,55,.803,29.709,37
4,2,Brett Wetterich,82,.801,58.506,73
5,5,J.B. Holmes,81,.758,47.763,63
6,6,Joe Durant,101,.750,71.990,96
7,7,Kenny Perry,73,.742,44.520,60
8,8,Charles Warren,93,.740,59.955,81
9,9,Lucas Glover,105,.724,62.298,86
10,10,Greg Owen,79,.636,39.417,62
11,11,Camilo Villegas,95,.629,51.589,82
12,12,Phil Mickelson,74,.569,26.737,47
13,13,Chris Smith,67,.556,32.819,59
14,20,Trevor Immelman,86,.544,39.740,73
T15,T14,Fred Couples,52,.543,17.368,32
T15,T14,Jonathan Byrd,66,.543,29.319,54
17,16,Chris Couch,75,.533,35.684,67
T18,T17,Robert Allenby,79,.524,31.456,60
T18,T17,John Senden,96,.524,41.431,79
20,19,Charley Hoffman,100,.516,45.931,89
21,22,Nicholas Thompson,96,.497,38.749,78
22,23,Jonathan Kaye,95,.478,41.098,86
23,21,Jim Furyk,89,.475,32.322,68
24,24,Jeff Overton,95,.466,40.501,87
25,26,Mathew Goggin,72,.457,26.530,58
26,27,Ian Poulter,53,.456,19.145,42
27,28,Mathias Grönberg,92,.449,35.464,79
28,29,Vijay Singh,103,.447,37.571,84
29,25,Davis Love III,85,.446,25.396,57
30,30,Bo Van Pelt,102,.437,39.339,90
31,31,Zach Johnson,98,.418,32.178,77
32,32,Nick Watney,97,.385,33.127,86
33,33,Sergio Garcia,59,.383,14.953,39
34,34,Harrison Frazar,95,.379,28.393,75
35,36,Rich Beem,85,.353,22.952,65
36,37,Matt Hansen,68,.352,20.405,58
37,38,Ernie Els,69,.344,16.176,47
38,39,Robert Garrigus,85,.334,24.679,74
T39,T40,Heath Slocum,96,.333,27.988,84
T39,T40,Scott Gutschewski,53,.333,14.984,45
41,35,Stuart Appleby,83,.330,21.124,64
42,43,Ryan Palmer,101,.318,26.041,82
43,T44,Ryan Moore,68,.313,18.153,58
44,46,Tom Lehman,70,.306,14.398,47
45,47,Steve Elkington,52,.302,13.891,46
46,48,Bart Bryant,87,.299,21.213,71
47,49,Hunter Mahan,98,.295,26.252,89
48,42,David Toms,76,.293,18.195,62
49,51,Brian Davis,92,.291,23.575,81
50,53,D.J. Trahan,92,.269,20.460,76
51,54,John Rollins,93,.264,20.037,76
T52,T55,Jason Bohn,104,.262,23.340,89
T52,T55,Charles Howell III,96,.262,20.683,79
54,57,Jesper Parnevik,84,.259,18.879,73
55,50,Rory Sabbatini,84,.258,16.499,64
56,58,Jeff Gove,91,.255,20.660,81
57,52,K.J. Choi,93,.253,19.969,79
58,60,Steve Lowery,99,.247,20.494,83
59,61,Henrik Bjornstad,97,.246,21.884,89
60,62,Duffy Waldorf,96,.242,19.808,82
61,63,Briny Baird,81,.235,16.474,70
62,64,Sean O'Hair,100,.234,17.820,76
63,65,Padraig Harrington,54,.233,8.835,38
64,66,Bubba Dickerson,98,.231,19.867,86
T65,68,Retief Goosen,68,.229,10.526,46
T65,67,Will MacKenzie,91,.229,17.178,75
67,59,J.J. Henry,96,.223,17.133,77
68,69,David Branshaw,98,.210,18.249,87
69,70,Kevin Sutherland,100,.203,17.625,87
70,71,Brandt Jobe,91,.200,13.975,70
71,72,John Daly,51,.196,8.018,41
72,73,Tommy Armour III,65,.195,10.354,53
73,74,Billy Mayfair,94,.192,14.755,77
74,75,Jason Gore,86,.191,13.757,72
75,76,David Howell,52,.185,5.553,30
76,77,Roger Tambellini,64,.163,8.663,53
77,78,Fred Funk,106,.159,13.552,85
78,79,Thomas Levet,53,.157,7.537,48
79,T81,Mike Weir,88,.142,8.941,63
80,83,Frank Lickliter II,99,.140,11.939,85
81,T81,Geoff Ogilvy,76,.137,7.103,52
82,84,Troy Matteson,101,.135,11.896,88
T83,T85,Omar Uresti,61,.131,6.705,51
T83,T85,Eric Axley,91,.131,10.359,79
85,88,Ted Purdy,103,.119,9.558,80
T86,89,Tim Herron,82,.115,7.124,62
T86,93,Carl Pettersson,95,.115,8.617,75
88,90,Skip Kendall,72,.110,6.487,59
89,92,Jeff Maggert,81,.108,7.355,68
T90,91,Arron Oberholser,82,.095,5.919,62
T90,94,Peter Lonard,77,.095,6.272,66
T92,T96,Jeff Brehaut,100,.074,6.305,85
T92,87,Luke Donald,66,.074,3.184,43
94,98,Kris Cox,83,.070,5.010,72
T95,T99,Scott Verplank,88,.069,4.722,68
T95,T99,Daisuke Maruyama,83,.069,4.829,70
97,95,Tom Pernice Jr.,108,.068,5.918,87
98,101,Stephen Ames,63,.060,2.660,44
99,102,Bill Haas,99,.054,4.716,88
100,103,Justin Rose,98,.052,4.462,86
101,T96,Rod Pampling,89,.046,2.962,65
102,104,Alex Cejka,93,.042,3.321,80
103,105,Brent Geiberger,99,.039,3.519,90
104,106,Bob May,65,.033,1.781,54
105,107,Daniel Chopra,110,.032,2.923,90
106,108,Kent Jones,103,.026,2.306,88
107,109,Brett Quigley,109,.025,2.373,94
108,110,Joe Ogilvie,95,.014,1.105,78
109,111,Steve Stricker,64,.006,.306,52
110,112,Paul Stankowski,70,.001,.041,63
111,113,Robert Gamez,94,-.001,-.072,82
112,114,Jerry Kelly,100,-.012,-1.049,84
113,115,Brian Bateman,69,-.013,-.750,59
114,116,Patrick Sheehan,104,-.014,-1.182,87
115,117,Tjaart van der Walt,60,-.016,-.849,52
116,118,Olin Browne,108,-.020,-1.704,86
117,119,Joey Sindelar,90,-.022,-1.698,76
118,120,Richard Johnson,94,-.024,-2.042,85
