RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:OTT,MEASURED ROUNDS
97,100,Mackenzie Hughes,106,.021,1.988,96
98,101,Ryan Armour,63,.020,.981,49
99,102,Charles Howell III,86,.016,1.060,68
100,89,Brian Harman,104,.015,1.305,86
101,103,Shawn Stefani,72,.010,.611,60
102,88,Adam Hadwin,98,.003,.273,79
T103,T104,Retief Goosen,52,-.001,-.042,41
T103,T104,Vaughn Taylor,90,-.001,-.052,76
105,T106,Zach Johnson,81,-.005,-.316,68
106,108,Ryan Moore,82,-.006,-.407,65
T107,T109,Stewart Cink,93,-.019,-1.507,81
T107,T109,Cameron Percy,71,-.019,-1.067,55
109,111,Alex Cejka,85,-.020,-1.215,62
T110,T112,Charl Schwartzel,63,-.023,-1.088,48
T110,T112,Kyle Reifers,96,-.023,-1.727,74
112,114,Martin Flores,88,-.024,-1.577,67
113,115,David Lingmerth,79,-.032,-2.198,69
114,116,Julián Etulain,68,-.035,-1.781,51
115,T106,Webb Simpson,102,-.036,-3.045,84
116,117,Patrick Rodgers,76,-.044,-2.918,66
117,118,Bill Haas,92,-.047,-3.369,72
118,119,John Huh,92,-.049,-3.706,76
119,120,Daniel Summerhays,100,-.050,-4.107,82
120,121,Phil Mickelson,85,-.058,-3.999,69
121,122,Nick Watney,75,-.063,-4.030,64
122,123,Geoff Ogilvy,80,-.064,-4.281,67
T123,T124,Seamus Power,86,-.067,-4.550,68
T123,T124,Tyrone Van Aswegen,105,-.067,-5.333,80
125,126,Johnson Wagner,71,-.081,-4.597,57
126,127,Chris Stroud,67,-.094,-4.493,48
127,129,Andres Gonzales,73,-.104,-5.926,57
128,131,Rod Pampling,71,-.110,-7.256,66
129,132,Troy Merritt,82,-.118,-8.253,70
130,133,Cameron Smith,86,-.130,-9.207,71
T131,T134,Brett Stegmaier,78,-.141,-8.178,58
T131,T134,K.J. Choi,72,-.141,-7.622,54
133,128,Pat Perez,93,-.147,-10.719,73
134,137,Mark Anderson,54,-.149,-6.279,42
135,138,Ben Crane,86,-.150,-10.345,69
136,139,Zac Blair,105,-.155,-12.555,81
137,140,Robert Streb,98,-.159,-13.331,84
138,141,Spencer Levin,89,-.161,-10.806,67
139,142,Ian Poulter,72,-.162,-8.934,55
140,143,David Hearn,93,-.175,-12.396,71
141,144,Ken Duke,77,-.179,-10.729,60
142,145,Ryan Blaum,100,-.198,-16.233,82
143,146,Kelly Kraft,75,-.205,-13.333,65
144,147,Brett Drewitt,57,-.209,-9.004,43
145,148,Rafa Cabrera Bello,63,-.223,-10.249,46
146,149,Si Woo Kim,80,-.236,-14.160,60
147,150,Roberto Castro,70,-.244,-13.181,54
148,151,Michael Kim,94,-.247,-20.726,84
149,152,Jimmy Walker,68,-.258,-12.876,50
150,153,Peter Malnati,91,-.262,-19.104,73
T151,T154,Tim Wilkinson,64,-.289,-13.314,46
T151,T154,Steven Alker,69,-.289,-14.722,51
153,156,Jonas Blixt,74,-.300,-17.720,59
154,157,Brandt Snedeker,53,-.311,-13.082,42
155,158,Chris Kirk,89,-.315,-22.060,70
156,159,Cody Gribble,79,-.338,-23.653,70
157,160,Brian Stuard,93,-.340,-23.444,69
158,161,Andrew Loupe,55,-.348,-16.333,47
159,162,Tom Hoge,54,-.352,-13.724,39
160,163,Gonzalo Fernandez-Castaño,63,-.375,-16.495,44
161,164,Kevin Na,86,-.406,-26.775,66
162,165,Brian Gay,82,-.417,-28.747,69
163,166,Søren Kjeldsen,58,-.424,-14.409,34
164,167,Michael Thompson,60,-.431,-18.982,44
165,168,Brad Fritsch,56,-.432,-18.162,42
166,169,D.A. Points,68,-.436,-25.290,58
167,170,Derek Fathauer,81,-.456,-29.178,64
168,171,Jim Furyk,54,-.491,-21.611,44
169,172,Greg Chalmers,75,-.496,-33.743,68
170,173,Camilo Villegas,76,-.524,-32.491,62
171,174,Mark Hubbard,81,-.539,-32.887,61
172,175,Seung-Yul Noh,91,-.541,-40.560,75
173,176,Ernie Els,52,-.565,-20.916,37
174,178,Chad Collins,66,-.573,-30.964,54
175,179,Ryo Ishikawa,56,-.580,-24.923,43
176,180,Ricky Barnes,100,-.638,-49.131,77
177,181,Harris English,84,-.644,-46.340,72
178,182,Whee Kim,74,-.665,-41.255,62
179,183,Jason Bohn,75,-.685,-42.461,62
180,184,Nicholas Lindheim,58,-.733,-32.244,44
181,185,Matt Every,76,-.734,-44.771,61
182,186,Patton Kizzire,84,-.744,-53.580,72
183,187,Cameron Tringale,89,-.750,-48.738,65
184,188,Aaron Baddeley,61,-.782,-35.950,46
185,189,Billy Hurley III,80,-.812,-56.054,69
186,190,Wesley Bryan,95,-.899,-69.244,77
187,191,Luke Donald,50,-1.001,-43.034,43
188,192,Bryce Molder,74,-1.098,-70.297,64
189,193,Carl Pettersson,63,-1.123,-58.398,52
190,194,Steven Bowditch,59,-1.717,-77.258,45
