RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:OTT,MEASURED ROUNDS
1,1,Dustin Johnson,77,1.071,63.182,59
2,2,Rory McIlroy,51,.965,34.731,36
3,3,Jon Rahm,90,.949,62.665,66
4,4,Tony Finau,106,.826,75.128,91
5,5,Sergio Garcia,65,.795,36.589,46
6,6,Rick Lamb,54,.686,26.070,38
7,7,Kyle Stanley,104,.659,61.980,94
8,8,Bubba Watson,71,.647,34.297,53
9,10,Boo Weekley,75,.634,38.652,61
10,11,Keegan Bradley,104,.625,56.885,91
11,9,Patrick Cantlay,52,.623,28.675,46
12,13,Jason Kokrak,95,.607,50.342,83
13,14,Luke List,102,.600,51.629,86
14,12,Charley Hoffman,112,.586,54.498,93
15,16,Shane Lowry,52,.582,22.129,38
16,17,Justin Rose,66,.559,29.643,53
17,23,Xander Schauffele,96,.554,41.005,74
18,18,Brooks Koepka,88,.546,36.588,67
T19,T19,Ryan Palmer,61,.533,26.121,49
T19,T19,J.B. Holmes,83,.533,32.516,61
T21,T21,Adam Scott,58,.524,22.005,42
T21,T21,Byeong Hun An,77,.524,29.877,57
23,15,Hideki Matsuyama,83,.508,29.955,59
24,24,Lucas Glover,93,.502,43.209,86
25,25,Graham DeLaet,82,.486,34.531,71
26,26,Francesco Molinari,75,.483,28.488,59
27,29,Brandon Hagy,85,.459,31.681,69
28,31,Hudson Swafford,94,.454,34.478,76
29,33,Justin Thomas,86,.452,29.390,65
30,27,Kevin Chappell,95,.442,31.790,72
31,28,Gary Woodland,94,.431,29.302,68
32,34,Trey Mullinax,88,.427,29.890,70
T33,T35,Jim Herman,77,.422,27.868,66
T33,T35,Robert Garrigus,78,.422,25.329,60
35,37,Bryson DeChambeau,91,.420,30.628,73
36,32,Jhonattan Vegas,95,.394,27.995,71
37,38,Brendan Steele,89,.387,27.470,71
38,30,Rickie Fowler,78,.378,23.804,63
39,39,Hunter Mahan,73,.376,22.173,59
40,40,Emiliano Grillo,90,.368,24.272,66
41,42,Grayson Murray,94,.353,30.033,85
42,45,Paul Casey,94,.349,24.766,71
43,43,Sam Saunders,76,.348,21.216,61
44,48,Jordan Spieth,85,.321,21.821,68
T45,47,Jamie Lovemark,98,.319,25.507,80
T45,41,Marc Leishman,94,.319,23.308,73
47,49,J.J. Spaun,92,.316,22.777,72
48,44,Jason Day,71,.311,17.114,55
49,46,Russell Henley,99,.310,26.625,86
50,50,Rory Sabbatini,71,.308,16.309,53
51,51,Louis Oosthuizen,69,.301,15.331,51
52,T52,Tag Ridings,67,.295,14.728,50
53,54,Kevin Streelman,90,.292,22.769,78
54,55,Kevin Tway,96,.288,21.279,74
55,T62,Daniel Berger,91,.282,19.429,69
56,T52,Jason Dufner,89,.268,19.282,72
57,57,Bud Cauley,92,.264,21.681,82
58,58,Harold Varner III,101,.262,22.518,86
59,59,Steve Wheatcroft,51,.259,10.348,40
T60,60,William McGirt,89,.257,18.507,72
T60,56,Kevin Kisner,105,.257,19.786,77
62,61,Sung Kang,104,.255,20.949,82
63,T62,Sean O'Hair,84,.252,17.612,70
64,64,Martin Laird,83,.235,16.910,72
65,65,Anirban Lahiri,72,.234,13.794,59
66,66,Billy Horschel,88,.224,17.949,80
67,68,J.J. Henry,92,.208,15.582,75
68,69,Richy Werenski,81,.203,12.408,61
69,67,Patrick Reed,107,.199,16.682,84
70,70,Scott Piercy,70,.190,9.317,49
71,71,Branden Grace,70,.180,8.445,47
72,72,James Hahn,96,.177,14.314,81
73,73,Nick Taylor,97,.168,13.938,83
74,74,Morgan Hoffmann,92,.165,13.551,82
75,75,Matt Kuchar,95,.158,12.155,77
76,76,J.T. Poston,95,.156,11.373,73
77,77,Scott Brown,95,.143,11.128,78
78,78,Miguel Angel Carballo,63,.139,5.972,43
79,79,Ben Martin,86,.138,9.656,70
80,80,Ryan Brehm,83,.137,8.890,65
81,81,Ollie Schniederjans,92,.125,10.147,81
82,82,Chez Reavie,98,.121,10.056,83
83,83,Russell Knox,75,.102,5.533,54
84,84,Smylie Kaufman,76,.091,5.759,63
85,85,Graeme McDowell,56,.085,4.256,50
86,86,Matt Jones,64,.073,3.743,51
87,87,Brian Campbell,55,.063,2.593,41
88,90,C.T. Pan,88,.052,3.981,76
89,91,Dominic Bozzelli,69,.051,2.792,55
90,92,Scott Stallings,81,.049,3.301,68
T91,T93,Chad Campbell,97,.041,3.488,85
T91,T93,Blayne Barber,77,.041,2.731,67
93,95,Danny Lee,93,.037,2.819,76
94,96,Sebastián Muñoz,51,.031,1.227,39
95,97,Jonathan Randolph,68,.030,1.524,51
96,99,Fabián Gómez,61,.022,1.100,51
