RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:OTT,MEASURED ROUNDS
1,1,J.B. Holmes,86,.866,59.731,69
2,2,Vijay Singh,82,.819,51.571,63
3,3,Boo Weekley,86,.715,45.744,64
4,4,Charles Warren,79,.683,50.534,74
5,5,Nicholas Thompson,113,.611,58.634,96
6,6,Michael Letzig,88,.599,44.292,74
7,7,Joe Durant,92,.582,45.977,79
8,10,Robert Garrigus,90,.577,49.587,86
9,8,Anthony Kim,81,.549,35.694,65
10,9,Bubba Watson,97,.538,43.053,80
11,11,Robert Allenby,108,.534,45.947,86
12,14,Nick Watney,96,.531,44.616,84
13,15,Kevin Streelman,114,.517,50.160,97
14,12,Kenny Perry,97,.514,47.244,92
15,13,Mathew Goggin,91,.509,41.708,82
16,16,Sergio Garcia,72,.503,28.193,56
17,19,Jason Gore,94,.482,40.943,85
18,17,Adam Scott,51,.475,16.611,35
19,20,Charley Hoffman,94,.464,39.911,86
20,23,Steve Marino,119,.461,47.901,104
21,25,Harrison Frazar,73,.454,28.146,62
T22,24,Davis Love III,78,.448,29.116,65
T22,22,Sean O'Hair,81,.448,30.493,68
24,21,John Rollins,94,.440,34.760,79
25,18,Dustin Johnson,92,.435,35.249,81
T26,T26,John Merrick,98,.410,31.585,77
T26,T26,Lucas Glover,91,.410,33.993,83
28,28,Phil Mickelson,80,.402,23.712,59
29,29,John Huston,56,.394,19.290,49
30,31,John Senden,93,.385,31.529,82
31,32,Ben Curtis,80,.377,23.778,63
32,33,D.J. Trahan,94,.374,29.136,78
33,34,Paul Casey,55,.372,13.399,36
34,35,Hunter Mahan,87,.360,25.890,72
35,36,Rory Sabbatini,77,.358,22.578,63
36,30,John Riegger,73,.351,22.478,64
37,37,Fred Couples,60,.347,17.690,51
38,38,Geoff Ogilvy,65,.328,16.056,49
39,39,Pat Perez,93,.318,25.120,79
40,40,Bart Bryant,81,.316,21.159,67
41,T42,Billy Mayfair,103,.308,29.277,95
42,44,Heath Slocum,104,.306,26.278,86
43,45,Rod Pampling,83,.300,20.433,68
44,T42,Woody Austin,109,.299,26.325,88
45,T46,Steve Elkington,84,.297,21.674,73
T46,41,Rich Beem,90,.296,23.375,79
T46,T46,Camilo Villegas,79,.296,18.644,63
T48,49,Kevin Stadler,90,.293,21.379,73
T48,48,Mathias Grönberg,87,.293,23.161,79
50,50,Michael Allen,91,.286,22.336,78
51,56,Jason Day,81,.285,21.951,77
52,51,Padraig Harrington,52,.279,8.916,32
53,52,Scott Verplank,82,.266,17.266,65
54,53,Justin Leonard,101,.265,19.379,73
T55,T54,Jim Furyk,95,.260,19.532,75
T55,T54,Jeff Gove,50,.260,11.445,44
57,57,Mark Calcavecchia,67,.247,13.315,54
58,58,Ryan Armour,87,.228,17.352,76
59,61,Bill Haas,99,.218,19.589,90
60,59,Peter Lonard,92,.212,16.954,80
61,62,Briny Baird,113,.208,19.964,96
62,60,Will MacKenzie,62,.192,10.929,57
63,64,Steve Allan,58,.191,9.174,48
64,68,Bo Van Pelt,101,.187,17.371,93
65,65,Joe Ogilvie,100,.186,16.179,87
66,66,Todd Hamilton,92,.182,13.473,74
67,77,Jeff Overton,103,.178,16.194,91
68,69,Troy Matteson,94,.174,15.513,89
69,67,Ben Crane,86,.171,12.805,75
70,74,Martin Laird,98,.165,13.990,85
71,73,Zach Johnson,85,.161,11.415,71
72,70,Nick Flanagan,89,.152,12.163,80
73,T75,Brian Davis,108,.147,14.992,102
74,99,Tommy Gainey,60,.146,6.727,46
75,80,Kenneth Ferrie,72,.145,8.705,60
T76,72,Steve Lowery,74,.142,9.510,67
T76,63,Jay Williamson,96,.142,11.381,80
78,78,Kevin Sutherland,98,.137,12.071,88
79,86,Chris Stroud,81,.132,8.733,66
80,84,Charles Howell III,101,.130,11.285,87
81,71,Ryan Palmer,69,.122,7.307,60
82,T82,J.J. Henry,108,.121,11.972,99
83,T82,Todd Demsey,80,.119,8.467,71
84,85,David Toms,70,.113,6.329,56
85,92,Tag Ridings,88,.106,8.548,81
86,87,Tim Herron,97,.104,9.034,87
87,T75,Ted Purdy,68,.102,6.041,59
88,88,Ernie Els,51,.101,3.652,36
T89,81,Robert Gamez,79,.096,6.793,71
T89,89,Aaron Baddeley,76,.096,5.788,60
91,94,Tim Petrovic,97,.094,7.627,81
92,79,Jeff Maggert,86,.092,7.237,79
93,91,Jonathan Byrd,88,.089,6.823,77
94,93,Olin Browne,77,.081,5.653,70
95,95,John Mallinger,95,.075,6.263,84
96,96,Ryan Moore,72,.074,4.649,63
97,97,Chad Campbell,94,.068,5.774,85
98,98,Charlie Wi,97,.066,5.764,88
99,100,Brandt Jobe,52,.062,2.913,47
100,101,Andres Romero,69,.061,2.986,49
101,103,Mark Wilson,107,.050,5.249,104
102,104,Ángel Cabrera,55,.048,1.873,39
103,102,Stewart Cink,87,.045,2.895,64
104,T105,George McNeill,97,.038,3.438,90
105,T105,Omar Uresti,74,.037,2.352,63
106,90,Tommy Armour III,77,.029,1.925,66
107,107,Frank Lickliter II,107,.015,1.499,100
108,108,Chez Reavie,102,.003,.260,90
109,111,Ken Duke,116,-.012,-1.209,105
110,109,K.J. Choi,74,-.017,-.949,57
111,110,Stuart Appleby,87,-.024,-1.590,67
112,112,Alex Cejka,75,-.041,-2.454,60
T113,114,Mike Weir,88,-.052,-3.411,66
T113,119,Carl Pettersson,110,-.052,-5.015,97
115,115,Ian Poulter,51,-.056,-2.019,36
116,116,Trevor Immelman,70,-.061,-3.267,54
117,117,Rocco Mediate,87,-.063,-4.319,69
118,118,Tom Lehman,51,-.065,-2.483,38
119,T122,Scott Sterling,89,-.072,-5.336,74
120,121,Scott McCarron,63,-.073,-3.915,54
121,T122,Kent Jones,68,-.079,-4.318,55
122,120,Brad Adamonis,87,-.082,-6.254,76
123,125,Stephen Ames,83,-.085,-5.609,66
124,113,Bob Tway,70,-.087,-4.946,57
125,127,Nick O'Hern,82,-.102,-7.233,71
126,126,Jon Mills,95,-.109,-8.520,78
127,130,Jesper Parnevik,88,-.110,-8.216,75
128,129,Kevin Na,97,-.114,-10.399,91
T129,131,Tim Wilkinson,95,-.120,-9.615,80
T129,132,Vaughn Taylor,103,-.120,-11.316,94
131,128,J.P. Hayes,67,-.122,-7.659,63
132,134,Bob Estes,90,-.126,-10.838,86
133,T135,Jerry Kelly,89,-.128,-9.454,74
134,133,Tim Clark,90,-.141,-10.268,73
135,T135,Daniel Chopra,84,-.148,-10.237,69
136,138,Glen Day,64,-.156,-8.747,56
137,137,Matt Jones,95,-.157,-13.189,84
T138,T140,Cameron Beckman,87,-.162,-12.001,74
T138,139,Retief Goosen,59,-.162,-6.818,42
140,T140,Y.E. Yang,89,-.170,-13.566,80
141,144,Tom Pernice Jr.,104,-.175,-17.112,98
142,143,Cliff Kresge,84,-.177,-12.917,73
143,142,Parker McLachlin,88,-.180,-14.201,79
144,145,Justin Bolli,87,-.181,-13.207,73
145,T147,Shane Bertsch,96,-.197,-17.768,90
146,T147,Matt Kuchar,88,-.198,-13.838,70
147,150,Johnson Wagner,83,-.203,-13.787,68
148,146,Greg Kraft,63,-.207,-10.344,50
149,152,Ron Whittaker,54,-.208,-8.522,41
T150,149,Brad Elder,67,-.216,-11.688,54
T150,155,Travis Perkins,53,-.216,-8.622,40
152,151,Cody Freeman,66,-.220,-12.096,55
153,153,Patrick Sheehan,124,-.226,-23.694,105
154,154,Freddie Jacobson,78,-.227,-14.528,64
155,156,Brett Quigley,80,-.228,-16.672,73
156,T162,David Lutterus,59,-.249,-12.469,50
157,157,Kyle Thompson,70,-.259,-14.737,57
158,159,Richard Johnson,77,-.260,-17.654,68
159,160,Doug LaBelle II,65,-.261,-13.314,51
160,161,Marc Turnesa,87,-.264,-20.063,76
161,158,Steve Flesch,95,-.269,-21.786,81
162,164,Brandt Snedeker,85,-.280,-18.777,67
163,165,Paul Goydos,78,-.283,-18.966,67
164,166,Jason Allred,63,-.286,-14.307,50
165,T162,Brenden Pappas,66,-.291,-16.303,56
166,167,James Driscoll,85,-.316,-24.022,76
167,168,Chris DiMarco,87,-.344,-26.146,76
168,T169,Steve Stricker,75,-.345,-20.007,58
169,T169,Carlos Franco,73,-.362,-22.832,63
170,T172,Mark Hensby,71,-.373,-23.851,64
171,T172,Billy Andrade,71,-.381,-23.618,62
172,176,Richard Johnson,60,-.392,-19.231,49
173,179,Bob Sowards,61,-.394,-20.463,52
174,177,Ryuji Imada,80,-.406,-27.635,68
175,175,Jimmy Walker,73,-.411,-25.507,62
176,174,Alejandro Cañizares,52,-.413,-16.912,41
177,178,Nathan Green,95,-.423,-38.522,91
178,181,Dudley Hart,74,-.456,-30.530,67
179,180,Paul Claxton,63,-.466,-23.316,50
180,183,Marco Dawson,64,-.478,-25.835,54
181,184,Stephen Leaney,53,-.484,-21.775,45
182,185,Tom Scherrer,56,-.485,-21.355,44
183,182,Craig Kanada,65,-.497,-27.347,55
184,186,Gavin Coles,54,-.510,-22.445,44
185,187,Brian Gay,102,-.529,-45.520,86
186,188,Jin Park,85,-.533,-37.341,70
187,189,Lee Janzen,89,-.591,-44.329,75
188,190,Chris Riley,51,-.671,-26.841,40
