RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:OTT,MEASURED ROUNDS
1,1,Bubba Watson,68,1.485,75.741,51
2,2,Rory McIlroy,60,1.072,42.860,40
T3,T4,Robert Garrigus,89,.797,58.998,74
T3,T4,Charlie Beljan,61,.797,34.259,43
5,3,Kyle Stanley,86,.786,54.985,70
6,6,Dustin Johnson,70,.720,38.176,53
7,8,Keegan Bradley,90,.680,48.285,71
8,7,Boo Weekley,74,.668,38.763,58
9,10,Lee Westwood,60,.628,25.137,40
10,9,John Rollins,81,.627,44.522,71
11,11,Adam Scott,59,.605,24.786,41
12,12,J.B. Holmes,90,.585,45.664,78
13,13,Josh Teater,97,.570,47.287,83
T14,T14,Jason Dufner,83,.553,35.384,64
T14,T14,Tiger Woods,69,.553,26.521,48
16,T14,Billy Horschel,63,.546,26.227,48
17,17,Will Claxton,99,.524,45.055,86
18,18,John Senden,81,.503,31.197,62
19,19,Graham DeLaet,79,.500,35.465,71
20,20,Louis Oosthuizen,65,.496,24.291,49
21,21,Graeme McDowell,55,.490,18.636,38
22,25,Ryan Palmer,81,.485,34.446,71
23,22,Scott Piercy,95,.476,40.905,86
24,23,Bill Haas,79,.472,28.790,61
25,24,Rickie Fowler,84,.458,30.216,66
26,26,Bo Van Pelt,84,.450,29.258,65
27,27,Vijay Singh,99,.435,35.270,81
28,28,Jeff Overton,101,.434,39.940,92
29,29,Hunter Mahan,88,.400,25.582,64
30,37,Scott Stallings,78,.393,26.707,68
31,30,John Huh,99,.391,33.219,85
32,31,Chris Couch,61,.377,20.378,54
33,32,Martin Laird,77,.374,20.210,54
34,34,Charl Schwartzel,56,.356,14.227,40
T35,T35,Justin Rose,69,.355,18.813,53
T35,T35,Seung-Yul Noh,105,.355,30.167,85
37,38,Kevin Stadler,85,.351,24.572,70
38,39,Sergio Garcia,57,.346,15.215,44
39,,Henrik Stenson,51,.343,14.402,42
40,33,Brian Harman,101,.337,29.631,88
41,42,Greg Owen,90,.336,25.836,77
42,40,Charley Hoffman,88,.334,25.388,76
43,41,Bobby Gates,87,.331,25.168,76
44,48,Gary Woodland,70,.320,16.972,53
45,49,Jeff Maggert,83,.287,22.381,78
46,43,Harris English,98,.286,24.844,87
47,44,Tim Clark,60,.285,14.250,50
T48,T46,John Daly,50,.272,10.343,38
T48,T46,Ernie Els,80,.272,17.687,65
50,56,Sean O'Hair,84,.255,19.416,76
51,50,Heath Slocum,93,.248,18.631,75
52,51,Rory Sabbatini,84,.247,17.806,72
