RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:OTT,MEASURED ROUNDS
132,133,Ben Curtis,78,-.159,-10.490,66
133,134,Geoff Ogilvy,62,-.165,-8.240,50
T134,139,Lee Janzen,77,-.177,-12.383,70
T134,130,Mark Calcavecchia,50,-.177,-5.853,33
T134,135,Troy Merritt,86,-.177,-13.616,77
137,138,Carl Pettersson,99,-.180,-14.931,83
138,T128,Justin Leonard,89,-.184,-13.258,72
139,137,James Nitties,92,-.188,-15.205,81
140,,Cliff Kresge,50,-.191,-8.582,45
141,142,Mark Wilson,87,-.196,-15.515,79
142,T148,Derek Lamely,81,-.199,-12.706,64
143,146,Briny Baird,87,-.200,-15.815,79
144,141,Brian Stuard,81,-.204,-14.510,71
145,140,Tom Pernice Jr.,74,-.212,-12.312,58
146,T148,Martin Flores,75,-.223,-14.247,64
147,145,Cameron Beckman,68,-.228,-13.475,59
148,143,Tim Herron,79,-.233,-16.044,69
149,147,Stuart Appleby,101,-.236,-20.741,88
T150,144,Chris DiMarco,88,-.244,-19.022,78
T150,150,Ricky Barnes,103,-.244,-20.219,83
152,151,Kevin Na,94,-.247,-18.734,76
153,152,Craig Bowden,56,-.253,-12.126,48
154,153,Paul Goydos,78,-.257,-16.984,66
155,T154,Bill Lunde,79,-.265,-17.775,67
156,T154,Michael Connell,89,-.284,-21.861,77
157,T157,Charlie Wi,95,-.286,-25.492,89
158,156,Brandt Snedeker,89,-.287,-21.536,75
159,T157,Ryuji Imada,90,-.298,-25.011,84
160,160,Daniel Chopra,74,-.307,-20.563,67
161,159,Webb Simpson,98,-.308,-28.353,92
162,161,Bob Estes,79,-.330,-23.412,71
163,166,Dean Wilson,54,-.341,-16.014,47
T164,T162,Jerod Turner,54,-.351,-14.032,40
T164,T162,Michael Sim,64,-.351,-18.611,53
166,165,David Duval,71,-.354,-19.841,56
167,T162,Johnson Wagner,85,-.356,-26.312,74
168,167,David Lutterus,69,-.368,-20.631,56
169,172,Steve Flesch,78,-.386,-25.118,65
170,168,Richard Johnson,90,-.388,-28.357,73
171,169,Jeff Quinney,91,-.402,-32.142,80
172,170,Bryce Molder,84,-.406,-29.673,73
173,171,Brett Quigley,96,-.422,-37.167,88
174,T173,Brent Delahoussaye,57,-.467,-21.926,47
175,T173,Justin Bolli,55,-.475,-19.957,42
176,176,Skip Kendall,58,-.486,-23.794,49
177,175,George McNeill,79,-.488,-34.182,70
178,177,Trevor Immelman,55,-.501,-21.543,43
179,178,Luke Donald,71,-.506,-26.826,53
180,179,Jimmy Walker,82,-.538,-37.637,70
181,180,Greg Chalmers,93,-.555,-48.282,87
182,181,Nathan Green,86,-.566,-45.873,81
183,183,Brenden Pappas,66,-.593,-32.615,55
184,182,Brian Gay,101,-.597,-48.933,82
185,184,Chad Collins,87,-.660,-49.477,75
186,185,Michael Bradley,77,-.676,-45.966,68
187,186,Kevin Johnson,62,-.822,-40.292,49
188,187,Greg Kraft,52,-.876,-34.164,39
189,188,Rich Barcelo,70,-1.027,-59.549,58
190,189,Vance Veazey,58,-1.117,-53.593,48
191,190,Mike Weir,59,-1.246,-49.822,40
192,191,Brad Faxon,58,-1.343,-64.486,48
