RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:OTT,MEASURED ROUNDS
1,1,Rory McIlroy,69,1.230,59.044,48
2,2,Dustin Johnson,87,1.117,70.347,63
3,3,Bubba Watson,72,.983,50.136,51
4,4,Sergio Garcia,54,.737,22.858,31
5,6,Gary Woodland,95,.695,54.183,78
6,7,Justin Rose,65,.678,33.234,49
7,5,J.B. Holmes,77,.663,40.423,61
8,9,Ryan Palmer,86,.625,48.747,78
9,10,Jamie Lovemark,91,.609,50.555,83
10,11,Scott Piercy,87,.608,39.548,65
T11,T12,Jason Kokrak,89,.594,44.518,75
T11,T12,Andrew Landry,53,.594,19.590,33
13,8,Jhonattan Vegas,97,.589,47.730,81
14,16,Boo Weekley,83,.571,40.568,71
15,17,Lucas Glover,75,.565,37.881,67
16,18,Scott Brown,88,.545,38.171,70
17,19,Brooks Koepka,75,.542,32.498,60
18,20,Rickie Fowler,80,.529,33.873,64
19,14,Hideki Matsuyama,76,.527,30.546,58
20,15,Adam Scott,79,.522,29.208,56
21,22,Scott Pinckney,87,.511,36.256,71
22,23,Hudson Swafford,104,.497,45.744,92
23,21,Paul Casey,77,.494,28.177,57
24,24,Harold Varner III,92,.472,37.737,80
25,26,Emiliano Grillo,93,.446,32.590,73
26,25,Graham DeLaet,70,.444,26.220,59
27,27,Thomas Aiken,70,.438,21.042,48
28,28,Luke List,79,.427,27.776,65
29,29,Jordan Spieth,80,.402,23.299,58
30,31,Louis Oosthuizen,63,.387,16.262,42
31,32,Charley Hoffman,91,.384,27.272,71
32,30,William McGirt,98,.370,32.600,88
33,34,Tony Finau,95,.365,28.449,78
T34,35,Jim Herman,93,.364,25.877,71
T34,37,Matt Kuchar,100,.364,28.057,77
36,38,Patrick Rodgers,89,.356,25.282,71
37,39,Robert Garrigus,69,.350,19.233,55
38,33,Kevin Kisner,97,.348,25.418,73
39,42,Brendan Steele,88,.331,22.815,69
40,40,Daniel Berger,92,.329,23.654,72
41,43,Branden Grace,63,.326,13.679,42
42,41,Sean O'Hair,89,.325,27.328,84
43,44,John Senden,88,.318,25.085,79
44,49,Kevin Chappell,93,.317,24.744,78
45,45,Keegan Bradley,82,.305,19.234,63
46,36,Charl Schwartzel,73,.304,16.999,56
47,46,Shane Lowry,57,.296,10.970,37
48,53,Jason Dufner,105,.290,22.923,79
49,48,Kevin Streelman,82,.289,18.490,64
50,50,Brian Harman,104,.270,24.842,92
51,51,Russell Henley,76,.269,18.541,69
52,54,Chez Reavie,90,.262,19.934,76
53,47,Si Woo Kim,113,.257,25.472,99
54,55,Whee Kim,82,.252,16.391,65
55,56,Adam Hadwin,93,.223,19.628,88
56,57,Rod Pampling,54,.222,8.227,37
57,52,Roberto Castro,97,.217,19.095,88
58,58,Steve Marino,72,.210,11.768,56
59,59,Billy Horschel,73,.201,11.464,57
60,62,David Lingmerth,84,.193,11.608,60
61,63,Francesco Molinari,64,.192,10.923,57
62,64,Jason Day,76,.186,10.050,54
63,61,Patrick Reed,105,.183,14.243,78
64,65,Greg Owen,85,.177,12.183,69
65,67,Marc Leishman,89,.159,10.344,65
66,68,Derek Ernst,59,.152,6.529,43
67,69,Nick Taylor,83,.149,9.826,66
68,70,Webb Simpson,70,.146,8.454,58
69,66,Russell Knox,92,.130,8.471,65
70,71,Brett Stegmaier,87,.128,9.571,75
71,72,John Huh,86,.127,10.000,79
72,73,Kyle Reifers,115,.117,11.356,97
73,74,Rory Sabbatini,57,.115,4.492,39
74,75,Danny Lee,93,.108,7.668,71
75,76,Scott Stallings,74,.106,6.681,63
76,77,Scott Langley,65,.105,5.582,53
77,78,James Hahn,85,.100,7.027,70
78,80,Chris Kirk,90,.086,6.353,74
79,81,Ben Martin,92,.079,6.317,80
80,82,Bronson Burgoon,83,.069,4.476,65
81,83,Bill Haas,86,.068,4.335,64
82,84,Ernie Els,66,.065,3.665,56
83,85,Robert Streb,87,.050,3.275,66
84,86,Chad Campbell,90,.048,3.862,80
T85,87,Jason Gore,78,.044,2.610,60
T85,79,Jimmy Walker,85,.044,3.089,71
87,88,Spencer Levin,104,.043,3.541,82
