RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:OTT,MEASURED ROUNDS
1,1,Bubba Watson,76,.937,55.275,59
2,3,Adam Scott,61,.734,32.289,44
3,2,Henrik Stenson,65,.710,31.230,44
4,4,Keegan Bradley,88,.698,50.237,72
5,5,Kyle Stanley,71,.640,38.383,60
6,7,Rory McIlroy,56,.624,25.601,41
7,8,Jordan Spieth,82,.611,40.943,67
8,6,Boo Weekley,100,.594,49.304,83
9,9,Nicolas Colsaerts,50,.552,19.868,36
10,10,Jim Herman,59,.550,24.206,44
11,11,Lucas Glover,65,.541,28.116,52
12,13,Robert Garrigus,69,.509,24.956,49
13,12,Graham DeLaet,94,.488,39.499,81
14,15,Jason Dufner,78,.475,28.968,61
15,17,Billy Horschel,96,.465,38.602,83
16,19,Nick Watney,88,.461,33.653,73
17,18,Justin Rose,62,.459,21.104,46
18,16,Jason Day,86,.452,27.553,61
19,20,Lee Westwood,70,.439,22.364,51
20,21,Russell Henley,80,.432,28.484,66
21,22,Charlie Beljan,62,.424,23.319,55
22,23,Nicholas Thompson,99,.420,36.115,86
23,24,Hunter Mahan,91,.417,28.364,68
24,T25,Ryan Palmer,79,.411,28.375,69
25,27,Kevin Stadler,83,.410,28.318,69
26,T25,Kevin Streelman,86,.406,27.594,68
27,29,Martin Kaymer,61,.402,16.883,42
28,30,Matt Jones,83,.396,27.740,70
T29,T31,Martin Laird,68,.389,20.635,53
T29,T31,Scott Stallings,79,.389,25.666,66
31,33,Chez Reavie,72,.381,25.542,67
32,34,Vijay Singh,61,.371,17.788,48
T33,28,Bill Haas,85,.365,25.168,69
T33,35,Josh Teater,86,.365,22.256,61
35,36,John Senden,79,.344,20.971,61
36,37,Will Claxton,67,.341,19.096,56
37,38,Scott Brown,65,.338,18.598,55
38,39,Charley Hoffman,84,.333,24.313,73
39,50,Dustin Johnson,71,.332,16.956,51
40,45,Gary Woodland,94,.331,27.432,83
41,T40,Matt Every,89,.323,25.846,80
T42,T43,Brian Harman,89,.316,24.033,76
T42,T43,Eric Meierdierks,48,.316,11.708,37
44,49,Steve Stricker,51,.311,10.871,35
45,46,David Lingmerth,68,.301,17.167,57
46,47,Jeff Overton,78,.296,21.926,74
47,48,Ángel Cabrera,73,.294,16.768,57
48,42,Brendon de Jonge,110,.280,27.120,97
49,51,Kevin Chappell,80,.276,18.488,67
50,52,Rory Sabbatini,86,.273,19.669,72
51,53,Graeme McDowell,53,.251,9.270,37
52,54,Steve LeBrun,66,.248,13.144,53
53,55,Ryan Moore,72,.232,13.197,57
54,56,Derek Ernst,58,.231,11.320,49
55,T57,Morgan Hoffmann,64,.227,12.045,53
56,60,Justin Hicks,79,.218,14.418,66
57,T57,Webb Simpson,92,.216,15.086,70
58,59,Roberto Castro,97,.204,17.145,84
59,61,Ian Poulter,59,.200,7.783,39
60,T40,Charl Schwartzel,69,.195,10.528,54
61,62,Bo Van Pelt,72,.186,10.046,54
62,63,Mark Wilson,56,.185,9.255,50
63,65,D.J. Trahan,48,.182,6.910,38
64,66,Zach Johnson,84,.181,12.143,67
65,67,John Huh,88,.179,13.435,75
T66,T68,Henrik Norlander,70,.166,9.813,59
T66,T68,"Ted Potter, Jr.",65,.166,9.137,55
T68,T70,John Rollins,77,.164,11.144,68
T68,T70,Robert Streb,75,.164,10.189,62
70,72,Scott Piercy,78,.144,8.929,62
71,73,Rickie Fowler,75,.143,8.439,59
72,74,J.J. Henry,83,.138,10.208,74
73,75,Martin Flores,83,.136,10.337,76
T74,T76,Y.E. Yang,56,.133,5.448,41
T74,T76,Charles Howell III,87,.133,10.666,80
76,64,Sergio Garcia,65,.131,6.150,47
77,78,Harris English,95,.115,9.452,82
T78,T79,Ryo Ishikawa,72,.110,6.034,55
T78,T79,Ernie Els,63,.110,5.289,48
80,81,Jerry Kelly,75,.109,6.980,64
81,82,Brandt Jobe,62,.104,5.506,53
82,84,K.J. Choi,85,.096,6.044,63
T83,T85,Fabián Gómez,65,.089,4.972,56
T83,T85,Patrick Reed,83,.089,6.604,74
85,87,Jimmy Walker,84,.082,6.177,75
86,89,Jason Kokrak,78,.079,5.670,72
87,90,Freddie Jacobson,63,.075,3.472,46
88,91,Jeff Maggert,63,.074,4.244,57
89,92,Scott Gardiner,61,.069,3.580,52
90,93,Greg Owen,73,.064,4.209,66
91,94,Tom Gillis,69,.062,3.731,60
92,96,Sangmoon Bae,83,.053,3.843,72
93,97,Brian Davis,91,.051,4.209,83
94,98,Tim Clark,64,.048,2.062,43
95,99,James Hahn,78,.044,2.919,67
96,100,Steven Bowditch,67,.041,2.381,58
97,101,John Merrick,79,.038,2.550,68
98,102,Sean O'Hair,56,.029,1.490,51
99,103,Carl Pettersson,82,.026,1.643,64
100,104,Brendan Steele,86,.025,1.938,77
101,88,Jim Furyk,80,.023,1.503,64
102,95,Phil Mickelson,78,.021,1.180,57
103,105,Erik Compton,74,.012,.803,65
104,106,Ken Duke,87,.009,.640,75
105,108,Brad Fritsch,81,.005,.340,68
106,109,Cameron Percy,68,.001,.068,57
107,110,Matt Kuchar,93,-.010,-.724,69
108,111,George McNeill,68,-.012,-.776,64
109,107,Brandt Snedeker,79,-.025,-1.474,58
110,112,Andrew Svoboda,46,-.027,-.931,35
T111,T113,Vaughn Taylor,50,-.042,-1.676,40
T111,T113,Ben Kohles,75,-.042,-2.630,62
113,115,Andres Romero,63,-.050,-2.585,52
114,116,Tag Ridings,69,-.054,-3.109,58
115,117,Daniel Summerhays,83,-.062,-4.843,78
116,118,Bud Cauley,67,-.063,-3.528,56
117,120,Cameron Tringale,80,-.079,-5.919,75
