RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:OTT,MEASURED ROUNDS
1,1,Boo Weekley,101,.876,68.338,78
2,2,J.B. Holmes,71,.828,53.013,64
3,3,Joe Durant,88,.698,50.947,73
4,5,Mathew Goggin,97,.691,60.102,87
5,6,Charles Warren,101,.680,63.283,93
6,4,Brett Wetterich,88,.671,46.992,70
7,7,Robert Allenby,90,.638,47.825,75
8,9,Tiger Woods,63,.624,26.842,43
9,10,Nick Watney,87,.622,43.569,70
10,8,Jeff Overton,60,.613,33.093,54
11,12,Vijay Singh,102,.583,47.844,82
12,13,Anthony Kim,93,.578,46.258,80
13,14,D.J. Trahan,99,.556,50.000,90
14,15,Lucas Glover,98,.542,42.302,78
15,11,Bubba Watson,80,.539,35.567,66
16,16,Peter Lonard,85,.524,39.827,76
17,17,Geoff Ogilvy,84,.523,33.479,64
18,18,Hunter Mahan,91,.496,35.730,72
19,19,Kenny Perry,83,.485,36.345,75
20,24,Sean O'Hair,98,.484,40.165,83
21,21,Adam Scott,69,.478,25.798,54
22,20,Robert Garrigus,95,.468,40.205,86
23,23,Ernie Els,59,.452,19.870,44
24,22,Jay Williamson,50,.447,21.435,48
25,27,Bill Haas,93,.443,36.359,82
26,25,Steve Allan,63,.439,24.145,55
27,26,Mathias Grönberg,95,.424,37.329,88
28,28,John Rollins,102,.417,35.023,84
T29,29,Jason Gore,86,.411,32.036,78
T29,30,Greg Owen,81,.411,28.736,70
31,31,J.J. Henry,86,.374,25.451,68
T32,32,Chris Couch,76,.369,26.963,73
T32,33,Camilo Villegas,82,.369,25.442,69
34,34,John Senden,97,.366,30.728,84
35,35,Trevor Immelman,74,.357,19.268,54
36,36,Bo Van Pelt,104,.354,34.337,97
37,37,Charley Hoffman,97,.348,28.911,83
38,39,Tommy Armour III,81,.333,22.956,69
39,41,Ken Duke,112,.329,31.285,95
40,40,Phil Mickelson,73,.328,17.050,52
41,38,Scott Verplank,82,.323,19.060,59
42,42,Matt Hendrix,63,.308,16.951,55
43,43,Will MacKenzie,100,.295,26.864,91
44,44,Rod Pampling,92,.292,21.628,74
T45,T48,Jerry Kelly,101,.279,20.894,75
T45,45,Ian Poulter,63,.279,10.873,39
47,T48,Mark Calcavecchia,93,.277,20.204,73
48,T46,Steve Elkington,87,.276,20.141,73
49,T46,Harrison Frazar,88,.269,19.620,73
50,50,Mike Weir,82,.267,15.993,60
51,52,Kevin Stadler,95,.259,20.192,78
52,51,Alex Cejka,80,.257,19.037,74
53,T54,Steve Marino,106,.250,22.728,91
54,T54,Troy Matteson,87,.239,18.181,76
55,56,Jason Bohn,57,.237,12.579,53
56,57,Ted Purdy,102,.235,20.460,87
57,53,Billy Mayfair,98,.234,19.398,83
58,58,Ryan Armour,107,.229,21.571,94
T59,60,Davis Love III,66,.223,11.828,53
T59,67,Rich Beem,89,.223,15.578,70
61,62,Zach Johnson,76,.214,12.864,60
T62,61,Frank Lickliter II,95,.211,17.964,85
T62,63,Henrik Stenson,52,.211,7.589,36
64,66,Cameron Beckman,96,.201,17.094,85
65,T64,Jim Furyk,84,.199,13.128,66
66,70,Ryan Moore,92,.196,14.664,75
67,T64,George McNeill,95,.190,15.204,80
68,68,Woody Austin,95,.183,15.407,84
69,59,Bart Bryant,87,.180,13.332,74
70,71,K.J. Choi,87,.161,10.930,68
71,69,Daisuke Maruyama,86,.160,12.157,76
72,73,Justin Rose,63,.157,6.132,39
73,75,Aaron Baddeley,83,.152,9.999,66
74,76,Rory Sabbatini,81,.151,9.483,63
75,74,Jeff Gove,103,.147,13.786,94
76,79,Chris Stroud,66,.146,8.172,56
77,85,Steve Lowery,74,.144,9.966,69
78,80,John Merrick,92,.137,11.115,81
79,78,Heath Slocum,101,.134,12.504,93
80,83,Padraig Harrington,64,.133,6.100,46
81,T81,Briny Baird,115,.132,13.819,105
82,84,Arron Oberholser,69,.125,6.606,53
T83,77,Stephen Ames,81,.124,7.679,62
T83,T81,Johnson Wagner,97,.124,10.698,86
85,72,Bubba Dickerson,51,.111,4.767,43
86,89,Jarrod Lyle,77,.099,6.662,67
87,87,Mark Wilson,87,.094,6.887,73
88,88,Carl Pettersson,111,.092,8.478,92
89,86,Darron Stiles,65,.089,4.731,53
90,92,Scott Gutschewski,67,.049,2.829,58
91,93,Sergio Garcia,68,.048,2.637,55
T92,94,Stuart Appleby,74,.041,2.361,58
T92,91,Duffy Waldorf,69,.041,2.397,59
T92,96,Jim Rutledge,59,.041,1.901,46
95,101,J.P. Hayes,89,.029,2.312,80
T96,98,Ryan Palmer,91,.028,2.307,82
T96,97,John Mallinger,96,.028,2.403,87
98,90,Steve Wheatcroft,73,.023,1.430,61
99,99,Robert Gamez,88,.019,1.415,76
100,100,Jeff Maggert,79,.017,1.356,78
101,95,Brian Davis,101,.014,1.241,88
102,102,José Coceres,50,.009,.378,42
T103,104,Luke Donald,69,.005,.240,50
T103,107,Kyle Reifers,71,.005,.316,63
105,106,Steve Stricker,81,.002,.123,65
106,110,Brendon de Jonge,76,-.002,-.102,66
T107,109,Michael Putnam,96,-.008,-.600,80
T107,108,Joe Ogilvie,102,-.008,-.733,87
109,103,Chris Tidland,59,-.009,-.466,51
110,105,David Branshaw,83,-.015,-1.152,75
111,112,Shaun Micheel,91,-.017,-1.171,70
112,116,Daniel Chopra,106,-.020,-1.937,95
113,111,Tim Herron,98,-.021,-1.750,82
114,113,Ben Curtis,80,-.030,-1.931,64
115,114,Charlie Wi,90,-.032,-2.668,83
116,123,Freddie Jacobson,70,-.033,-2.227,68
T117,118,Retief Goosen,50,-.039,-1.331,34
T117,115,Jesper Parnevik,88,-.039,-2.922,75
T119,137,Craig Barlow,52,-.046,-2.032,44
