RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:OTT,MEASURED ROUNDS
T119,117,Kirk Triplett,77,-.046,-3.135,68
121,119,Kent Jones,97,-.059,-5.166,88
T122,122,Tom Lehman,62,-.070,-3.421,49
T122,T120,Jason Dufner,100,-.070,-6.124,87
124,T127,Justin Leonard,95,-.073,-6.001,82
125,T132,Joey Sindelar,75,-.075,-5.047,67
126,124,Vaughn Taylor,91,-.076,-5.472,72
127,T127,Kevin Sutherland,85,-.077,-5.280,69
128,126,Michael Allen,74,-.082,-5.216,64
129,130,David Toms,80,-.087,-5.475,63
T130,T132,Glen Day,85,-.090,-6.712,75
T130,131,Pat Perez,84,-.090,-5.858,65
132,125,Tom Johnson,74,-.093,-5.856,63
133,T120,Doug LaBelle II,104,-.096,-8.732,91
134,134,Tim Clark,66,-.105,-5.578,53
135,136,Tag Ridings,52,-.107,-4.824,45
136,135,John Daly,59,-.111,-5.428,49
137,129,Paul Gow,70,-.122,-6.982,57
138,138,Mark Brooks,53,-.128,-5.244,41
T139,T139,Chad Campbell,96,-.134,-9.805,73
T139,T139,Nathan Green,103,-.134,-11.650,87
141,142,Steve Flesch,100,-.137,-12.331,90
142,141,Jason Schultz,63,-.144,-7.609,53
143,144,Brandt Snedeker,105,-.157,-13.465,86
144,145,Paul Stankowski,52,-.159,-6.667,42
T145,143,Craig Bowden,78,-.169,-11.319,67
T145,146,Paul Goydos,60,-.169,-7.928,47
147,147,Tom Pernice Jr.,104,-.190,-15.978,84
148,148,Jonathan Byrd,73,-.191,-11.820,62
149,154,D.J. Brigman,67,-.195,-10.524,54
T150,150,Jaco Van Zyl,51,-.201,-8.865,44
T150,152,Jeff Quinney,95,-.201,-17.279,86
152,155,Charles Howell III,89,-.212,-14.021,66
153,153,Tripp Isenhour,86,-.214,-15.642,73
154,149,Tim Petrovic,106,-.220,-20.932,95
155,161,Andrew Buckle,77,-.223,-14.923,67
156,156,Anders Hansen,55,-.224,-7.623,34
157,157,Jeff Brehaut,59,-.227,-11.134,49
158,160,Kevin Na,84,-.229,-17.823,78
159,158,Cliff Kresge,107,-.231,-23.104,100
T160,164,Stewart Cink,91,-.233,-16.804,72
T160,159,Mark Hensby,81,-.233,-16.789,72
162,151,Michael Sim,52,-.240,-12.007,50
163,162,Brett Quigley,79,-.248,-15.616,63
164,166,Michael Boyd,61,-.258,-13.422,52
165,165,Bob Heintz,85,-.267,-19.197,72
166,167,Fred Funk,65,-.270,-14.335,53
167,163,Billy Andrade,88,-.272,-21.507,79
168,168,Tom Byrum,50,-.278,-11.386,41
169,171,Brian Bateman,55,-.284,-12.516,44
170,169,Nick O'Hern,72,-.287,-15.803,55
171,170,Rocco Mediate,72,-.292,-19.554,67
172,172,Craig Kanada,109,-.308,-28.911,94
173,174,Bob Tway,103,-.314,-27.624,88
174,173,Matt Kuchar,85,-.320,-22.749,71
175,175,Chris Riley,59,-.343,-17.516,51
176,176,Chris DiMarco,79,-.349,-22.011,63
177,178,Richard Johnson,93,-.357,-29.980,84
178,181,Parker McLachlin,83,-.358,-26.113,73
179,177,Craig Lile,77,-.361,-24.880,69
180,179,Bob Estes,88,-.373,-29.812,80
181,185,Lee Janzen,66,-.387,-20.133,52
182,182,Todd Hamilton,76,-.398,-23.109,58
183,184,Rich Barcelo,80,-.402,-28.147,70
184,180,Marco Dawson,73,-.407,-26.455,65
185,183,Jeff Sluman,60,-.416,-17.467,42
186,186,Brian Gay,107,-.442,-42.835,97
187,187,Eric Axley,107,-.460,-43.194,94
188,188,Stephen Leaney,82,-.478,-35.382,74
189,189,Ryuji Imada,104,-.534,-47.501,89
190,190,Dean Wilson,92,-.554,-41.577,75
191,191,Shigeki Maruyama,84,-.619,-49.531,80
192,192,Gavin Coles,87,-.666,-51.255,77
193,193,Dicky Pride,71,-.699,-42.631,61
194,194,José María Olazábal,52,-.879,-32.525,37
195,196,Bryce Molder,56,-.956,-46.826,49
196,195,Corey Pavin,81,-.968,-68.747,71
