RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:OTT,MEASURED ROUNDS
1,1,Dustin Johnson,72,.912,49.234,54
2,2,Bubba Watson,85,.898,52.996,59
3,3,Adam Scott,60,.793,35.670,45
4,4,Gary Woodland,93,.742,51.944,70
5,5,J.B. Holmes,57,.726,34.107,47
T6,6,Boo Weekley,66,.683,38.913,57
T6,7,Keegan Bradley,91,.683,52.628,77
8,8,Robert Garrigus,83,.662,45.673,69
9,11,John Rollins,85,.647,46.600,72
10,9,Josh Teater,104,.632,58.140,92
11,10,Bill Haas,93,.628,45.233,72
12,12,Chris Couch,73,.606,41.190,68
13,14,Bo Van Pelt,92,.586,41.587,71
14,13,D.J. Trahan,91,.565,46.857,83
15,15,Nick Watney,80,.543,33.683,62
16,16,Sergio Garcia,61,.528,23.756,45
17,17,Kyle Stanley,98,.516,41.309,80
18,18,Jason Dufner,78,.515,33.484,65
19,19,Jhonattan Vegas,84,.507,35.477,70
20,21,Martin Laird,77,.499,30.912,62
21,T23,John Senden,94,.496,40.170,81
22,22,Charl Schwartzel,58,.490,19.594,40
23,T23,Brandt Jobe,100,.478,38.718,81
24,20,Webb Simpson,98,.476,39.509,83
25,25,Robert Allenby,84,.462,32.334,70
26,27,Charley Hoffman,93,.453,33.550,74
27,28,Scott Stallings,84,.443,30.584,69
28,26,Kevin Streelman,90,.442,31.384,71
29,30,Jeff Overton,92,.402,29.349,73
30,31,Rickie Fowler,84,.384,25.346,66
31,29,Joe Durant,71,.382,24.430,64
32,32,Chez Reavie,92,.381,31.265,82
33,33,Hunter Mahan,92,.371,28.187,76
34,34,Steve Marino,76,.364,22.572,62
35,35,Steven Bowditch,86,.339,26.412,78
T36,37,Pat Perez,76,.319,22.297,70
T36,36,John Merrick,71,.319,19.156,60
38,39,Vijay Singh,79,.315,22.664,72
39,38,Billy Horschel,75,.310,19.222,62
40,40,Matt Kuchar,94,.304,21.602,71
41,41,Graeme McDowell,50,.301,11.137,37
42,42,Troy Matteson,91,.295,23.892,81
43,45,Lucas Glover,74,.270,16.459,61
44,46,Harrison Frazar,58,.259,10.898,42
T45,T48,Tommy Gainey,104,.245,22.277,91
T45,50,Davis Love III,70,.245,12.745,52
47,T54,Jim Herman,69,.244,13.933,57
48,52,Blake Adams,116,.241,25.271,105
49,T48,J.J. Henry,96,.239,18.867,79
50,47,Brian Davis,105,.226,20.827,92
