RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:OTT,MEASURED ROUNDS
68,T68,Peter Lonard,85,.162,10.677,66
69,70,Tom Pernice Jr.,111,.157,13.944,89
70,71,Bo Van Pelt,112,.156,14.516,93
71,72,Tom Gillis,77,.152,10.495,69
72,73,Steve Elkington,67,.143,7.886,55
T73,T74,Marco Dawson,82,.142,11.178,79
T73,T74,Ryuji Imada,78,.142,9.492,67
75,76,Robert Gamez,91,.140,11.376,81
76,77,Neal Lancaster,95,.135,11.572,86
77,78,Woody Austin,100,.126,11.434,91
78,79,Heath Slocum,103,.119,10.739,90
79,80,D.J. Brigman,76,.117,7.270,62
80,81,Omar Uresti,84,.114,8.416,74
81,82,Steve Lowery,100,.113,9.791,87
82,83,Kevin Stadler,96,.110,9.139,83
83,84,Darron Stiles,78,.107,7.513,70
84,85,Jonathan Byrd,103,.104,9.800,94
85,87,John Huston,90,.100,7.960,80
86,88,Ben Crane,78,.097,6.277,65
87,86,Jim Furyk,94,.096,6.933,72
T88,T68,Luke Donald,67,.082,3.275,40
T88,90,Nick Watney,91,.082,6.558,80
T90,T91,Arjun Atwal,65,.075,4.552,61
T90,T91,Frank Lickliter II,100,.075,6.448,86
92,93,Tom Lehman,69,.067,3.340,50
93,94,Mark Hensby,70,.055,2.742,50
94,95,Tag Ridings,93,.054,4.513,84
95,96,Ryan Palmer,101,.053,4.294,81
T96,89,Tim Clark,92,.052,3.365,65
T96,97,Shaun Micheel,81,.052,3.298,64
98,98,Hidemichi Tanaka,106,.051,4.799,95
99,99,Jeff Brehaut,71,.048,3.020,63
100,100,Ian Poulter,62,.043,1.544,36
101,101,Joe Ogilvie,103,.042,3.327,79
T102,T102,Craig Barlow,81,.041,2.596,64
T102,T102,Skip Kendall,80,.041,2.938,71
104,104,Billy Andrade,83,.031,2.282,74
105,105,Carlos Franco,78,.025,1.696,67
106,106,Robert Damron,89,.016,1.293,80
107,107,Alex Cejka,84,.012,.863,70
108,109,Brendan Jones,81,.003,.226,73
109,110,Jesper Parnevik,84,.000,.001,68
110,111,Kevin Sutherland,89,-.009,-.653,74
111,112,Michael Long,72,-.011,-.673,64
T112,T113,Steve Jones,56,-.013,-.588,46
T112,T113,Bob Tway,87,-.013,-.871,66
114,115,Will MacKenzie,75,-.016,-1.061,68
T115,116,Richard Johnson,50,-.018,-.823,46
T115,117,Fred Funk,102,-.018,-1.489,82
117,118,Brett Quigley,96,-.024,-2.059,85
118,119,Jeff Sluman,94,-.029,-2.457,85
119,108,Justin Leonard,78,-.031,-1.722,55
120,120,Brian Bateman,98,-.034,-2.896,86
121,T121,Kirk Triplett,55,-.039,-1.707,44
122,123,Steve Allan,102,-.044,-3.879,89
123,124,Hank Kuehne,84,-.047,-3.507,75
T124,T125,Rich Beem,66,-.049,-2.369,48
T124,T125,José Coceres,56,-.049,-2.605,53
126,127,Cameron Beckman,96,-.050,-4.255,85
127,128,Doug Barron,70,-.056,-3.663,65
T128,T121,Chad Campbell,95,-.060,-4.575,76
T128,129,Bob Estes,92,-.060,-4.815,80
130,130,Mike Weir,71,-.066,-3.109,47
131,131,Chris Riley,67,-.074,-3.170,43
132,132,James Driscoll,73,-.078,-4.943,63
133,134,Stephen Ames,82,-.087,-5.315,61
134,135,Matt Kuchar,60,-.096,-5.391,56
135,136,Scott McCarron,78,-.103,-6.260,61
136,133,Olin Browne,99,-.105,-8.836,84
137,137,Glen Day,80,-.113,-8.338,74
138,138,Patrick Sheehan,114,-.116,-11.229,97
139,139,Shigeki Maruyama,99,-.117,-9.919,85
140,140,Justin Bolli,65,-.118,-6.959,59
141,141,Paul Claxton,79,-.119,-7.857,66
142,142,John Elliott,58,-.138,-7.165,52
143,143,Matt Gogel,78,-.158,-10.726,68
T144,T144,Steve Flesch,90,-.170,-10.860,64
T144,T144,Tjaart van der Walt,56,-.170,-9.178,54
146,146,John Cook,72,-.171,-10.064,59
147,148,José María Olazábal,55,-.177,-7.246,41
148,149,Stephen Leaney,89,-.182,-13.824,76
149,150,Brian Gay,101,-.204,-18.936,93
T150,T151,Dudley Hart,84,-.213,-15.514,73
T150,T151,Glen Hnatiuk,59,-.213,-10.872,51
152,153,Larry Mize,54,-.215,-9.884,46
153,154,Kent Jones,99,-.216,-18.967,88
T154,T155,Bernhard Langer,67,-.218,-10.050,46
T154,T155,Jay Haas,54,-.218,-8.498,39
T156,157,Danny Briggs,70,-.229,-14.171,62
T156,147,Chris DiMarco,83,-.229,-13.533,59
158,158,Carl Pettersson,109,-.235,-22.118,94
159,159,Brent Geiberger,61,-.238,-12.370,52
160,160,Tim Petrovic,97,-.240,-19.236,80
T161,T161,Jim Carter,62,-.247,-13.604,55
T161,T161,Hideto Tanihara,50,-.247,-11.103,45
163,163,Duffy Waldorf,86,-.249,-17.659,71
164,164,Tom Byrum,83,-.255,-19.350,76
165,165,Michael Allen,90,-.260,-20.006,77
T166,T166,Kevin Na,88,-.262,-20.950,80
T166,T166,Stewart Cink,98,-.262,-18.623,71
168,168,Dean Wilson,86,-.270,-21.579,80
169,169,Charlie Wi,67,-.274,-16.715,61
170,170,Chris Anderson,66,-.276,-16.008,58
171,171,Freddie Jacobson,72,-.281,-15.735,56
172,172,Dan Forsman,52,-.295,-13.863,47
173,173,Matt Davidson,53,-.301,-15.034,50
174,174,Andrew Magee,82,-.327,-23.226,71
175,175,Paul Gow,78,-.328,-22.328,68
176,176,Todd Fischer,99,-.329,-28.966,88
T177,T177,Mark Wilson,74,-.336,-21.525,64
T177,T177,Paul Azinger,66,-.336,-19.839,59
179,179,Ben Curtis,65,-.337,-16.860,50
180,,Padraig Harrington,50,-.343,-14.054,41
181,180,Phillip Price,77,-.347,-22.177,64
182,181,Hunter Haas,83,-.359,-26.215,73
183,182,Bob Heintz,67,-.361,-22.393,62
184,183,Mark O'Meara,66,-.363,-18.896,52
185,184,Mark Brooks,72,-.372,-23.436,63
186,185,Franklin Langham,91,-.438,-33.692,77
187,186,Rob Rashell,65,-.453,-24.920,55
188,187,Brad Faxon,75,-.459,-26.621,58
189,188,Bill Glasson,54,-.462,-20.337,44
190,189,Jeff Hart,63,-.477,-27.684,58
191,190,Len Mattiace,86,-.495,-37.651,76
192,191,Gavin Coles,70,-.527,-33.699,64
193,192,Loren Roberts,54,-.539,-25.876,48
194,193,Thomas Levet,54,-.572,-20.589,36
195,194,J.P. Hayes,63,-.589,-31.194,53
196,195,Brenden Pappas,51,-.614,-30.071,49
197,196,Jason Allred,75,-.675,-43.191,64
198,197,Aaron Baddeley,84,-.726,-55.169,76
199,198,Lee Janzen,75,-.789,-47.331,60
200,199,Craig Perks,67,-.824,-48.617,59
201,200,Steve Stricker,62,-.909,-53.604,59
202,201,Corey Pavin,77,-1.008,-61.499,61
