RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:OTT,MEASURED ROUNDS
1,1,Sergio Garcia,73,1.003,52.170,52
2,2,Kenny Perry,82,.949,56.964,60
3,3,Vijay Singh,111,.934,82.183,88
4,4,Tiger Woods,76,.896,49.272,55
5,5,Brett Wetterich,76,.737,50.121,68
6,6,Charles Warren,89,.708,57.377,81
7,7,Lee Westwood,50,.702,23.171,33
8,10,David Hearn,68,.564,34.433,61
9,11,Joe Durant,81,.562,38.756,69
T10,T12,D.J. Trahan,81,.551,39.115,71
T10,T12,John Rollins,97,.551,45.704,83
12,8,Sean O'Hair,103,.549,47.218,86
13,9,Lucas Glover,88,.541,42.771,79
14,14,Mathias Grönberg,60,.529,29.612,56
15,16,Fred Couples,72,.499,21.961,44
16,15,Davis Love III,80,.498,28.376,57
T17,T17,Zach Johnson,96,.490,40.658,83
T17,T17,Joey Snyder III,102,.490,45.090,92
19,19,Harrison Frazar,105,.489,45.993,94
20,20,Brian Davis,75,.488,31.238,64
21,21,Scott Gutschewski,86,.458,32.982,72
T22,22,Adam Scott,72,.441,22.918,52
T22,23,Greg Owen,84,.441,31.288,71
24,28,Bart Bryant,91,.440,33.895,77
T25,27,Brandt Jobe,96,.429,35.157,82
T25,25,Charles Howell III,95,.429,30.916,72
27,26,Roland Thatcher,75,.422,28.714,68
28,29,Stuart Appleby,84,.410,25.807,63
29,24,Billy Mayfair,114,.409,41.717,102
30,30,K.J. Choi,78,.392,21.147,54
31,31,Chris Smith,93,.376,32.337,86
32,34,Rod Pampling,89,.353,24.690,70
33,33,Ted Purdy,122,.352,35.193,100
34,35,Mark Calcavecchia,92,.348,26.829,77
35,36,Robert Allenby,95,.345,25.185,73
36,37,Justin Rose,99,.342,30.465,89
37,38,Phil Mickelson,81,.341,17.071,50
38,39,Jonathan Kaye,77,.340,21.771,64
39,40,Jerry Kelly,101,.336,25.543,76
40,41,Jay Williamson,53,.319,14.977,47
41,42,J.J. Henry,102,.316,27.517,87
42,43,Bradley Hughes,52,.298,14.621,49
T43,T44,John Senden,101,.297,27.060,91
T43,T44,Jeff Maggert,79,.297,17.823,60
45,46,Joey Sindelar,104,.290,28.684,99
46,32,Retief Goosen,71,.281,12.070,43
47,49,Tommy Armour III,103,.268,24.678,92
T48,47,Tim Herron,100,.249,19.415,78
T48,50,Hunter Mahan,103,.249,23.155,93
50,52,Scott Verplank,87,.246,16.204,66
51,51,Arron Oberholser,65,.245,12.491,51
52,53,Daniel Chopra,108,.227,21.121,93
53,54,J.L. Lewis,98,.206,16.902,82
54,48,David Toms,87,.201,12.888,64
55,55,Briny Baird,98,.200,17.769,89
56,56,Todd Hamilton,94,.199,14.919,75
57,57,John Daly,78,.192,10.775,56
58,58,D.A. Points,94,.191,15.816,83
T59,T59,Jason Bohn,91,.189,15.483,82
T59,T59,Geoff Ogilvy,97,.189,14.167,75
61,61,Pat Perez,89,.184,13.582,74
T62,T62,Rory Sabbatini,81,.176,10.550,60
T62,T62,Vaughn Taylor,99,.176,15.874,90
64,64,Dennis Paulson,63,.174,9.946,57
65,65,Scott Hend,75,.173,11.271,65
66,66,Rocco Mediate,73,.168,11.067,66
67,67,Mario Tiziani,67,.164,10.027,61
