RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:PUTTING,MEASURED ROUNDS
123,130,Kevin Streelman,114,-.081,-7.848,97
T124,121,Paul Claxton,63,-.082,-4.100,50
T124,126,Michael Letzig,88,-.082,-6.098,74
T126,139,Steve Flesch,95,-.097,-7.828,81
T126,129,Y.E. Yang,89,-.097,-7.797,80
128,143,Davis Love III,78,-.100,-6.514,65
129,134,Scott Sterling,89,-.102,-7.565,74
T130,124,Charles Howell III,101,-.104,-9.011,87
T130,131,Lucas Glover,91,-.104,-8.646,83
132,133,Brandt Jobe,52,-.107,-5.023,47
T133,117,Cliff Kresge,84,-.118,-8.619,73
T133,135,Charley Hoffman,94,-.118,-10.125,86
135,136,Rory Sabbatini,77,-.119,-7.485,63
136,T137,Retief Goosen,59,-.121,-5.072,42
137,132,Robert Allenby,108,-.139,-11.960,86
T138,140,Bo Van Pelt,101,-.149,-13.813,93
T138,142,Robert Garrigus,90,-.149,-12.773,86
140,144,Troy Matteson,94,-.152,-13.494,89
141,141,David Duval,51,-.160,-6.553,41
142,158,Rich Beem,90,-.169,-13.330,79
143,146,Kenneth Ferrie,72,-.174,-10.420,60
144,127,Jeff Maggert,86,-.177,-14.010,79
145,145,Tom Lehman,51,-.190,-7.219,38
146,147,David Toms,70,-.193,-10.788,56
147,148,Chez Reavie,102,-.194,-17.448,90
148,149,Sean O'Hair,81,-.214,-14.531,68
149,150,Billy Mayfair,103,-.228,-21.703,95
150,151,Briny Baird,113,-.231,-22.211,96
151,157,Kevin Stadler,90,-.255,-18.633,73
152,152,Ángel Cabrera,55,-.260,-10.143,39
153,T153,Rocco Mediate,87,-.264,-18.208,69
154,T155,Ron Whittaker,54,-.272,-11.146,41
155,163,Scott Verplank,82,-.281,-18.287,65
156,159,Cameron Beckman,87,-.282,-20.902,74
157,T155,Jon Mills,95,-.287,-22.361,78
158,T153,Nick Flanagan,89,-.291,-23.271,80
159,160,Paul Casey,55,-.299,-10.746,36
160,161,Rod Pampling,83,-.305,-20.759,68
161,162,Billy Andrade,71,-.311,-19.253,62
162,164,John Senden,93,-.313,-25.660,82
163,165,Dustin Johnson,92,-.319,-25.803,81
164,166,Kyle Thompson,70,-.330,-18.799,57
T165,169,Brett Rumford,72,-.332,-20.271,61
T165,167,Brad Adamonis,87,-.332,-25.211,76
167,175,Cody Freeman,66,-.341,-18.738,55
168,172,Jason Allred,63,-.357,-17.853,50
169,168,Jim McGovern,75,-.369,-23.252,63
170,170,Justin Bolli,87,-.372,-27.159,73
171,171,Bubba Watson,97,-.385,-30.813,80
172,174,Vijay Singh,82,-.407,-25.656,63
173,176,D.J. Trahan,94,-.411,-32.043,78
T174,183,Chris Stroud,81,-.413,-27.256,66
T174,173,Nicholas Thompson,113,-.413,-39.646,96
176,177,John Merrick,98,-.418,-32.189,77
177,178,Olin Browne,77,-.422,-29.508,70
178,188,John Riegger,73,-.423,-27.080,64
179,180,Adam Scott,51,-.440,-15.398,35
180,181,Heath Slocum,104,-.442,-37.987,86
181,179,Alex Cejka,75,-.444,-26.621,60
182,184,Jay Williamson,96,-.466,-37.294,80
183,182,Will MacKenzie,62,-.490,-27.901,57
184,185,Boo Weekley,86,-.498,-31.880,64
185,187,Ernie Els,51,-.509,-18.306,36
186,186,Omar Uresti,74,-.520,-32.763,63
187,189,Mark Calcavecchia,67,-.530,-28.604,54
188,190,Jeff Gove,50,-.555,-24.435,44
189,192,Ted Purdy,68,-.558,-32.925,59
190,191,Travis Perkins,53,-.575,-23.009,40
191,193,Trevor Immelman,70,-.675,-36.472,54
192,195,David Lutterus,59,-.903,-45.148,50
193,196,Robert Gamez,79,-.904,-64.205,71
194,197,Harrison Frazar,73,-.912,-56.564,62
195,199,Tommy Gainey,60,-.919,-42.268,46
196,194,Charles Warren,79,-.947,-70.103,74
197,198,Joe Durant,92,-.978,-77.297,79
