RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL DISTANCE,TOTAL DRIVES
1,1,Bubba Watson,76,314.3,"40,863",130
2,3,Dustin Johnson,58,311,"32,970",106
3,2,Rory McIlroy,66,310.5,"37,261",120
T4,T4,J.B. Holmes,86,308,"52,979",172
T4,T4,Andrew Loupe,65,308,"37,576",122
6,6,Brooks Koepka,56,307,"34,389",112
7,7,Robert Garrigus,80,306.1,"48,974",160
8,8,Jhonattan Vegas,77,304.8,"45,726",150
T9,T9,Charles Howell III,106,304.1,"62,028",204
T9,T9,Gary Woodland,93,304.1,"53,218",175
11,11,Charlie Beljan,76,303.8,"43,741",144
12,12,Ángel Cabrera,69,303.7,"41,915",138
13,T13,Adam Scott,68,303.5,"41,275",136
T14,T13,Jason Kokrak,65,303.4,"39,447",130
T14,T13,Graham DeLaet,80,303.4,"42,781",141
16,16,Jamie Lovemark,64,302.4,"36,292",120
17,17,Keegan Bradley,89,302.2,"48,344",160
18,19,Jason Day,54,301.2,"28,914",96
19,18,Jimmy Walker,98,301,"52,978",176
20,20,Lucas Glover,68,300.6,"37,276",124
T21,T21,Louis Oosthuizen,50,300.5,"25,240",84
T21,T21,Sean O'Hair,77,300.5,"46,271",154
T23,23,Scott Stallings,77,300.4,"43,257",144
T23,24,Ryan Palmer,85,300.4,"48,665",162
25,25,Robert Streb,75,300,"42,598",142
T26,T26,Harris English,95,299.2,"52,660",176
T26,T26,Charley Hoffman,93,299.2,"53,254",178
28,28,Brendan Steele,89,298.9,"48,417",162
29,29,Steven Bowditch,93,298.1,"55,447",186
30,30,Charl Schwartzel,64,297.8,"36,930",124
31,31,Shawn Stefani,60,297.7,"35,723",120
32,32,Marc Leishman,81,297.6,"45,239",152
T33,T37,Rickie Fowler,91,297.5,"45,808",154
T33,T33,Kyle Stanley,87,297.5,"47,008",158
T33,T33,Hudson Swafford,75,297.5,"42,248",142
36,35,Will Wilcox,51,297.3,"29,133",98
37,36,Martin Laird,66,297.2,"34,477",116
38,T37,Derek Ernst,80,297,"42,770",144
39,39,Troy Matteson,62,296.7,"34,422",116
40,40,Seung-Yul Noh,92,296.5,"54,555",184
T41,T41,Matt Jones,83,296.3,"46,823",158
T41,T41,Davis Love III,74,296.3,"42,664",144
43,43,Kevin Chappell,100,296.2,"54,493",184
44,44,Martin Flores,85,296,"47,957",162
T45,T45,Nick Watney,80,295.8,"39,636",134
T45,T45,Hunter Mahan,88,295.8,"50,294",170
47,T47,Carl Pettersson,91,295.5,"53,784",182
48,T47,Morgan Hoffmann,103,295.4,"58,486",198
49,T49,Justin Rose,70,295.1,"37,779",128
50,T49,Martin Kaymer,65,294.9,"35,391",120
51,T49,Hideki Matsuyama,82,294.8,"44,217",150
52,52,Jim Herman,62,294.7,"34,181",116
T53,T53,Andres Romero,81,294.6,"45,363",154
T53,T53,Josh Teater,90,294.6,"49,496",168
55,55,Kevin Tway,64,294.5,"35,342",120
56,56,Brad Fritsch,50,294.4,"28,267",96
57,61,Sergio Garcia,61,294.3,"29,425",100
58,57,Rory Sabbatini,82,294.2,"43,537",148
59,58,Tommy Gainey,73,294,"40,569",138
60,59,Aaron Baddeley,74,293.8,"39,950",136
T61,60,Stewart Cink,91,293.7,"51,111",174
T61,T62,Russell Henley,92,293.7,"51,688",176
63,T62,Bud Cauley,56,293.4,"32,856",112
64,64,Henrik Stenson,56,293.2,"29,322",100
T65,T65,Paul Casey,56,293,"30,475",104
T65,T65,Michael Putnam,106,293,"59,769",204
T65,T65,Wes Roach,67,293,"36,919",126
T68,T69,Camilo Villegas,95,292.5,"53,231",182
T68,T69,Geoff Ogilvy,84,292.5,"46,799",160
70,71,Phil Mickelson,71,292.4,"36,840",126
T71,72,Lee Westwood,57,292.3,"30,397",104
T71,68,Patrick Reed,92,292.3,"50,267",172
73,73,Bill Haas,107,291.9,"56,626",194
74,74,Trevor Immelman,84,291.8,"46,685",160
75,75,Ben Martin,80,291.7,"46,668",160
T76,77,Billy Horschel,92,291.6,"47,828",164
T76,76,Kevin Stadler,90,291.6,"49,281",169
78,78,Bo Van Pelt,83,291.3,"43,695",150
79,79,Ernie Els,85,291.2,"41,354",142
T80,80,Ryo Ishikawa,75,291,"41,328",142
T80,81,Chris Kirk,105,291,"58,203",200
T82,T82,J.J. Henry,91,290.7,"50,590",174
T82,T82,Ricky Barnes,92,290.7,"51,170",176
T84,T84,Will MacKenzie,82,290.6,"47,666",164
T84,T84,Chesson Hadley,84,290.6,"48,814",168
86,86,John Rollins,84,290.1,"44,101",152
87,T87,Tyrone Van Aswegen,79,290,"45,234",156
88,89,David Lingmerth,80,289.8,"41,729",144
T89,T87,Jordan Spieth,102,289.7,"54,470",188
T89,90,Vijay Singh,83,289.7,"48,093",166
91,91,James Hahn,82,289.6,"46,337",160
92,92,Brice Garnett,92,289.3,"50,915",176
93,93,Michael Thompson,74,289.2,"38,172",132
94,95,Brian Harman,111,289,"64,149",222
95,94,John Senden,99,288.9,"57,207",198
96,96,Retief Goosen,94,288.8,"49,665",172
97,98,Kevin Streelman,79,288.6,"40,121",139
T98,97,Webb Simpson,87,288.5,"48,462",168
T98,99,Sangmoon Bae,76,288.5,"41,549",144
100,100,Boo Weekley,73,288.3,"36,614",127
101,101,Jim Renner,61,288.2,"34,013",118
T102,T102,Jonathan Byrd,76,288.1,"41,481",144
T102,T102,Gonzalo Fernandez-Castaño,83,288.1,"44,938",156
T102,T102,Ian Poulter,57,288.1,"29,963",104
T102,T102,John Peterson,62,288.1,"34,574",120
106,107,Brendon de Jonge,109,287.9,"59,893",208
T107,T108,Chad Campbell,57,287.8,"30,510",106
T107,T108,Kevin Kisner,85,287.8,"48,933",170
109,110,Luke Guthrie,85,287.6,"48,889",170
110,111,Jeff Overton,80,287.5,"41,396",144
111,112,Andrew Svoboda,77,287.4,"44,261",154
112,113,Scott Brown,100,287.2,"55,140",192
113,114,Johnson Wagner,69,287.1,"37,322",130
114,115,Nicholas Thompson,85,287,"44,203",154
115,116,Pat Perez,84,286.4,"48,114",168
116,117,Matt Every,85,286.3,"46,373",162
T117,T118,Jonas Blixt,64,286.1,"30,899",108
T117,T118,George McNeill,79,286.1,"45,200",158
119,120,Chris Stroud,88,285.8,"48,020",168
120,121,Russell Knox,92,285.7,"52,566",184
121,122,Brandt Snedeker,89,285.6,"47,126",165
T122,T123,John Merrick,87,285.3,"42,797",150
T122,T123,Jason Dufner,57,285.3,"28,526",100
124,125,Troy Merritt,62,285.2,"35,359",124
T125,T126,Justin Hicks,103,285.1,"56,456",198
T125,T126,Richard Lee,80,285.1,"42,188",148
T127,T128,Bronson La'Cassie,51,284.9,"26,779",94
T127,T128,Robert Allenby,83,284.9,"46,157",162
129,130,Ryan Moore,86,284.7,"43,280",152
130,131,Freddie Jacobson,91,284.6,"51,797",182
131,132,D.A. Points,75,284.5,"36,982",130
T132,T133,James Driscoll,71,284.2,"40,353",142
T132,T133,Danny Lee,84,284.2,"45,471",160
T134,T135,Roberto Castro,76,283.9,"39,746",140
T134,T135,John Huh,87,283.9,"44,849",158
136,137,Matt Kuchar,91,283.8,"49,943",176
137,138,Brian Stuard,91,283.4,"49,310",174
138,139,Erik Compton,88,283.3,"49,864",176
139,140,Cameron Tringale,111,282.9,"60,534",214
140,141,Tim Wilkinson,86,282.4,"46,321",164
