RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL DISTANCE,TOTAL DRIVES
1,1,John Daly,75,289.0,"41,044",142
2,2,Davis Love III,89,284.6,"48,104",169
3,3,Dennis Paulson,82,284.1,"46,599",164
4,4,Vijay Singh,79,283.5,"42,532",150
5,5,Kelly Gibson,101,280.2,"56,594",202
T6,T6,John Adams,81,278.9,"45,179",162
T6,T6,Brett Ogle,64,278.9,"32,357",116
8,8,Carl Paulson,62,278.2,"34,497",124
9,9,Woody Austin,114,277.5,"62,711",226
10,10,Fred Couples,54,276.3,"29,289",106
11,11,Robert Gamez,82,275.8,"45,235",164
12,T13,"Jim Gallagher, Jr.",99,275.4,"52,055",189
13,12,Tom Purtzer,58,275.3,"31,382",114
14,T13,Steve Stricker,83,275.2,"45,410",165
15,15,Charlie Rymer,75,274.4,"41,157",150
T16,22,Ernie Els,60,274.3,"30,443",111
T16,T17,David Duval,89,274.3,"46,623",170
18,16,Duffy Waldorf,90,274.2,"49,348",180
19,T17,Michael Bradley,88,274.0,"47,957",175
20,19,John Huston,81,273.9,"42,185",154
21,23,Greg Norman,58,273.4,"28,978",106
22,T20,Tom Watson,56,273.2,"28,416",104
23,T20,Nick Price,66,273.0,"33,576",123
24,24,Peter Jacobsen,93,272.9,"48,584",178
25,T27,Mark Calcavecchia,105,272.5,"54,490",200
26,25,Mike Heinen,87,272.4,"47,403",174
27,26,Pat Bates,81,271.9,"44,042",162
28,T27,Curt Byrum,106,271.7,"57,066",210
T29,T29,Tommy Tolles,79,271.4,"42,331",156
T29,T29,"Dave Stockton, Jr.",93,271.4,"50,487",186
T29,T29,Andrew Magee,86,271.4,"46,678",172
32,32,Scott McCarron,77,271.1,"41,474",153
33,33,Guy Boros,97,271.0,"52,295",193
T34,T34,Robin Freeman,97,270.8,"52,544",194
T34,T34,Joe Ozaki,62,270.8,"33,583",124
T36,46,Phil Mickelson,78,270.7,"40,058",148
