RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL DISTANCE,TOTAL DRIVES
172,172,Larry Mize,72,264.1,"36,972",140
173,173,Lee Rinker,93,264.0,"48,041",182
174,174,Clark Dennis,91,263.9,"46,980",178
175,175,Bob Friend,116,263.6,"60,093",228
176,176,John Maginnes,91,263.3,"47,921",182
177,177,Tom Byrum,89,263.1,"46,827",178
178,178,David Ogrin,57,262.0,"29,871",114
179,179,Fulton Allem,78,261.9,"39,811",152
180,180,Tim Loustalot,66,261.4,"34,500",132
181,181,Esteban Toledo,109,261.3,"55,908",214
182,182,Nolan Henke,83,260.3,"43,215",166
T183,T183,Doug Martin,100,259.0,"49,735",192
T183,T183,Lee Porter,90,259.0,"45,584",176
185,185,Chip Beck,76,258.8,"38,299",148
T186,T186,Scott Simpson,57,256.9,"29,281",114
T186,T186,Lanny Wadkins,57,256.9,"29,285",114
188,188,Mike Reid,79,256.7,"38,504",150
189,189,Larry Rinker,90,255.4,"44,951",176
190,190,Willie Wood,76,255.2,"36,751",144
191,191,Loren Roberts,92,254.8,"45,354",178
192,192,Corey Pavin,86,252.5,"40,396",160
