RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL DISTANCE,TOTAL DRIVES
1,1,Ed Humenik,81,280.9,"44,386",158
2,2,David Jackson,57,280.7,"31,441",112
3,3,Duffy Waldorf,85,280.0,"47,040",168
T4,T4,Bill Sander,98,276.9,"53,441",193
T4,T4,Kenny Perry,83,276.9,"45,142",163
6,6,Trevor Dodds,61,276.2,"33,139",120
7,7,Doug Weaver,69,276.0,"36,978",134
8,8,Lon Hinkle,90,275.5,"49,032",178
9,9,Jodie Mudd,95,274.6,"50,795",185
10,10,Phil Blackmar,84,274.4,"45,002",164
11,11,Davis Love III,83,274.2,"44,962",164
12,12,Larry Silveira,81,274.0,"44,384",162
13,13,Ronnie McCann,63,273.9,"33,412",122
14,T14,Tom Sieckmann,81,273.4,"42,655",156
T15,T14,Greg Norman,62,273.2,"32,785",120
T15,T16,Fred Couples,89,273.2,"48,090",176
17,T16,John McComish,80,273.0,"43,136",158
18,18,Greg Ladehoff,81,272.7,"43,624",160
19,T19,Dan Pohl,69,271.8,"36,962",136
20,21,Brad Bryant,104,271.7,"54,874",202
21,T22,Tommy Armour III,107,271.4,"56,449",208
T22,T19,Bill Glasson,80,271.3,"42,873",158
T22,T22,Ted Schulz,114,271.3,"60,782",224
24,24,J.L. Lewis,51,271.2,"27,115",100
25,25,John Adams,87,270.8,"46,044",170
T26,T26,Rick Dalpos,71,270.6,"38,422",142
T26,T26,Mark Calcavecchia,87,270.6,"45,994",170
28,28,Ray Stewart,65,270.4,"35,155",130
29,29,Andrew Magee,102,270.1,"53,209",197
30,31,Sam Randolph,56,269.8,"28,872",107
31,30,Craig Stadler,80,269.7,"42,613",158
32,32,Dave Eichelberger,99,269.5,"52,816",196
33,34,Jay Delsing,64,269.0,"34,433",128
34,35,Steve Pate,110,268.9,"57,013",212
T35,36,Clark Burroughs,70,268.5,"37,590",140
T35,33,Donnie Hammond,90,268.5,"47,248",176
37,37,Curt Byrum,97,268.4,"50,733",189
38,38,Gil Morgan,86,268.2,"43,982",164
39,39,Jay Don Blake,87,268.0,"46,090",172
40,40,Dan Forsman,86,267.9,"43,932",164
T41,T41,Mark Hayes,85,267.6,"45,493",170
T41,T41,Tom Purtzer,78,267.6,"40,678",152
43,T43,David Peoples,64,267.5,"33,705",126
44,45,Gary Hallberg,86,267.4,"45,988",172
T45,46,Brad Faxon,93,267.1,"48,621",182
T45,T43,Paul Azinger,93,267.1,"49,153",184
47,48,Leonard Thompson,94,266.6,"48,261",181
48,49,"Jim Gallagher, Jr.",118,266.3,"61,789",232
T49,T50,Mac O'Grady,53,266.2,"27,419",103
T49,T50,Joey Sindelar,95,266.2,"50,047",188
51,47,Dave Rummells,98,266.1,"52,151",196
T52,T52,Greg Twiggs,72,265.8,"37,207",140
T52,T52,Blaine McCallister,103,265.8,"52,103",196
T52,T52,George Burns,56,265.8,"29,767",112
T55,56,Ronnie Black,86,265.6,"44,356",167
T55,T52,Mike Hulbert,118,265.6,"62,680",236
57,T57,Charlie Bowles,62,265.5,"32,917",124
58,59,Lance Ten Broeck,83,265.4,"43,783",165
59,60,Tom Watson,59,265.3,"29,717",112
60,61,Andy Bean,75,265.1,"38,173",144
61,62,"Don Shirey, Jr.",85,265.0,"45,058",170
T62,T63,Payne Stewart,85,264.8,"43,957",166
T62,T63,J.C. Snead,86,264.8,"45,543",172
T62,T57,Bob Tway,94,264.8,"48,190",182
T62,T63,Fuzzy Zoeller,67,264.8,"34,955",132
66,T63,Hal Sutton,100,264.7,"52,404",198
67,67,Nick Price,94,264.6,"49,753",188
T68,T68,Rocco Mediate,104,264.3,"54,450",206
T68,T68,Robin Freeman,78,264.3,"41,233",156
70,70,Jim Thorpe,83,264.2,"42,535",161
71,71,Peter Jacobsen,86,263.8,"44,849",170
72,72,Barry Jaeckel,66,263.7,"33,748",128
T73,T73,Gene Sauers,82,263.6,"41,646",158
