RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL DISTANCE,TOTAL DRIVES
1,1,Davis Love III,97,285.7,"55,426",194
2,2,Greg Twiggs,60,283.9,"31,795",112
3,3,John McComish,63,281.4,"33,204",118
4,4,Fred Couples,81,279.9,"45,345",162
5,5,Bill Glasson,91,278.4,"50,674",182
6,6,Joey Sindelar,117,277.7,"64,982",234
7,7,Greg Norman,72,277.5,"39,954",144
8,8,Mac O'Grady,75,277.3,"41,591",150
9,9,Steve Jones,63,276.4,"32,613",118
10,10,Lon Hinkle,78,275.8,"43,021",156
11,11,Tom Purtzer,101,275.0,"55,541",202
12,12,Stu Ingraham,68,274.5,"35,130",128
13,13,Dan Forsman,72,274.4,"39,517",144
14,14,Andy Bean,96,273.9,"52,592",192
15,15,Dan Pohl,75,273.1,"40,970",150
16,16,Tom Watson,61,272.8,"33,276",122
17,17,Tommy Valentine,51,272.4,"25,602",94
18,18,Jodie Mudd,73,272.3,"39,763",146
19,19,Bill Sander,87,272.1,"45,164",166
20,20,Jay Delsing,87,271.9,"45,139",166
21,21,Craig Stadler,82,271.4,"44,506",164
22,22,Jim Dent,75,271.3,"40,691",150
23,23,Trevor Dodds,56,271.1,"29,277",108
T24,T24,George Burns,85,270.1,"45,912",170
T24,T24,Mark McCumber,87,270.1,"46,999",174
26,26,David Graham,67,270.0,"36,175",134
27,27,Jeff Lewis,70,269.8,"37,766",140
28,28,Steve Pate,108,269.7,"58,253",216
29,29,Paul Azinger,96,269.2,"51,692",192
T30,T30,Rick Dalpos,81,269.0,"41,425",154
T30,T30,Ernie Gonzalez,67,269.0,"33,888",126
32,32,Donnie Hammond,71,268.9,"38,187",142
33,33,Mike Hulbert,114,268.8,"61,291",228
34,34,Tom Sieckmann,92,268.5,"49,399",184
35,35,Bruce Lietzke,75,268.4,"40,257",150
T36,T36,Blaine McCallister,96,268.3,"49,366",184
T36,T36,"Jim Gallagher, Jr.",103,268.3,"53,123",198
38,38,Bob Tway,110,268.2,"58,995",220
39,39,John Adams,85,268.1,"45,585",170
40,40,Phil Blackmar,83,268.0,"44,484",166
41,41,Ronnie Black,95,267.9,"50,902",190
42,42,Bobby Wadkins,107,267.2,"57,175",214
43,43,Ken Green,87,267.0,"46,460",174
44,44,Dave Rummells,91,266.9,"48,583",182
45,45,Keith Fergus,79,266.8,"42,162",158
46,46,Bob Gilder,90,266.6,"47,991",180
T47,T47,Fuzzy Zoeller,70,266.4,"37,298",140
T47,T47,Payne Stewart,95,266.4,"50,621",190
49,49,Clarence Rose,98,266.3,"50,069",188
50,50,Jim Thorpe,85,266.2,"45,247",170
51,51,David Lundstrom,69,265.8,"34,552",130
52,52,Chip Beck,100,265.6,"53,127",200
53,53,Kenny Knox,102,265.5,"54,158",204
54,54,Gary Hallberg,96,265.2,"48,802",184
T55,T55,Dan Halldorson,73,265.0,"38,691",146
T55,T55,Eduardo Romero,74,265.0,"37,099",140
T55,T55,Andy Dillard,71,265.0,"35,512",134
58,58,Adrian Stills,57,264.9,"30,194",114
59,59,Danny Briggs,72,264.8,"36,007",136
60,60,Denny Hepler,59,264.5,"29,097",110
61,61,Andrew Magee,95,264.4,"50,233",190
62,62,Jeff Grygiel,81,264.3,"40,707",154
63,63,Leonard Thompson,93,264.2,"47,024",178
64,64,Dave Eichelberger,66,264.1,"34,867",132
65,65,Buddy Gardner,104,263.8,"54,879",208
66,66,Barry Jaeckel,95,263.4,"50,051",190
67,67,J.C. Snead,95,263.3,"47,916",182
T68,T68,Mark Hayes,89,263.1,"44,722",170
T68,T68,Scott Hoch,86,263.1,"43,152",164
T70,T70,John Mahaffey,90,262.9,"47,327",180
T70,T70,Tom Pernice Jr.,87,262.9,"45,752",174
T70,T70,Mark Wiebe,93,262.9,"48,902",186
73,73,Dave Barr,84,262.6,"44,118",168
74,74,Rex Caldwell,88,262.4,"44,086",168
T75,T75,Brian Claar,82,262.3,"40,925",156
T75,T75,Mike Nicolette,61,262.3,"30,948",118
77,77,Hal Sutton,95,262.2,"49,816",190
T78,T78,Tom Gleeton,70,262.1,"34,591",132
T78,T78,Gene Sauers,116,262.1,"58,717",224
80,80,T.C. Chen,61,261.9,"31,946",122
