RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL DISTANCE,TOTAL DRIVES
1,1,Robert Garrigus,83,312,"49,299",158
2,2,Bubba Watson,73,311.4,"45,471",146
3,3,Dustin Johnson,85,308.3,"51,792",168
4,4,Tag Ridings,50,307.4,"27,053",88
5,5,Gary Woodland,53,307.3,"28,889",94
6,6,Nick Watney,86,305.3,"52,505",172
7,7,J.B. Holmes,74,304.6,"45,088",148
8,8,Ángel Cabrera,55,304.1,"32,846",108
9,9,Troy Matteson,95,301.7,"54,911",182
10,10,Harrison Frazar,93,301,"53,582",178
11,12,Charley Hoffman,97,300.8,"58,363",194
12,11,Scott Piercy,85,300.6,"48,703",162
13,13,Phil Mickelson,66,300.1,"37,818",126
T14,T14,Davis Love III,89,299.9,"52,188",174
T14,T14,Martin Laird,72,299.9,"41,989",140
16,T16,Anthony Kim,76,299,"44,255",148
17,18,Marc Leishman,91,298.6,"51,951",174
T18,T19,Sergio Garcia,59,298.5,"34,630",116
T18,T19,Andres Romero,58,298.5,"34,024",114
T18,T16,Charles Warren,63,298.5,"34,024",114
21,21,Tiger Woods,64,298.4,"36,997",124
22,22,Bill Haas,91,298.3,"51,902",174
23,23,Matt Jones,56,298,"29,797",100
24,24,Fred Couples,54,297.5,"32,125",108
25,25,Lucas Glover,93,297.4,"55,322",186
T26,26,Ryan Palmer,78,297.1,"46,350",156
T26,T28,Daniel Chopra,89,297.1,"52,888",178
28,T28,Hunter Mahan,94,297,"54,648",184
29,T28,John Merrick,91,296.9,"49,288",166
T30,27,Leif Olson,51,296.5,"27,869",94
T30,T31,Kevin Streelman,97,296.5,"55,157",186
T30,T31,John Rollins,92,296.5,"52,179",176
T33,33,Jonathan Byrd,89,295.9,"50,307",170
T33,34,Ryan Moore,89,295.9,"50,299",170
35,35,Steve Marino,98,295.7,"55,584",188
36,36,Jason Day,61,295.3,"31,307",106
37,39,Adam Scott,53,294.9,"30,667",104
38,T37,Nicholas Thompson,96,294.8,"55,421",188
39,40,Stewart Cink,79,294.7,"43,025",146
40,41,John Senden,100,294.2,"58,836",200
T41,43,Vijay Singh,71,293.9,"40,556",138
T41,T44,Jeff Overton,92,293.9,"51,724",176
43,42,Michael Letzig,96,293.8,"54,051",184
44,T44,J.J. Henry,97,293.7,"54,627",186
45,T44,Ted Purdy,101,293.6,"54,601",186
46,47,Sean O'Hair,80,293.3,"44,579",152
47,T48,Rory Sabbatini,81,293.2,"46,911",160
T48,T50,Robert Allenby,71,293.1,"41,040",140
T48,T50,Kenny Perry,92,293.1,"53,339",182
T50,53,Camilo Villegas,76,293,"42,778",146
T50,T50,Peter Tomasulo,61,293,"32,232",110
52,T48,Matt Bettencourt,98,292.9,"57,409",196
T53,54,David Duval,56,292.7,"32,784",112
T53,55,Charles Howell III,99,292.7,"53,268",182
55,56,Ricky Barnes,67,292.6,"34,522",118
56,T58,Bo Van Pelt,100,292.5,"53,825",184
57,57,Bill Lunde,83,292.4,"47,361",162
58,T58,Retief Goosen,74,292.3,"42,679",146
T59,T61,Tim Herron,87,292.1,"50,819",174
T59,T61,Greg Owen,97,292.1,"51,997",178
61,60,George McNeill,82,292,"46,727",160
62,65,Boo Weekley,79,291.7,"44,920",154
T63,T66,James Nitties,86,291.5,"47,811",164
T63,T66,Geoff Ogilvy,78,291.5,"41,981",144
T65,T66,Joe Ogilvie,85,291.4,"48,366",166
T65,T63,Kris Blanks,60,291.4,"31,469",108
67,T69,Y.E. Yang,83,291.3,"46,029",158
68,71,Ernie Els,70,291.2,"38,437",132
69,T72,Mathew Goggin,76,291.1,"43,081",148
T70,74,Chad Campbell,90,291,"50,050",172
T70,75,Jimmy Walker,74,291,"39,581",136
T72,T69,Jason Gore,74,290.7,"40,123",138
T72,76,Chris Stroud,88,290.7,"48,833",168
74,77,Steve Lowery,83,290.6,"48,237",166
T75,T78,Brendon de Jonge,90,290.3,"49,925",172
T75,T78,Kevin Stadler,65,290.3,"33,099",114
77,80,Stuart Appleby,79,290.1,"45,255",156
78,T85,Will MacKenzie,69,289.4,"39,931",138
79,T88,D.J. Trahan,96,289.2,"55,519",192
T80,T85,Kevin Sutherland,96,289.1,"54,922",190
T80,T82,Michael Allen,73,289.1,"39,896",138
82,90,Brad Adamonis,70,289,"39,303",136
83,T82,Jeff Maggert,79,288.9,"45,654",158
T84,T85,Brian Bateman,55,288.7,"31,760",110
T84,84,Matt Weibring,65,288.7,"34,062",118
86,T88,Carl Pettersson,86,288.6,"49,643",172
87,92,Pat Perez,74,288.5,"41,542",144
88,91,Johnson Wagner,81,288.4,"46,720",162
89,93,Brian Vranesh,51,288.2,"27,089",94
T90,T96,Justin Rose,71,288.1,"40,332",140
T90,94,Rod Pampling,72,288.1,"40,909",142
92,T96,Aaron Baddeley,66,287.8,"37,414",130
93,T96,Brett Quigley,92,287.5,"48,302",168
94,T100,Stephen Ames,77,287.4,"43,107",150
T95,95,Tommy Armour III,58,287.3,"33,332",116
T95,T96,Jarrod Lyle,65,287.3,"32,756",114
T97,102,Cameron Beckman,87,287,"47,650",166
T97,T100,Heath Slocum,95,287,"52,238",182
99,103,Woody Austin,84,286.9,"48,194",168
T100,105,Kirk Triplett,60,286.4,"34,371",120
T100,T107,Derek Fathauer,63,286.4,"32,653",114
T102,104,Webb Simpson,94,286.2,"53,814",188
T102,T107,Jason Dufner,90,286.2,"49,229",172
T104,109,Steve Stricker,81,286.1,"45,210",158
T104,106,Mark Calcavecchia,72,286.1,"41,204",144
106,T110,Padraig Harrington,66,285.8,"37,156",130
107,T110,Steve Elkington,70,285.3,"39,942",140
108,113,Jason Bohn,88,285.1,"50,171",176
T109,T118,Ben Crane,93,285,"53,001",186
T109,T114,Scott Sterling,51,285,"24,511",86
T109,112,Casey Wittenberg,71,285,"35,913",126
112,117,Charlie Wi,92,284.9,"52,419",184
113,T114,Todd Hamilton,83,284.8,"46,141",162
T114,T120,Jerry Kelly,90,284.7,"46,698",164
T114,T120,Scott McCarron,91,284.7,"51,824",182
T114,T114,Rich Beem,77,284.7,"39,295",138
117,T118,Steve Flesch,77,284.4,"43,800",154
118,125,Mark Wilson,99,284.3,"54,008",190
T119,122,David Toms,98,284.2,"53,427",188
T119,T123,Billy Mayfair,83,284.2,"47,172",166
T119,126,Greg Chalmers,85,284.2,"43,770",154
122,T123,Freddie Jacobson,83,284.1,"46,030",162
T123,T129,Nathan Green,104,283.5,"56,696",200
T123,128,Jay Williamson,69,283.5,"34,585",122
T123,127,Justin Leonard,95,283.5,"51,600",182
T123,T129,Bob Heintz,59,283.5,"31,182",110
127,T131,Brian Davis,103,283.3,"56,092",198
128,135,Matt Kuchar,82,283.2,"46,447",164
T129,T136,Vaughn Taylor,88,283.1,"47,560",168
T129,T136,Bryce Molder,69,283.1,"34,537",122
T129,T133,Ken Duke,87,283.1,"49,251",174
T129,T131,Rocco Mediate,79,283.1,"42,469",150
T133,138,Tim Petrovic,97,282.8,"53,730",190
T133,139,Ian Poulter,59,282.8,"31,672",112
T133,T133,Eric Axley,71,282.8,"37,896",134
136,140,Kevin Na,91,282.7,"49,195",174
137,T141,Bob Estes,78,282.6,"44,091",156
138,T144,Briny Baird,89,282.1,"47,949",170
139,143,Lee Janzen,74,282,"38,354",136
140,T141,Tom Pernice Jr.,82,281.9,"46,235",164
T141,147,Kent Jones,73,281.3,"36,568",130
T141,T148,D.A. Points,99,281.3,"52,324",186
T143,T150,Zach Johnson,94,281.2,"51,742",184
T143,T148,Alex Cejka,82,281.2,"43,305",154
145,T150,Scott Verplank,88,281.1,"47,223",168
146,T144,Patrick Sheehan,51,281,"24,168",86
147,T150,Jeff Klauk,97,280.9,"53,375",190
148,146,David Mathis,82,280.8,"42,689",152
149,153,Cliff Kresge,78,280.5,"40,394",144
T150,T157,Tim Clark,81,280.1,"43,697",156
T150,T157,K.J. Choi,65,280.1,"35,848",128
152,T160,Jim Furyk,86,279.9,"46,471",166
153,T155,Darron Stiles,52,279.8,"26,857",96
T154,T157,Chez Reavie,81,279.6,"43,065",154
T154,T155,Aron Price,89,279.6,"45,296",162
T154,T160,Colt Knost,71,279.6,"35,234",126
T157,166,Marc Turnesa,77,279.5,"43,045",154
T157,T160,Parker McLachlin,71,279.5,"39,682",142
T157,165,Ben Curtis,63,279.5,"34,661",124
T157,T167,Joe Durant,62,279.5,"30,190",108
T157,154,Peter Lonard,86,279.5,"45,844",164
T157,163,Chris DiMarco,97,279.5,"51,991",186
163,T167,Mike Weir,85,279.3,"46,930",168
164,169,John Mallinger,90,279.1,"47,998",172
165,164,Spencer Levin,75,279,"39,611",142
166,170,Rick Price,54,278.6,"26,743",96
167,171,Chris Riley,77,278.5,"39,551",142
168,172,Ryuji Imada,85,278.4,"47,333",170
169,173,Brandt Snedeker,81,277.3,"42,703",154
170,174,Nick O'Hern,90,277,"47,639",172
171,175,Brendon Todd,53,276.2,"28,176",102
172,176,Paul Goydos,79,275.8,"42,475",154
173,177,Luke Donald,79,275.7,"41,901",152
174,178,Glen Day,79,275,"39,054",142
175,179,Bart Bryant,58,274.6,"29,652",108
176,180,Richard Johnson,85,274,"46,028",168
177,181,Jeff Quinney,78,273.4,"42,647",156
178,182,Greg Kraft,51,273.1,"25,669",94
179,183,Tom Lehman,55,272.2,"27,768",102
180,184,Brad Faxon,59,270.8,"31,950",118
181,185,Dean Wilson,81,270.3,"41,629",154
182,186,Mark Brooks,55,269.2,"25,309",94
183,187,Brian Gay,96,268.5,"49,400",184
184,188,Corey Pavin,73,259,"33,666",130
