RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL DISTANCE,TOTAL DRIVES
1,1,Andy Bean,96,278.2,"53,405",192
2,2,Fred Couples,97,276.9,"53,710",194
3,3,Greg Norman,59,276.6,"32,634",118
4,4,Mac O'Grady,79,276.1,"43,622",158
5,5,Joey Sindelar,120,274.8,"65,953",240
6,6,Greg Twiggs,82,274.4,"45,002",164
7,7,Tom Watson,68,274.3,"37,299",136
8,9,Bill Glasson,92,273.1,"50,246",184
T9,T10,Tom Purtzer,91,273.0,"49,677",182
T9,T10,Jim Dent,86,273.0,"46,960",172
11,12,Dan Pohl,95,272.0,"51,673",190
12,13,Lon Hinkle,87,271.9,"47,312",174
13,14,Ivan Smith,55,271.8,"29,894",110
14,15,Mark McCumber,72,271.0,"39,024",144
15,16,Clarence Rose,113,270.5,"61,134",226
16,17,Mick Soli,74,270.4,"40,019",148
17,18,Bernhard Langer,59,269.7,"31,824",118
18,19,Craig Stadler,86,269.3,"46,314",172
19,20,Bobby Wadkins,108,269.1,"58,124",216
20,21,Mark O'Meara,86,268.8,"46,237",172
21,22,John DeForest,54,268.6,"29,006",108
T22,T23,Bruce Lietzke,63,268.3,"33,805",126
T22,T23,Fuzzy Zoeller,75,268.3,"40,238",150
24,25,George Burns,101,268.2,"54,176",202
25,26,Phil Blackmar,84,267.9,"45,013",168
26,27,T.C. Chen,62,267.5,"33,166",124
T27,T28,David Graham,75,267.2,"40,074",150
T27,T28,Payne Stewart,96,267.2,"51,294",192
29,30,Denis Watson,66,267.1,"35,254",132
30,31,Hal Sutton,101,266.6,"53,845",202
31,32,Paul Azinger,105,266.4,"55,948",210
T32,T33,Buddy Gardner,103,266.2,"54,836",206
T32,T33,Gil Morgan,84,266.2,"44,721",168
34,35,Tom Sieckmann,82,266.1,"43,638",164
35,36,Ronnie Black,101,265.8,"53,694",202
36,37,Keith Fergus,92,265.7,"48,897",184
37,38,Donnie Hammond,99,265.6,"52,597",198
38,39,Gary Hallberg,83,265.5,"44,071",166
39,40,Jay Delsing,83,265.4,"44,057",166
40,41,Howard Twitty,114,265.3,"60,495",228
41,42,Jodie Mudd,102,265.2,"54,097",204
T42,T43,Ken Green,100,265.1,"53,017",200
T42,T43,Raymond Floyd,86,265.1,"45,595",172
44,45,Dan Forsman,84,265.0,"44,527",168
T45,T46,Nick Price,67,264.8,"35,489",134
T45,T46,Tommy Valentine,83,264.8,"43,963",166
47,49,Jack Nicklaus,58,264.5,"30,681",116
48,50,Ernie Gonzalez,66,264.3,"34,886",132
49,51,Billy Kratzert,99,264.2,"52,321",198
