RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL DISTANCE,TOTAL DRIVES
1,1,John Daly,71,301.4,"41,590",138
2,2,Tiger Woods,82,298.0,"42,917",144
T3,T3,Davis Love III,98,288.7,"50,808",176
T3,T3,Phil Mickelson,85,288.7,"43,888",152
5,5,Scott McCarron,100,288.5,"56,543",196
6,6,Casey Martin,90,288.3,"50,745",176
7,7,Harrison Frazar,72,287.3,"40,220",140
8,8,Stuart Appleby,86,286.4,"44,105",154
9,9,Mathew Goggin,91,286.3,"50,955",178
10,10,Robert Allenby,98,285.8,"51,437",180
11,11,Rory Sabbatini,85,285.5,"47,110",165
12,12,Tim Herron,96,285.0,"52,439",184
13,13,Fred Couples,71,284.7,"37,577",132
14,14,Carl Paulson,105,284.6,"58,629",206
T15,15,Kelly Gibson,84,284.3,"46,625",164
T15,17,Dennis Paulson,82,284.3,"43,779",154
17,16,Barry Cheesman,96,284.1,"52,835",186
18,18,David Duval,73,283.5,"35,437",125
T19,19,Paul Stankowski,77,283.4,"41,377",146
T19,20,Duffy Waldorf,80,283.4,"42,512",150
21,21,Kenny Perry,76,282.8,"42,992",152
22,22,Michael Clark II,84,282.1,"45,134",160
23,23,Brandt Jobe,91,281.7,"49,581",176
24,24,Craig Barlow,98,281.3,"54,013",192
25,25,Aaron Bengoechea,75,281.2,"40,777",145
26,26,Shigeki Maruyama,88,281.1,"45,534",162
27,27,Bill Glasson,93,280.8,"52,220",186
28,28,Tommy Armour III,91,280.3,"49,898",178
29,29,Cameron Beckman,81,280.1,"45,369",162
30,30,Vijay Singh,97,279.9,"48,989",175
31,31,Mark Calcavecchia,99,279.7,"48,952",175
32,32,Steve Flesch,123,279.2,"65,329",234
33,33,Grant Waite,85,279.0,"47,436",170
T34,T34,Tom Purtzer,58,278.9,"31,239",112
T34,T34,J.L. Lewis,104,278.9,"56,892",204
T34,T34,Robert Damron,93,278.9,"50,757",182
37,37,Doug Dunakey,83,278.7,"44,593",160
38,38,Ernie Els,74,278.4,"35,631",128
T39,39,Andrew Magee,78,278.3,"40,630",146
T39,T56,Sergio Garcia,59,278.3,"26,720",96
41,40,Steve Jones,75,278.2,"37,278",134
42,41,Greg Chalmers,96,278.1,"51,167",184
43,42,David Peoples,99,278.0,"55,042",198
44,43,Bob Heintz,87,277.9,"47,240",170
T45,T44,Stewart Cink,98,277.8,"50,568",182
T45,T44,Rich Beem,84,277.8,"45,010",162
47,47,Charles Raulerson,98,277.7,"54,428",196
T48,T44,Chris DiMarco,118,277.6,"62,177",224
T48,48,Bob Burns,91,277.6,"49,418",178
T50,T49,Paul Azinger,73,277.5,"37,743",136
T50,T49,John Rollins,72,277.5,"39,957",144
T52,T51,Steve Lowery,107,277.1,"57,635",208
T52,T51,Shaun Micheel,94,277.1,"50,431",182
54,53,Joe Ogilvie,95,277.0,"50,412",182
55,54,Steve Stricker,63,276.8,"32,665",118
56,55,Brad Elder,110,276.6,"60,846",220
T57,T56,Brett Quigley,63,276.4,"34,829",126
T57,60,Bob May,95,276.4,"48,101",174
T57,T56,Craig Stadler,70,276.4,"36,486",132
T57,T56,Ted Tryba,112,276.4,"60,253",218
61,61,Edward Fryatt,101,276.2,"53,585",194
62,62,Jean Van de Velde,70,276.0,"34,773",126
T63,T63,Peter Jacobsen,65,275.8,"35,858",130
T63,T63,Jay Williamson,105,275.8,"56,259",204
65,65,Bobby Cochran,78,275.7,"41,910",152
66,66,Michael Bradley,73,275.5,"40,226",146
67,67,Hal Sutton,93,275.4,"47,921",174
T68,T69,David Toms,113,275.2,"57,787",210
T68,68,Joel Edwards,99,275.2,"54,224",197
T68,T80,Carlos Franco,85,275.2,"45,133",164
71,T69,Jonathan Kaye,115,275.1,"61,633",224
72,71,Russ Cochran,71,275.0,"39,048",142
T73,T72,Robin Freeman,98,274.9,"53,874",196
T73,T72,K.J. Choi,92,274.9,"48,927",178
T75,T74,Jason Buha,82,274.8,"45,073",164
T75,T78,Chris Perry,109,274.8,"56,332",205
T75,T74,Tommy Tolles,60,274.8,"32,975",120
T78,T76,Scott Dunlap,106,274.7,"57,131",208
T78,T76,Stephen Ames,99,274.7,"52,194",190
80,T78,Jerry Kelly,111,274.6,"60,959",222
T81,T80,Woody Austin,104,274.5,"55,446",202
T81,T80,Steve Elkington,59,274.5,"29,641",108
83,83,Lee Janzen,92,274.4,"48,851",178
84,84,Tom Scherrer,104,274.1,"54,263",198
