RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL DISTANCE,TOTAL DRIVES
1,1,Dan Pohl,96,274.3,"51,839",189
2,2,Buddy Gardner,108,272.9,"58,138",213
3,3,Fuzzy Zoeller,80,271.5,"43,167",159
T4,T4,Tommy Valentine,74,270.4,"39,745",147
T4,T4,Joe Hager,73,270.4,"38,932",144
6,6,J.C. Snead,113,270.3,"58,115",215
7,7,Dana Quigley,84,269.7,"44,774",166
8,8,Tom Purtzer,93,269.4,"49,025",182
9,9,Tom Weiskopf,88,269.1,"46,015",171
10,10,Jack Nicklaus,49,269.0,"26,091",97
11,14,Stanton Altgelt,68,268.5,"36,245",135
12,12,Barney Thompson,54,268.2,"28,970",108
13,11,Jim Thorpe,80,268.0,"42,617",159
14,13,Ed Dougherty,62,267.9,"32,684",122
15,16,Keith Fergus,91,267.5,"47,890",179
T16,15,Jim Dent,64,267.3,"33,410",125
T16,17,Peter Jacobsen,102,267.3,"51,047",191
18,18,Mike White,51,267.0,"26,437",99
19,19,Mick Soli,53,266.8,"27,751",104
20,20,Lon Hinkle,78,266.5,"40,775",153
21,T25,Bill Sander,66,266.3,"34,351",129
22,21,Bruce Lietzke,87,266.2,"44,996",169
23,22,Craig Stadler,91,266.1,"47,105",177
T24,T25,Bill Calfee,90,266.0,"46,808",176
T24,23,Tom Watson,88,266.0,"46,277",174
26,24,John Fought,102,265.8,"53,423",201
27,27,Terry Mauney,99,265.7,"49,693",187
28,29,Larry Ziegler,84,265.0,"43,989",166
29,28,Andy Bean,104,264.9,"53,518",202
T30,30,John Adams,61,264.7,"31,762",120
T30,31,Greg Powers,71,264.7,"36,531",138
T30,32,Jerry Pate,95,264.7,"49,226",186
33,T33,Dave Eichelberger,110,264.0,"54,113",205
34,T35,Billy Kratzert,115,263.6,"60,106",228
35,T33,Andy North,81,263.5,"41,895",159
36,T35,Tim Simpson,83,263.4,"42,930",163
T37,T35,George Burns,106,263.2,"55,265",210
T37,T35,Stan Lee,59,263.2,"31,059",118
39,42,Beau Baugh,62,263.0,"32,084",122
40,39,Mark Lye,104,262.8,"53,621",204
41,43,Roger Calvin,62,262.7,"32,312",123
42,T40,Woody Blackburn,66,262.6,"33,089",126
43,T40,Dave Barr,53,262.4,"25,194",96
44,,Mike Donald,50,262.0,"25,938",99
T45,44,Brad Bryant,113,261.5,"57,529",220
T45,45,Leonard Thompson,100,261.5,"52,039",199
T47,51,George Cadle,97,261.4,"48,880",187
T47,T46,Mark McCumber,91,261.4,"47,043",180
49,T46,Bob Byman,70,261.3,"34,753",133
50,T46,Forrest Fezler,64,261.0,"31,580",121
T51,T46,Steve Melnyk,75,260.9,"37,052",142
T51,50,Jack Newton,56,260.9,"28,436",109
T53,T52,Bob Shearer,52,260.7,"26,072",100
T53,T52,Jim Chancey,66,260.7,"32,853",126
T55,T56,Chip Beck,76,260.6,"38,570",148
T55,54,Victor Regalado,95,260.6,"47,688",183
57,T56,Dan Halldorson,95,260.5,"48,194",185
58,59,Mike Sullivan,95,260.2,"48,399",186
59,60,Ed Fiori,105,260.1,"53,055",204
60,T56,Wayne Levi,102,260.0,"52,515",202
61,55,Charles Coody,86,259.8,"42,869",165
62,T64,Frank Conner,91,259.6,"45,944",177
T63,61,Vance Heafner,52,259.5,"28,802",111
T63,T66,Ron Terry,56,259.5,"28,801",111
T65,T62,David Graham,71,259.4,"35,794",138
T65,T62,Doug Black,52,259.4,"26,980",104
67,T64,Lee Trevino,82,259.2,"40,961",158
68,T66,Ben Crenshaw,101,259.1,"51,301",198
69,69,Lonnie Nielsen,87,258.9,"42,196",163
T70,78,Jon Chaffee,58,258.7,"28,456",110
T70,68,Skeeter Heath,56,258.7,"28,455",110
72,T71,Mark Pfeil,83,258.5,"42,655",165
73,T71,Bobby Wadkins,116,258.3,"59,157",229
T74,T73,Peter Oosterhuis,95,258.2,"48,017",186
T74,T76,Jeff Mitchell,90,258.2,"45,179",175
T76,T73,Bruce Douglass,51,258.1,"25,548",99
T76,70,David Edwards,79,258.1,"39,238",152
T78,T76,Raymond Floyd,103,258.0,"52,641",204
T78,T73,Phillip Hancock,89,258.0,"44,374",172
80,79,Johnny Miller,62,257.6,"30,913",120
81,81,Miller Barber,107,257.5,"53,304",207
T82,80,Rod Curl,99,257.2,"50,403",196
T82,82,Mark Hayes,97,257.2,"49,640",193
T84,T83,Bobby Nichols,62,257.1,"31,618",123
T84,T83,Lanny Wadkins,90,257.1,"44,478",173
86,T83,Mike Peck,59,257.0,"29,554",115
T87,88,Tom Jenkins,68,256.7,"34,909",136
T87,87,Jim Colbert,93,256.7,"46,968",183
T87,86,Doug Tewell,91,256.7,"45,698",178
90,T89,Artie McNickle,87,256.3,"43,317",169
91,T89,Bob Mann,62,256.2,"30,235",118
T92,T96,Jerry McGee,83,256.1,"39,946",156
T92,T93,Rex Caldwell,120,256.1,"59,928",234
T92,T96,Bob Gilder,93,256.1,"46,615",182
T95,92,Gil Morgan,88,255.9,"43,763",171
T95,T89,John Schroeder,83,255.9,"40,685",159
97,T99,Danny Edwards,94,255.8,"47,575",186
T98,95,Chi Chi Rodriguez,82,255.6,"42,178",165
T98,T99,Curtis Strange,114,255.6,"57,762",226
T100,T93,Lance Ten Broeck,81,255.5,"40,620",159
T100,T99,Bobby Walzel,83,255.5,"41,385",162
T100,T96,Tom Jones,51,255.5,"25,810",101
103,102,Gary McCord,60,255.3,"29,609",116
T104,103,Larry Nelson,103,254.9,"51,244",201
T104,104,David Eger,75,254.9,"37,474",147
T106,106,Terry Diehl,102,254.6,"50,417",198
T106,105,Fred Marti,50,254.6,"23,678",93
108,107,Mitch Mooney,49,254.2,"24,655",97
109,108,Bobby Cole,54,254.1,"27,190",107
110,109,Mike Morley,87,253.8,"41,121",162
111,110,Jay Haas,112,253.7,"55,805",220
112,T111,Bob Eastwood,84,253.6,"42,105",166
113,T113,Mike Hill,87,253.5,"42,846",169
114,115,Pat McGowan,90,253.4,"44,339",175
