RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL DISTANCE,TOTAL DRIVES
1,1,John Daly,78,299.4,"44,306",148
2,2,Tiger Woods,77,296.3,"40,887",138
3,3,Harrison Frazar,83,289.8,"46,373",160
T4,5,Scott McCarron,85,289.1,"47,412",164
T4,4,Fred Couples,68,289.1,"37,005",128
6,6,David Duval,85,286.8,"45,318",158
7,7,Barry Cheesman,95,284.1,"52,274",184
8,9,Vance Veazey,69,283.9,"37,470",132
9,8,Phil Mickelson,83,283.4,"41,950",148
10,10,Kelly Gibson,109,283.0,"59,999",212
11,11,Steve Jones,84,281.7,"42,823",152
12,12,Steve Flesch,103,281.6,"55,194",196
13,13,Tommy Armour III,87,281.5,"48,417",172
14,14,Chris Smith,94,281.3,"51,204",182
T15,18,Davis Love III,78,281.2,"38,799",138
T15,15,J.L. Lewis,96,281.2,"52,871",188
17,16,Tim Herron,97,281.1,"52,285",186
18,17,Kenny Perry,85,280.4,"45,425",162
19,19,Gary Hallberg,63,280.1,"33,332",119
20,T26,Vijay Singh,97,279.9,"49,816",178
T21,T20,"Jim Gallagher, Jr.",74,279.7,"40,272",144
T21,T20,Bradley Hughes,65,279.7,"35,245",126
23,22,Jay Delsing,75,279.6,"41,383",148
24,T23,John Adams,63,279.4,"34,088",122
T25,T23,John Huston,93,279.3,"49,720",178
T25,25,Stuart Appleby,69,279.3,"35,198",126
27,T26,Robert Damron,91,279.0,"49,100",176
28,31,Mark Calcavecchia,98,278.4,"51,228",184
T29,T28,Duffy Waldorf,84,278.2,"45,630",164
T29,T28,Richie Coughlan,96,278.2,"51,744",186
31,30,Tom Pernice Jr.,83,278.0,"43,371",156
32,32,R.W. Eaks,82,277.7,"44,426",160
T33,T33,Steve Lowery,87,277.4,"47,441",171
T33,T33,Craig Barlow,84,277.4,"44,381",160
T33,T33,Brett Quigley,90,277.4,"48,263",174
36,36,Paul Azinger,70,277.3,"37,159",134
T37,T37,Ted Tryba,107,276.5,"58,068",210
T37,T37,Grant Waite,97,276.5,"52,529",190
39,39,Peter Jacobsen,69,276.3,"35,365",128
40,40,Keith Fergus,53,276.0,"29,252",106
41,41,Phil Blackmar,82,275.9,"44,144",160
42,42,Ernie Els,51,275.4,"24,239",88
43,43,Sandy Lyle,61,275.3,"31,380",114
44,44,Paul Stankowski,80,275.1,"42,369",154
T45,49,Lee Janzen,85,274.9,"42,881",156
T45,45,Brian Henninger,98,274.9,"51,679",188
T47,T46,Trevor Dodds,94,274.8,"47,261",172
T47,T46,Andy Bean,52,274.8,"26,385",96
49,48,Dan Forsman,79,274.7,"41,753",152
50,T51,Bob Tway,104,274.5,"53,801",196
51,50,Brandel Chamblee,84,274.4,"43,901",160
52,T51,Brent Geiberger,89,274.3,"48,821",178
53,T60,Nick Price,65,273.9,"31,767",116
54,53,Jerry Kelly,93,273.7,"50,910",186
T55,54,Dudley Hart,87,273.6,"42,686",156
T55,T58,Andrew Magee,98,273.6,"49,798",182
57,55,Craig Stadler,64,273.5,"32,814",120
T58,63,Hal Sutton,104,273.2,"56,816",208
T58,56,Tommy Tolles,83,273.2,"43,714",160
60,57,Mike Standly,86,273.1,"46,971",172
61,T58,Jim McGovern,88,273.0,"45,870",168
T62,T60,Michael Bradley,70,272.9,"38,200",140
T62,T60,Hugh Royer III,84,272.9,"44,752",164
T64,T64,Kevin Wentworth,81,272.7,"41,993",154
T64,T64,J.P. Hayes,67,272.7,"34,911",128
T66,66,"Dave Stockton, Jr.",67,272.6,"35,444",130
T66,T73,Steve Stricker,82,272.6,"42,521",156
T66,T67,Scott Verplank,99,272.6,"52,347",192
69,T67,Mike Springer,108,272.5,"56,676",208
70,69,Blaine McCallister,104,272.4,"56,654",208
T71,76,Glen Day,92,272.3,"48,467",178
T71,70,Stewart Cink,101,272.3,"50,104",184
73,71,Ronnie Black,80,272.1,"42,444",156
74,72,Russ Cochran,88,272.0,"47,877",176
75,T73,Guy Boros,89,271.9,"47,312",174
76,75,Chris DiMarco,98,271.8,"52,193",192
T77,T77,David Toms,89,271.5,"45,610",168
T77,T77,Ben Bates,103,271.5,"53,752",198
T79,T79,Rick Fehr,65,271.3,"33,646",124
T79,T79,Mike Weir,81,271.3,"41,231",152
81,81,Steve Pate,88,271.2,"46,105",170
82,82,Franklin Langham,94,271.0,"49,327",182
83,83,Gabriel Hjertstedt,74,270.9,"39,011",144
T84,T84,Jonathan Kaye,65,270.8,"34,120",126
T84,90,Payne Stewart,76,270.8,"38,447",142
T84,T84,Kevin Sutherland,103,270.8,"53,617",198
T84,T84,Greg Kraft,83,270.8,"44,407",164
88,87,Rocco Mediate,86,270.7,"43,858",162
89,88,Chris Perry,111,270.6,"57,373",212
90,89,John Riegger,87,270.5,"44,360",164
91,93,Tom Lehman,81,270.4,"40,827",151
92,92,Billy Mayfair,94,270.2,"46,472",172
93,91,Steve Jurgensen,72,270.1,"38,350",142
94,94,Neal Lancaster,90,269.7,"45,841",170
T95,T95,Bobby Wadkins,93,269.6,"47,983",178
T95,T95,Kent Jones,91,269.6,"46,369",172
T97,T97,Doug Barron,90,269.5,"47,973",178
T97,T97,Joey Sindelar,100,269.5,"51,738",192
T97,T97,Bob Gilder,84,269.5,"43,127",160
T100,T100,Craig Parry,50,269.4,"24,242",90
T100,T100,Tim Conley,72,269.4,"37,173",138
102,T102,David Sutherland,97,269.3,"49,543",184
T103,T104,Stephen Ames,52,269.1,"25,829",96
T103,T104,P.H. Horgan III,107,269.1,"55,973",208
T103,T104,Mike Hulbert,91,269.1,"47,891",178
T106,107,Skip Kendall,106,269.0,"54,331",202
T106,T102,Bob Estes,106,269.0,"53,255",198
T108,T108,Robert Gamez,69,268.9,"37,110",138
T108,T108,Joe Durant,79,268.9,"41,409",154
110,112,Jim Furyk,104,268.8,"51,616",192
111,110,Mark Carnevale,94,268.7,"49,972",186
112,111,Brian Kamm,73,268.5,"37,048",138
T113,T113,Brad Fabel,92,268.2,"49,355",184
