RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL DISTANCE,TOTAL DRIVES
1,1,John Daly,62,306.8,"35,594",116
2,2,Boo Weekley,57,297.0,"33,261",112
3,3,Mathew Goggin,64,296.1,"36,713",124
T4,4,Charles Howell III,118,293.7,"64,019",218
T4,5,Dennis Paulson,89,293.7,"50,520",172
6,6,Tiger Woods,69,293.3,"37,546",128
7,7,Tim Herron,102,293.2,"56,596",193
8,T8,Brett Wetterich,89,292.7,"49,755",170
9,10,Chris Smith,103,292.2,"54,357",186
10,T8,Rich Beem,99,292.1,"54,906",188
T11,T12,Bo Van Pelt,78,290.8,"44,194",152
T11,T12,David Duval,78,290.8,"40,717",140
13,14,Carlos Franco,107,290.7,"59,305",204
T14,T15,Jonathan Byrd,96,290.5,"52,864",182
T14,11,Sergio Garcia,79,290.5,"39,504",136
T14,T15,Harrison Frazar,88,290.5,"50,540",174
17,17,Brenden Pappas,62,290.1,"35,398",122
18,18,Eduardo Herrera,59,290.0,"33,641",116
19,19,John Senden,96,289.9,"50,451",174
20,20,Steve Allan,93,289.7,"51,564",178
21,21,Geoff Ogilvy,90,289.4,"48,612",168
22,22,Tommy Tolles,64,289.3,"35,871",124
T23,T24,Stuart Appleby,97,289.0,"50,004",173
T23,T24,Rory Sabbatini,69,289.0,"36,992",128
25,23,Phil Mickelson,97,288.8,"51,406",178
T26,T26,Fred Couples,64,288.6,"34,058",118
T26,T26,Brian Bateman,94,288.6,"51,363",178
T26,T26,J.J. Henry,112,288.6,"60,606",210
T26,T26,Phil Tataurangi,88,288.6,"48,491",168
T30,31,Carl Paulson,84,287.7,"46,609",162
T30,30,Davis Love III,92,287.7,"47,750",166
32,32,Kenneth Staton,104,287.6,"56,952",198
33,33,Tripp Isenhour,68,287.4,"38,506",134
34,35,Paul Stankowski,100,287.0,"55,671",194
35,T36,Ian Leggatt,97,286.9,"51,633",180
36,34,Robert Allenby,96,286.7,"52,179",182
37,T36,Kenny Perry,98,286.4,"53,839",188
38,38,Stephen Gangluff,75,286.2,"41,792",146
T39,T39,Ben Crane,91,286.1,"50,352",176
T39,T39,Jonathan Kaye,83,286.1,"44,053",154
41,T41,Rod Pampling,98,285.9,"52,035",182
T42,T43,Joey Sindelar,104,285.8,"56,582",198
T42,T43,J.L. Lewis,98,285.8,"53,738",188
T42,T43,Brandt Jobe,94,285.8,"53,150",186
45,47,Steve Flesch,110,285.7,"57,993",203
46,T41,Vijay Singh,102,285.6,"53,700",188
T47,T43,Scott McCarron,106,285.5,"51,674",181
T47,48,Mark Calcavecchia,84,285.5,"42,259",148
49,49,Steve Stricker,68,285.1,"32,502",114
50,50,Michael Allen,76,285.0,"41,608",146
51,51,Craig Barlow,62,284.7,"32,452",114
52,52,Duffy Waldorf,90,284.5,"46,660",164
53,53,Shaun Micheel,100,284.3,"54,292",191
54,54,Bob Heintz,68,284.2,"38,082",134
T55,T55,"David Berganio, Jr.",80,284.0,"43,161",152
T55,T55,Michael Clark II,97,284.0,"51,967",183
T55,T55,Edward Fryatt,94,284.0,"50,551",178
T58,T58,Deane Pappas,90,283.9,"48,265",170
T58,T58,Grant Waite,98,283.9,"53,376",188
60,61,Lee Janzen,101,283.7,"51,636",182
61,62,Bob Tway,103,283.6,"53,321",188
62,60,K.J. Choi,93,283.1,"49,262",174
T63,T63,Tom Lehman,78,283.0,"38,493",136
T63,T63,Frank Lickliter II,94,283.0,"49,243",174
65,65,Andrew Magee,91,282.9,"48,666",172
T66,T66,Brent Geiberger,95,282.8,"50,339",178
T66,T66,Per-Ulrik Johansson,87,282.8,"48,648",172
68,68,Robert Gamez,69,282.6,"37,868",134
69,69,Russ Cochran,68,282.5,"37,850",134
70,70,Brett Quigley,93,282.3,"50,810",180
T71,T71,Cameron Beckman,87,282.2,"46,279",164
T71,T71,Briny Baird,110,282.2,"60,388",214
73,73,Stephen Ames,89,282.1,"46,269",164
T74,T74,Tommy Armour III,82,282.0,"45,121",160
T74,T74,Robin Freeman,79,282.0,"41,735",148
T76,T76,Neal Lancaster,101,281.9,"54,133",192
T76,T76,Michael Long,71,281.9,"38,906",138
T78,T78,Jason Hill,59,281.8,"32,689",116
T78,T78,Jess Daley,76,281.8,"41,713",148
80,80,Paul Gow,99,281.7,"52,964",188
81,81,John Huston,99,281.6,"52,375",186
T82,T82,Peter Jacobsen,67,281.5,"37,163",132
T82,T82,Chad Campbell,111,281.5,"59,684",212
T84,T82,Ernie Els,68,281.4,"32,640",116
T84,85,Peter Lonard,93,281.4,"50,093",178
T86,T86,Hidemichi Tanaka,104,281.2,"56,248",200
T86,T86,Bradley Hughes,60,281.2,"32,617",116
88,88,Steve Pate,64,281.1,"33,165",118
89,89,David Gossett,95,281.0,"51,698",184
T90,T91,Notah Begay III,76,280.8,"40,433",144
T90,T91,Greg Chalmers,94,280.8,"49,981",178
T92,T93,Tim Petrovic,92,280.6,"47,984",171
T92,T93,David Peoples,105,280.6,"57,242",204
T94,90,Steve Lowery,98,280.5,"51,058",182
T94,T96,Steve Elkington,82,280.5,"41,516",148
T94,T96,Kaname Yokoo,74,280.5,"39,832",142
T94,T96,Pat Perez,89,280.5,"47,957",171
98,T99,Craig Stadler,72,280.4,"37,578",134
99,T101,Jeff Brehaut,87,280.2,"47,639",170
T100,T104,Mike Weir,94,280.0,"48,725",174
T100,T104,Brad Elder,76,280.0,"40,318",144
T100,T93,Shigeki Maruyama,87,280.0,"46,476",166
T103,T106,Woody Austin,102,279.9,"53,749",192
T103,T106,Tom Pernice Jr.,101,279.9,"53,748",192
T105,T99,Bob Estes,93,279.8,"46,452",166
T105,108,Billy Andrade,100,279.8,"50,917",182
T105,T101,Retief Goosen,56,279.8,"27,975",100
108,T101,Chris DiMarco,111,279.7,"55,379",198
T109,T110,John Riegger,88,279.6,"45,848",164
T109,T110,Stewart Cink,92,279.6,"46,417",166
111,112,Garrett Willis,80,279.4,"43,029",154
T112,109,John Rollins,124,279.3,"65,363",234
T112,T113,Tom Scherrer,98,279.3,"51,383",184
T114,T115,Jesper Parnevik,85,279.2,"43,549",156
T114,T113,David Toms,106,279.2,"54,159",194
T114,T115,Joe Ogilvie,50,279.2,"27,357",98
117,118,Donnie Hammond,60,279.1,"31,816",114
118,119,Jeff Gove,89,279.0,"49,109",176
119,T115,Justin Leonard,97,278.7,"49,606",178
120,120,Craig Perks,91,278.5,"46,223",166
T121,T121,Brian Henninger,66,278.3,"35,617",128
T121,T121,Craig Parry,69,278.3,"37,291",134
123,123,Robert Damron,85,278.0,"44,479",160
124,T124,Kent Jones,105,277.8,"56,108",202
125,126,Joel Edwards,101,277.6,"56,074",202
T126,T124,Rocco Mediate,79,277.3,"38,272",138
T126,T127,Hal Sutton,74,277.3,"38,826",140
T126,T127,Bryce Molder,65,277.3,"33,827",122
129,130,J.P. Hayes,78,277.1,"41,567",150
T130,T127,Len Mattiace,106,276.9,"55,381",200
T130,131,Steve Jones,71,276.9,"34,330",124
132,132,Dudley Hart,88,276.7,"45,385",164
133,133,Dicky Pride,51,276.3,"27,074",98
134,134,Paul Azinger,69,276.2,"34,797",126
135,135,Franklin Langham,72,276.1,"37,544",136
T136,T136,Matt Gogel,79,275.9,"40,834",148
T136,T136,Spike McRoy,69,275.9,"36,970",134
T136,T136,David Morland IV,58,275.9,"31,448",114
139,139,Jay Williamson,91,275.8,"49,086",178
140,140,Tim Clark,76,275.7,"38,598",140
141,141,Jim Carter,98,275.3,"50,657",184
T142,T142,Bart Bryant,69,275.2,"35,227",128
T142,T142,Jerry Smith,91,275.2,"47,334",172
144,144,Glen Hnatiuk,95,275.1,"50,624",184
T145,T145,Kevin Sutherland,96,275.0,"47,300",172
T145,T145,Bob May,91,275.0,"48,125",175
T145,T145,Brad Lardon,59,275.0,"31,348",114
T145,T145,Kirk Triplett,84,275.0,"42,353",154
T145,T145,Mark O'Meara,68,275.0,"32,448",118
T150,T150,Blaine McCallister,75,274.9,"39,580",144
T150,T150,Jeff Maggert,83,274.9,"42,329",154
152,152,Joe Durant,87,274.8,"44,523",162
T153,T153,Frank Nobilo,94,274.7,"49,997",182
T153,T153,Mike Sposa,111,274.7,"58,778",214
T153,T153,Dan Forsman,83,274.7,"43,404",158
156,156,Luke Donald,106,274.6,"56,024",204
157,T157,Miguel Angel Jiménez,60,274.4,"30,736",112
T158,159,Gary Nicklaus,66,274.0,"35,618",130
T158,T157,Jerry Kelly,99,274.0,"50,955",186
160,160,Bob Burns,99,273.9,"51,761",189
161,T161,Matt Kuchar,82,273.5,"43,483",159
162,T164,Jay Haas,83,273.3,"42,636",156
163,T161,Fred Funk,106,273.0,"57,326",210
